代號,名稱,股數,權重
3037,欣興,2600000,4.6
2383,台光電,445000,4.2
2330,台積電,750000,3.18
2454,聯發科,445000,3.14
6223,旺矽,242000,2.69
3711,日月光投控,1800000,2.02
2327,國巨*,1550000,1.58
3017,奇鋐,215000,1.06
2308,台達電,328000,1.06
3665,貿聯-KY,190000,0.74
2303,聯電,2500000,0.55
