代號,名稱,股數,權重
2327,國巨*,2200000,3.27
3037,欣興,2200000,3.17
2454,聯發科,445000,2.97
2383,台光電,330000,2.93
2330,台積電,550000,2.27
2303,聯電,6000000,1.63
6223,旺矽,145000,1.56
3711,日月光投控,1100000,1.15
6274,台燿,375000,1.03
3017,奇鋐,215000,0.84
2308,台達電,175000,0.55
