代號,名稱,股數,權重
3037,欣興,2600000,4.02
2383,台光電,445000,3.96
2330,台積電,750000,3.18
2454,聯發科,445000,3.11
6223,旺矽,190000,1.97
3711,日月光投控,1800000,1.96
3665,貿聯-KY,520000,1.95
2327,國巨*,1550000,1.53
2308,台達電,320000,0.9
2303,聯電,2500000,0.53
3017,奇鋐,115000,0.52
