sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,flow_30d_net_M,flow_30d_gross_M,flow_ratio,flow_up_ratio,dist_20ma_pct,dist_50ma_pct,rsi14_sector,position_20d,resistance_20d,support_20d,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,flow_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert,pct_30d,n_30d,acc_pct_30d,pct_90d,n_90d,acc_pct_90d,pct_365d,n_365d,acc_pct_365d,breadth_pct,breadth_up,breadth_total,breadth_source_date,breadth_30d_up,breadth_30d_down,breadth_30d_ratio,point_5d_avg,acceleration,quadrant,quadrant_zh,quadrant_desc,consecutive_pos_days,health_key,health_emoji,health_zh,health_desc
XLE,能源,Energy,2026-02-27,55.16,50.36,43.61,42.74,9.54,26.49,29.06,23.54,1.0,50068250,59071500,49204940,1.201,1.9,10.71,12,8,57831783,49468950,1.169,1.5,100.0,30377.2,81400.8,0.373,0.667,3.91,13.18,72.24,100.0,55.16,49.37,2,1,1,1,3,1,1,1.5,1,1.4,1,,100.0,15,,100.0,16,,100.0,18,,,,,,,,,14.28,9.26,leading,領先,資金持續流入、動能未退,19,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLU,公用事業,Utilities,2026-02-27,47.1,42.68,43.66,41.85,10.36,7.88,12.53,10.83,1.0,30984200,39759600,31164513,1.276,3.02,10.15,14,6,31330321,31280733,1.002,2.333,100.0,10323.7,39168.2,0.264,0.6,5.69,9.09,75.45,100.0,47.1,42.06,1,6,5,5,2,1,4,3.3,3,2.8,2,,100.0,15,,100.0,16,,100.0,18,,,,,,,,,-5.25,16.08,leading,領先,資金持續流入、動能未退,1,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLI,工業,Industrials,2026-02-27,176.21,164.57,148.7,151.19,7.07,18.5,16.55,14.67,1.0,12012560,9692600,12074600,0.803,-0.05,6.8,14,6,12804492,13569483,0.944,2.333,100.0,21179.3,64083.3,0.33,0.667,2.18,6.89,66.43,99.2,176.3,164.57,5,3,4,3,8,1,2,4.2,4,3.2,3,,100.0,15,,100.0,16,,100.0,18,,,,,,,,,-1.94,16.61,leading,領先,資金持續流入、動能未退,1,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLRE,房地產,Real Estate,2026-02-27,43.17,40.8,39.9,40.93,5.82,8.2,5.47,6.24,1.0,9322740,10826300,9946966,1.088,0.64,5.97,13,7,9941546,9735342,1.021,1.857,99.57,3940.5,12367.8,0.319,0.633,2.62,5.52,66.61,96.8,43.27,40.19,6,5,9,7,4,4,6,6.3,6,5.2,4,,86.7,15,,87.5,16,,88.9,18,,,,,,,,,1.02,5.22,improving,改善,落後股翻轉候選,16,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLB,材料,Materials,2026-02-27,52.98,48.87,42.69,45.27,8.4,24.1,17.03,16.64,1.0,15942010,12122700,17299560,0.701,0.85,6.82,12,7,20031125,21518185,0.931,1.714,96.44,7265.3,28694.4,0.253,0.6,2.15,8.17,66.11,95.2,53.18,48.87,3,2,2,2,11,6,5,2.5,2,5.4,5,,100.0,15,,100.0,16,,100.0,18,,,,,,,,,0.72,15.92,leading,領先,資金持續流入、動能未退,4,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLP,必需消費,Consumer Staples,2026-02-27,88.89,82.47,75.44,80.24,7.78,17.83,10.77,11.79,1.0,20313840,17314200,22422673,0.772,2.41,9.59,12,8,25397083,22670637,1.12,1.5,98.83,12158.8,57870.5,0.21,0.567,2.53,8.41,70.4,100.0,88.89,82.47,4,4,6,4,9,5,3,4.4,5,5.4,5,,100.0,14,,100.0,15,,100.0,17,,,,,,,,,-0.45,12.24,leading,領先,資金持續流入、動能未退,1,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLV,醫療保健,Health Care,2026-02-27,158.84,153.43,153.29,135.8,3.53,3.62,16.97,10.27,1.0,13855730,14250100,13749826,1.036,2.16,4.15,9,11,14557022,14874409,0.979,0.818,82.75,-12927.9,64469.9,-0.201,0.4,2.18,2.46,62.13,100.0,158.84,152.8,7,8,3,6,5,7,11,6.5,7,6.2,7,,57.1,14,,53.3,15,,58.8,17,,,,,,,,,9.96,0.31,leading,領先,資金持續流入、動能未退,16,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLC,通訊服務,Communication Services,2026-02-27,117.37,119.39,112.0,109.93,-1.69,4.8,6.77,4.16,0.667,6802250,7131100,7174446,0.994,1.07,-1.45,10,10,7200010,9020570,0.798,1.0,78.52,-2590.1,27278.2,-0.095,0.5,1.31,1.11,57.66,64.3,119.39,113.74,8,7,7,8,6,8,7,7.5,8,7.6,8,,100.0,15,,93.8,16,,88.9,18,,,,,,,,,-2.25,6.41,improving,改善,落後股翻轉候選,1,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLF,金融,Financials,2026-02-27,50.99,52.98,51.27,52.75,-3.76,-0.54,-3.34,-2.75,0.0,60526680,81998700,60196420,1.362,-2.02,-3.96,9,11,53942855,63557054,0.849,0.818,73.94,-6262.3,86090.1,-0.073,0.5,-2.32,-4.47,41.8,19.8,53.79,50.29,11,10,11,11,1,10,10,10.7,11,8.6,9,,0.0,15,,0.0,16,,0.0,18,,,,,,,,,9.67,-12.42,lagging,落後,資金持續流出,0,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLY,非必需消費,Consumer Discretionary,2026-02-27,116.39,120.69,113.57,115.65,-3.56,2.48,0.64,0.05,0.667,11021250,9636200,11911226,0.809,-0.5,-3.57,8,12,12085000,11820916,1.022,0.667,75.55,-6085.8,37489.8,-0.162,0.433,-0.76,-2.76,43.99,26.8,121.48,114.53,9,9,10,10,7,9,9,9.2,9,9.0,10,,66.7,15,,62.5,16,,61.1,18,,,,,,,,,-1.31,1.36,improving,改善,落後股翻轉候選,1,neutral,➡️,中性,無明顯訊號
