supply_chain,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,node_count,resonance_pct,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
CCL / High-Speed Materials,2026-09-23,4,72.99,0.0,0,4,-17729.2,-4432.3,3,66.7,2.06,-0.39,-2.45,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
Display & Optical,2026-09-23,3,67.57,66.7,2,3,11407.5,3802.5,2,100.0,1.79,0.42,-1.37,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🔥 Overheated
AI / HPC Semiconductor,2026-09-23,9,54.16,77.8,7,9,109788.5,12198.72,8,100.0,1.13,3.16,2.03,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Passive Components,2026-09-23,2,50.84,100.0,2,2,-10526.6,-5263.3,2,100.0,0.97,-0.19,-1.16,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
Biotech / Innovative Drug / CDMO,2026-09-23,1,48.07,0.0,0,1,-8259.7,-8259.7,1,,0.83,-0.13,-0.96,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
Thermal / Liquid Cooling,2026-09-23,5,41.67,80.0,4,5,-6847.2,-1369.44,3,100.0,0.51,-0.09,-0.6,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
AI Server / ODM,2026-09-23,13,36.65,53.8,7,13,-79172.2,-6090.17,6,100.0,0.27,-2.1,-2.37,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
Advanced Packaging,2026-09-23,8,34.9,50.0,4,8,51927.0,6490.88,3,66.7,0.18,1.55,1.37,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
PCB / HDI / IC Substrate,2026-09-23,10,34.46,40.0,4,10,1473.9,147.39,7,85.7,0.16,0.14,-0.02,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Semiconductor Equipment & Materials,2026-09-23,9,29.43,77.8,7,9,-7140.1,-793.34,7,100.0,-0.09,-0.1,-0.01,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Data Center Power / PSU,2026-09-23,4,26.66,50.0,2,4,-18687.1,-4671.77,4,100.0,-0.22,-0.42,-0.19,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Robotics / Automation,2026-09-23,3,24.91,33.3,1,3,1239.1,413.03,2,100.0,-0.31,0.14,0.45,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
Cloud / Data Center / Cybersecurity,2026-09-23,8,21.42,75.0,6,8,-25243.4,-3155.43,4,100.0,-0.48,-0.6,-0.12,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Shipping / Logistics,2026-09-23,4,21.07,75.0,3,4,8251.4,2062.85,2,100.0,-0.5,0.33,0.83,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
Memory / HBM,2026-09-23,5,19.58,40.0,2,5,-31023.7,-6204.74,5,60.0,-0.57,-0.76,-0.19,❄️ Weak,💰 Capital Leading,💰 Capital Leading → ❄️ Weak,REVERSING,❄️ Weak
EV / Auto Electronics,2026-09-23,4,18.9,75.0,3,4,-18940.4,-4735.1,3,100.0,-0.61,-0.43,0.18,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Energy Storage / Battery,2026-09-23,1,15.57,100.0,1,1,-15636.2,-15636.2,1,,-0.77,-0.33,0.44,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Smart Grid / Transformer,2026-09-23,4,6.55,25.0,1,4,4873.0,1218.25,3,66.7,-1.21,0.24,1.45,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
Optical Communication / AI Networking,2026-09-23,1,1.78,0.0,0,1,-19953.8,-19953.8,1,,-1.45,-0.45,0.99,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Steel,2026-09-23,1,-2.66,0.0,0,1,-2118.5,-2118.5,1,,-1.67,0.04,1.71,💰 Capital Leading,❄️ Weak,❄️ Weak → 💰 Capital Leading,ADVANCING,💰 Capital Leading
