sector,as_of_date,stock_count,point,ret_4w,ret_13w,ret_26w,breadth_pct,breadth_up,breadth_total,inst_net_20d_shares,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,point_5d_avg,acceleration,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
塑膠工業,2026-09-07,3,75.21,21.55,77.78,100.75,100.0,3,3,190711073.0,15197.0,5065.67,51.39,23.82,1.91,0.11,-1.8,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
化學生技醫療,2026-09-07,1,72.22,-9.25,58.9,119.61,0.0,0,1,-2679443.0,-3550.3,-3550.3,36.03,36.19,1.79,-0.49,-2.28,⚠️ Price Leading,,(無前一日資料),NEW,⚠️ Price Leading
電子零組件業,2026-09-07,15,68.24,7.61,16.95,124.19,66.7,10,15,-91804042.0,-37737.1,-2515.81,59.06,9.18,1.64,-1.59,-3.23,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
半導體業,2026-09-07,2,59.91,10.47,11.81,108.67,100.0,2,2,2533655.0,15006.400000000001,7503.2,55.73,4.18,1.31,0.11,-1.2,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
電腦及週邊設備業,2026-09-07,10,44.94,10.62,19.14,75.0,100.0,10,10,113561597.0,26055.600000000006,2605.56,31.16,13.78,0.73,0.46,-0.26,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
電子工業,2026-09-07,32,41.26,5.57,11.14,74.16,62.5,20,32,641731602.0,111413.6,3481.68,28.29,12.97,0.58,3.21,2.63,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
油電燃氣業,2026-09-07,1,34.35,12.1,54.96,35.18,100.0,1,1,-20810282.0,-1658.6,-1658.6,28.96,5.39,0.31,-0.43,-0.74,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
金融保險,2026-09-07,15,33.42,11.03,30.06,46.28,100.0,15,15,1329586217.0,62257.6,4150.51,23.61,9.81,0.28,1.63,1.35,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
航運業,2026-09-07,5,16.95,10.42,19.86,18.75,100.0,5,5,399889431.0,44627.0,8925.4,15.66,1.29,-0.37,1.06,1.43,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
電機機械,2026-09-07,4,15.9,0.04,5.62,28.97,75.0,3,4,20824434.0,-1299.9999999999998,-325.0,10.0,5.9,-0.41,-0.42,-0.01,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電子通路業,2026-09-07,3,13.5,-9.26,-4.16,33.72,0.0,0,3,-66299564.0,-10636.1,-3545.37,8.52,4.98,-0.5,-0.72,-0.21,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電器電纜,2026-09-07,1,11.39,-1.04,7.41,19.6,0.0,0,1,93535553.0,3545.0,3545.0,3.89,7.5,-0.59,-0.26,0.33,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
其他,2026-09-07,1,10.83,-2.6,4.5,20.7,0.0,0,1,3316276.0,373.1,373.1,7.16,3.67,-0.61,-0.36,0.24,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
汽車工業,2026-09-07,1,9.69,5.48,18.81,7.24,100.0,1,1,183156.0,98.7,98.7,1.59,8.1,-0.65,-0.37,0.28,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
紡織纖維,2026-09-07,1,7.6,5.13,12.53,6.37,100.0,1,1,76082964.0,2183.6,2183.6,-1.31,8.91,-0.73,-0.31,0.43,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
食品工業,2026-09-07,1,6.2,-0.92,7.27,9.22,0.0,0,1,85990607.0,6466.5,6466.5,2.76,3.44,-0.79,-0.17,0.62,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
玻璃陶瓷,2026-09-07,1,4.5,8.59,-2.1,5.75,100.0,1,1,25289901.0,1535.1,1535.1,0.25,4.25,-0.86,-0.33,0.53,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
水泥工業,2026-09-07,1,1.27,-1.42,5.39,0.54,0.0,0,1,-39468724.0,-959.1,-959.1,1.8,-0.53,-0.98,-0.41,0.58,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
貿易百貨,2026-09-07,1,0.57,-1.83,0.6,1.75,0.0,0,1,2314574.0,497.6,497.6,-0.3,0.87,-1.01,-0.36,0.65,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
鋼鐵工業,2026-09-07,1,-0.41,-3.8,2.68,-0.26,0.0,0,1,-8574947.0,-162.9,-162.9,6.45,-6.86,-1.05,-0.38,0.67,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
