sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert
XLC,通訊服務,Communication Services,2023-11-24,68.77,61.15,63.21,60.0,12.47,8.81,14.63,12.63,1.0,5193860,2416400,5298080,0.456,1.26,12.07,12,8,6499025,5359500,1.213,1.5,100.0,3,2,1,1,3,1,2.3,2,1.4,1,
XLI,工業,Industrials,2023-11-24,102.26,92.74,102.03,93.81,10.27,0.22,9.01,7.13,1.0,8272310,4439200,8439686,0.526,1.33,9.29,15,5,9318666,9423060,0.989,3.0,100.0,6,7,6,5,1,1,6.3,6,2.6,2,
XLF,金融,Financials,2023-11-24,33.89,30.13,32.42,30.49,12.5,4.55,11.17,9.85,1.0,32778730,13168500,34608846,0.38,1.58,10.46,14,6,39310764,38508100,1.021,2.333,100.0,2,3,3,3,8,1,2.5,3,3.2,3,
XLK,資訊科技,Information Technology,2023-11-24,90.59,79.15,82.7,80.6,14.46,9.54,12.39,12.19,1.0,11943320,4193800,12288066,0.341,0.67,15.12,15,5,13722893,11384400,1.205,3.0,100.0,1,1,2,2,10,1,1.2,1,3.2,3,
XLY,非必需消費,Consumer Discretionary,2023-11-24,82.23,73.12,80.34,74.0,12.47,2.36,11.13,9.27,1.0,9838280,3483000,10133066,0.344,1.33,13.64,16,4,12079112,9930700,1.216,4.0,100.0,3,4,4,4,9,1,3.5,4,3.8,5,
XLB,材料,Materials,2023-11-24,38.47,35.55,38.14,35.81,8.23,0.88,7.44,6.0,1.0,7840920,3689800,9314133,0.396,1.25,8.19,15,5,9812000,12556840,0.781,3.0,100.0,7,5,7,6,6,1,6.4,7,4.0,6,
XLV,醫療保健,Health Care,2023-11-24,125.21,117.58,126.87,120.78,6.49,-1.31,3.67,3.13,0.667,8241620,3708800,8976360,0.413,2.04,4.69,16,4,9924450,11064700,0.897,4.0,100.0,9,9,8,9,5,1,8.8,9,5.0,7,剛爆發
XLRE,房地產,Real Estate,2023-11-24,33.05,29.43,32.9,31.92,12.27,0.44,3.53,4.94,1.0,5252310,2620300,5982873,0.438,0.86,10.5,12,8,7010483,6094487,1.15,1.5,99.27,5,6,9,7,4,8,6.1,5,6.8,8,
XLE,能源,Energy,2023-11-24,38.86,38.72,39.78,35.46,0.35,-2.32,9.57,4.29,0.667,34456480,19152600,37957306,0.505,2.39,-2.05,9,11,35877044,43128854,0.832,0.818,76.55,11,11,5,8,2,11,9.8,10,8.0,9,
XLP,必需消費,Consumer Staples,2023-11-24,65.34,61.78,66.75,67.21,5.75,-2.12,-2.78,-0.48,0.333,10602510,4500800,11418380,0.394,1.19,4.31,13,7,11807284,13723485,0.86,1.857,95.98,10,10,11,11,7,9,10.2,11,9.4,10,
XLU,公用事業,Utilities,2023-11-24,28.87,27.05,29.07,29.27,6.74,-0.68,-1.37,0.83,0.333,30102340,9798600,33172426,0.295,0.92,4.73,12,8,32046550,37632150,0.852,1.5,90.61,8,8,10,10,11,10,8.4,8,10.2,11,
