sector,as_of_date,stock_count,point,ret_4w,ret_13w,ret_26w,breadth_pct,breadth_up,breadth_total,inst_net_20d_shares,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,point_5d_avg,acceleration,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
塑膠工業,2026-09-11,3,71.95,14.88,70.29,101.32,100.0,3,3,159539111.0,11530.6,3843.53,72.98,-1.03,2.18,0.49,-1.69,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
生技醫療業,2026-09-11,1,66.22,-9.22,49.78,112.15,0.0,0,1,-3440265.0,-4403.5,-4403.5,19.85,46.37,1.93,-0.2,-2.13,⚠️ Price Leading,,(無前一日資料),NEW,⚠️ Price Leading
電子零組件業,2026-09-11,13,58.43,-3.44,13.97,111.59,46.2,6,13,-65132164.0,-35120.3,-2701.56,58.74,-0.31,1.58,-1.52,-3.11,⚠️ Price Leading,🚀 Confirmed,🚀 Confirmed → ⚠️ Price Leading,REVERSING,⚠️ Price Leading
油電燃氣業,2026-09-11,1,39.5,17.58,61.93,39.25,100.0,1,1,-14603012.0,-1220.8,-1220.8,38.26,1.24,0.74,-0.06,-0.81,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
電子工業,2026-09-11,34,38.01,0.74,4.31,73.49,52.9,18,34,5026052.0,-57065.50000000001,-1678.4,39.9,-1.89,0.68,-2.47,-3.15,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
電腦及週邊設備業,2026-09-11,10,37.23,-0.08,18.97,65.01,50.0,5,10,-97289607.0,-9310.100000000004,-931.01,40.51,-3.28,0.64,-0.41,-1.06,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
金融保險,2026-09-11,15,35.31,13.66,26.34,50.63,100.0,15,15,1386915931.0,64858.100000000006,4323.87,32.28,3.03,0.56,2.79,2.23,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
半導體業,2026-09-11,2,23.07,-9.05,-14.52,57.94,0.0,0,2,-4061228.0,476.5999999999999,238.3,54.97,-31.9,0.02,0.01,-0.01,🚀 Confirmed,,(無前一日資料),NEW,🚀 Confirmed
航運業,2026-09-11,5,16.89,4.77,17.51,22.64,100.0,5,5,347513528.0,34126.4,6825.28,17.21,-0.32,-0.26,1.46,1.72,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
電子通路業,2026-09-11,3,11.68,-2.28,-2.19,25.59,33.3,1,3,-47104785.0,-8103.8,-2701.27,11.0,0.68,-0.49,-0.36,0.13,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
汽車工業,2026-09-11,1,9.62,2.91,14.97,10.29,100.0,1,1,312741.0,165.8,165.8,8.13,1.49,-0.58,-0.0,0.58,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電器電纜,2026-09-11,1,9.32,-2.86,-0.8,20.46,0.0,0,1,25582792.0,956.8,956.8,10.23,-0.91,-0.59,0.03,0.62,💰 Capital Leading,❄️ Weak,❄️ Weak → 💰 Capital Leading,ADVANCING,💰 Capital Leading
電機機械,2026-09-11,4,7.99,-8.45,-1.84,21.13,0.0,0,4,4732101.0,-2540.3,-635.08,13.44,-5.45,-0.65,-0.12,0.53,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
其他,2026-09-11,1,7.82,2.76,-1.54,15.03,100.0,1,1,10382177.0,1157.6,1157.6,10.51,-2.69,-0.66,0.04,0.7,💰 Capital Leading,❄️ Weak,❄️ Weak → 💰 Capital Leading,ADVANCING,💰 Capital Leading
紡織纖維,2026-09-11,1,6.35,3.99,11.29,5.07,100.0,1,1,60156020.0,1723.5,1723.5,6.62,-0.27,-0.72,0.07,0.79,💰 Capital Leading,❄️ Weak,❄️ Weak → 💰 Capital Leading,ADVANCING,💰 Capital Leading
食品工業,2026-09-11,1,5.97,-0.27,1.95,11.1,0.0,0,1,72053599.0,5404.0,5404.0,6.4,-0.43,-0.74,0.22,0.96,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
玻璃陶瓷,2026-09-11,1,3.41,-1.02,-9.2,11.92,0.0,0,1,19504419.0,1135.2,1135.2,1.67,1.74,-0.85,0.04,0.89,💰 Capital Leading,❄️ Weak,❄️ Weak → 💰 Capital Leading,ADVANCING,💰 Capital Leading
水泥工業,2026-09-11,1,3.37,1.24,3.23,4.51,100.0,1,1,-40618557.0,-995.2,-995.2,2.3,1.07,-0.86,-0.05,0.8,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
貿易百貨,2026-09-11,1,1.56,1.64,-2.22,3.4,100.0,1,1,5610113.0,1214.6,1214.6,0.86,0.7,-0.94,0.04,0.98,💰 Capital Leading,❄️ Weak,❄️ Weak → 💰 Capital Leading,ADVANCING,💰 Capital Leading
鋼鐵工業,2026-09-11,1,-0.13,0.27,0.79,-0.78,100.0,1,1,17242433.0,325.9,325.9,-0.47,0.34,-1.01,0.0,1.01,💰 Capital Leading,❄️ Weak,❄️ Weak → 💰 Capital Leading,ADVANCING,💰 Capital Leading
