sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,flow_30d_net_M,flow_30d_gross_M,flow_ratio,flow_up_ratio,dist_20ma_pct,dist_50ma_pct,rsi14_sector,position_20d,resistance_20d,support_20d,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,flow_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert,pct_30d,n_30d,acc_pct_30d,pct_90d,n_90d,acc_pct_90d,pct_365d,n_365d,acc_pct_365d,breadth_pct,breadth_up,breadth_total,breadth_source_date,breadth_30d_up,breadth_30d_down,breadth_30d_ratio,point_5d_avg,acceleration,quadrant,quadrant_zh,quadrant_desc,consecutive_pos_days,health_key,health_emoji,health_zh,health_desc
XLE,能源,Energy,2026-09-03,64.62,57.5,58.29,56.26,12.38,10.86,14.85,13.24,1.0,26473280,24070700,25878880,0.93,3.74,11.11,13,7,25393507,25503814,0.996,1.857,100.0,8586.7,49328.5,0.174,0.6,3.32,9.52,67.66,93.7,65.1,57.5,1,3,3,2,8,1,1,2.0,1,2.8,1,,63.6,11,,71.4,14,,73.3,15,,100.0,21,21,2026-09-02,60,14,81.1,14.04,-0.8,weakening,減弱,高位但動能見頂,18,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLF,金融,Financials,2026-09-03,58.56,57.6,50.69,50.86,1.67,15.52,15.14,11.87,1.0,27530400,32670500,29387513,1.112,1.17,1.3,10,10,26474140,28448100,0.931,1.0,82.53,5695.7,50946.0,0.112,0.567,1.25,3.16,60.54,100.0,58.56,56.95,4,2,2,3,5,6,2,3.0,3,4.6,2,,100.0,11,,100.0,14,,100.0,15,,39.5,30,76,2026-09-02,109,11,90.8,9.54,2.33,leading,領先,資金持續流入、動能未退,22,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLV,醫療保健,Health Care,2026-09-03,173.26,165.68,146.9,157.19,4.58,17.94,10.22,10.74,1.0,6804390,5933900,7602340,0.781,0.98,5.36,11,9,8115118,6698422,1.211,1.222,93.14,4087.8,44143.3,0.093,0.533,1.31,4.74,61.27,75.8,175.68,165.68,2,1,4,4,11,2,4,2.1,2,4.6,2,,70.0,10,,76.9,13,,71.4,14,,72.9,43,59,2026-09-02,92,13,87.6,9.71,1.03,leading,領先,資金持續流入、動能未退,15,neutral,➡️,中性,無明顯訊號
XLK,資訊科技,Information Technology,2026-09-03,185.97,187.97,196.0,139.2,-1.06,-5.12,33.6,15.25,0.333,6109690,6091100,6105973,0.998,-1.4,0.35,10,10,5813100,6282690,0.925,1.0,80.84,-5083.5,40485.1,-0.126,0.433,0.13,1.87,53.3,55.2,190.77,180.05,7,11,1,1,7,8,11,7.0,7,5.0,4,吃老本,27.3,11,,35.7,14,,40.0,15,,41.1,30,73,2026-09-02,79,24,76.7,15.48,-0.23,weakening,減弱,高位但動能見頂,17,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLP,必需消費,Consumer Staples,2026-09-03,85.26,85.12,81.59,87.61,0.16,4.49,-2.68,-0.17,0.667,8501250,10265000,9059893,1.133,0.21,0.18,11,9,8752163,8488033,1.031,1.222,86.57,3157.0,25826.0,0.122,0.533,-0.39,0.28,49.02,20.9,87.45,84.68,5,4,9,8,3,4,5,5.5,4,5.4,5,,65.0,10,,57.7,13,,60.7,14,,52.9,18,34,2026-09-02,50,18,73.5,-0.64,0.47,improving,改善,落後股翻轉候選,0,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLB,材料,Materials,2026-09-03,52.62,52.86,51.44,52.82,-0.45,2.3,-0.37,0.27,0.333,11868610,14287800,10789673,1.324,-1.15,0.86,9,10,11337500,10832680,1.047,0.9,81.87,877.5,18028.1,0.049,0.5,-0.41,1.56,51.05,44.4,53.67,51.78,6,6,7,6,1,7,7,6.2,6,5.4,5,,9.1,11,,14.3,14,,13.3,15,,48.0,12,25,2026-09-02,61,11,84.7,1.13,-0.86,weakening,減弱,高位但動能見頂,3,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLC,通訊服務,Communication Services,2026-09-03,113.38,111.25,111.79,117.19,1.91,1.42,-3.25,-0.79,0.667,4069880,3367500,3889440,0.866,1.77,1.98,11,9,3950436,4085144,0.967,1.222,87.15,2712.8,15868.0,0.171,0.6,1.44,2.64,56.78,100.0,113.38,110.27,3,7,10,9,9,3,6,5.6,5,6.6,7,剛爆發,90.9,11,,92.9,14,,86.7,15,,66.7,16,24,2026-09-02,39,21,65.0,-2.38,1.59,improving,改善,落後股翻轉候選,0,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLU,公用事業,Utilities,2026-09-03,43.03,43.61,43.43,46.74,-1.33,-0.93,-7.94,-4.54,0.0,21907620,22875900,20331093,1.125,-0.35,-0.81,11,8,19850963,21050887,0.943,1.375,86.5,-3938.5,27343.3,-0.144,0.433,-0.83,-3.29,43.34,38.5,44.31,42.23,8,10,11,11,4,5,10,9.2,10,7.2,8,剛爆發,54.5,11,,42.9,14,,40.0,15,,16.1,5,31,2026-09-02,12,68,15.0,-5.53,0.99,improving,改善,落後股翻轉候選,0,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLY,非必需消費,Consumer Discretionary,2026-09-03,116.46,119.86,116.5,114.96,-2.84,-0.03,1.31,-0.06,0.333,4908170,5658600,5184993,1.091,0.5,-1.39,8,12,5343912,4780300,1.118,0.667,78.93,4847.9,21102.4,0.23,0.533,-0.83,0.21,49.42,35.5,119.86,114.59,10,9,6,7,6,9,3,8.9,9,7.6,9,,45.5,11,,50.0,14,,46.7,15,,31.9,15,47,2026-09-02,72,19,79.1,-1.45,1.39,improving,改善,落後股翻轉候選,0,neutral,➡️,中性,無明顯訊號
XLRE,房地產,Real Estate,2026-09-03,44.25,44.98,43.13,43.25,-1.62,2.59,2.32,1.4,0.667,4942210,4414600,5179540,0.852,-0.92,-1.25,9,10,4389433,5941450,0.739,0.9,75.31,-1325.8,7252.2,-0.183,0.433,-1.01,-1.36,43.82,31.9,45.36,43.73,9,5,5,5,10,10,9,7.0,7,8.0,10,,36.4,11,,28.6,14,,33.3,15,,26.7,8,30,2026-09-02,25,39,39.1,1.04,0.36,leading,領先,資金持續流入、動能未退,15,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
