sector,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,z_point,z_capital,cpd,cpd_quadrant
綠能環保,2026-08-24,2,229.61,50.0,1,2,-115.5,-57.75,4.42,-0.36,-4.78,⚠️ Price Leading
電子零組件業,2026-08-24,15,80.88,93.3,14,15,25806.2,1720.41,1.13,0.69,-0.44,🚀 Confirmed
半導體業,2026-08-24,2,65.26,100.0,2,2,17174.0,8587.0,0.78,0.34,-0.44,🚀 Confirmed
化學生技醫療,2026-08-24,2,57.18,100.0,2,2,3499.8,1749.9,0.6,-0.21,-0.82,⚠️ Price Leading
塑膠工業,2026-08-24,3,50.97,33.3,1,3,-24776.3,-8258.77,0.46,-1.36,-1.82,⚠️ Price Leading
電子工業,2026-08-24,53,35.9,86.8,46,53,-15821.6,-298.52,0.13,-1.0,-1.13,⚠️ Price Leading
電腦及週邊設備業,2026-08-24,14,34.42,92.9,13,14,100772.6,7198.04,0.1,3.72,3.63,🚀 Confirmed
油電燃氣業,2026-08-24,1,33.08,0.0,0,1,-2548.4,-2548.4,0.07,-0.46,-0.53,⚠️ Price Leading
生技醫療業,2026-08-24,2,28.62,100.0,2,2,1744.5,872.25,-0.03,-0.29,-0.25,❄️ Weak
航運業,2026-08-24,5,28.05,60.0,3,5,69037.2,13807.44,-0.04,2.44,2.48,💰 Capital Leading
電子通路業,2026-08-24,3,23.19,100.0,3,3,-5582.6,-1860.87,-0.15,-0.58,-0.43,❄️ Weak
金融保險,2026-08-24,19,22.63,68.4,13,19,29228.2,1538.33,-0.16,0.83,0.99,💰 Capital Leading
建材營造,2026-08-24,1,20.57,100.0,1,1,2216.2,2216.2,-0.21,-0.27,-0.06,❄️ Weak
電機機械,2026-08-24,9,18.0,100.0,9,9,2976.3,330.7,-0.27,-0.24,0.03,❄️ Weak
其他電子業,2026-08-24,2,15.54,100.0,2,2,-3651.7,-1825.85,-0.32,-0.5,-0.18,❄️ Weak
鋼鐵工業,2026-08-24,2,14.53,100.0,2,2,7093.7,3546.85,-0.34,-0.07,0.27,❄️ Weak
其他,2026-08-24,2,13.31,100.0,2,2,3037.4,1518.7,-0.37,-0.23,0.14,❄️ Weak
電器電纜,2026-08-24,1,12.78,100.0,1,1,5076.9,5076.9,-0.38,-0.15,0.23,❄️ Weak
玻璃陶瓷,2026-08-24,1,8.56,100.0,1,1,470.2,470.2,-0.48,-0.34,0.14,❄️ Weak
汽車工業,2026-08-24,1,7.58,100.0,1,1,844.6,844.6,-0.5,-0.32,0.18,❄️ Weak
食品工業,2026-08-24,2,6.39,100.0,2,2,13233.5,6616.75,-0.52,0.18,0.7,💰 Capital Leading
橡膠工業,2026-08-24,1,6.04,100.0,1,1,6.0,6.0,-0.53,-0.36,0.18,❄️ Weak
水泥工業,2026-08-24,2,4.08,50.0,1,2,1770.3,885.15,-0.58,-0.28,0.29,❄️ Weak
貿易百貨,2026-08-24,1,3.58,0.0,0,1,2499.6,2499.6,-0.59,-0.26,0.33,❄️ Weak
紡織纖維,2026-08-24,2,-1.14,50.0,1,2,3802.4,1901.2,-0.69,-0.2,0.49,❄️ Weak
居家生活,2026-08-24,1,-2.73,0.0,0,1,173.5,173.5,-0.73,-0.35,0.38,❄️ Weak
運動休閒,2026-08-24,1,-5.31,100.0,1,1,-255.7,-255.7,-0.78,-0.37,0.42,❄️ Weak
