sector,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,z_point,z_capital,cpd,cpd_quadrant
綠能環保,2026-08-28,2,145.77,50.0,1,2,-275.5,-137.75,3.43,-0.46,-3.89,⚠️ Price Leading
電子零組件業,2026-08-28,15,88.36,93.3,14,15,66162.7,4410.85,1.77,1.79,0.01,🚀 Confirmed
半導體業,2026-08-28,2,78.58,100.0,2,2,23090.9,11545.45,1.49,0.33,-1.16,🚀 Confirmed
塑膠工業,2026-08-28,3,61.26,100.0,3,3,-11165.4,-3721.8,0.99,-0.83,-1.82,⚠️ Price Leading
化學生技醫療,2026-08-28,2,61.07,100.0,2,2,6742.4,3371.2,0.98,-0.22,-1.21,⚠️ Price Leading
生技醫療業,2026-08-28,2,46.32,50.0,1,2,30.7,15.35,0.56,-0.45,-1.01,⚠️ Price Leading
電子工業,2026-08-28,53,38.63,84.9,45,53,70441.3,1329.08,0.34,1.93,1.59,🚀 Confirmed
電腦及週邊設備業,2026-08-28,14,35.25,92.9,13,14,118907.0,8493.36,0.24,3.57,3.33,🚀 Confirmed
油電燃氣業,2026-08-28,1,32.5,100.0,1,1,-1580.8,-1580.8,0.16,-0.51,-0.66,⚠️ Price Leading
金融保險,2026-08-28,19,20.33,42.1,8,19,19430.0,1022.63,-0.19,0.21,0.4,💰 Capital Leading
航運業,2026-08-28,5,17.12,60.0,3,5,52091.5,10418.3,-0.29,1.31,1.59,💰 Capital Leading
建材營造,2026-08-28,1,16.0,100.0,1,1,2020.1,2020.1,-0.32,-0.38,-0.07,❄️ Weak
電機機械,2026-08-28,9,15.91,88.9,8,9,-91.2,-10.13,-0.32,-0.45,-0.13,❄️ Weak
其他電子業,2026-08-28,2,15.89,100.0,2,2,-4126.5,-2063.25,-0.32,-0.59,-0.27,❄️ Weak
電子通路業,2026-08-28,3,12.7,0.0,0,3,-8222.3,-2740.77,-0.41,-0.73,-0.32,❄️ Weak
玻璃陶瓷,2026-08-28,1,11.91,100.0,1,1,1930.4,1930.4,-0.44,-0.39,0.05,❄️ Weak
電器電纜,2026-08-28,1,11.54,100.0,1,1,6382.0,6382.0,-0.45,-0.24,0.21,❄️ Weak
鋼鐵工業,2026-08-28,2,11.33,100.0,2,2,5407.7,2703.85,-0.45,-0.27,0.18,❄️ Weak
其他,2026-08-28,2,7.74,50.0,1,2,894.8,447.4,-0.56,-0.42,0.13,❄️ Weak
食品工業,2026-08-28,2,5.01,100.0,2,2,10339.5,5169.75,-0.63,-0.1,0.53,❄️ Weak
水泥工業,2026-08-28,2,2.58,100.0,2,2,366.8,183.4,-0.7,-0.44,0.27,❄️ Weak
汽車工業,2026-08-28,1,2.34,0.0,0,1,-140.3,-140.3,-0.71,-0.46,0.26,❄️ Weak
橡膠工業,2026-08-28,1,2.22,100.0,1,1,-350.1,-350.1,-0.72,-0.46,0.25,❄️ Weak
貿易百貨,2026-08-28,1,2.18,0.0,0,1,1271.7,1271.7,-0.72,-0.41,0.31,❄️ Weak
居家生活,2026-08-28,1,-0.36,0.0,0,1,204.3,204.3,-0.79,-0.44,0.34,❄️ Weak
紡織纖維,2026-08-28,2,-4.71,50.0,1,2,2129.8,1064.9,-0.92,-0.38,0.54,❄️ Weak
運動休閒,2026-08-28,1,-8.49,100.0,1,1,-1146.0,-1146.0,-1.02,-0.49,0.53,❄️ Weak
