stock_id,symbol,stock_name,sector,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vp_ratio_stock,vp_score_stock,rsi14,above_50ma,ma50,amp_10d_pct,vcp,high_52w,pct_from_high,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,trend_state,trend_pattern,trend_signal,explosive_verdict,vol_today,vol_10d_avg,trade_value_20d_est_NTD_M,inst_foreign_net_20d_shares,inst_trust_net_20d_shares,inst_dealer_net_20d_shares,inst_total_net_20d_shares,inst_total_net_20d_est_NTD_M,point_rank_in_sector,vp_score_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
1504,1504,東元,電機機械,2026-09-18,69.5,-2.8,-3.74,1.69,-0.79,0.333,0.0,-3.61,8,12,7342683,6884666,0.667,1.067,76.5,46.72,True,68.92,5.69,False,123.95,-43.93,P-V-,P-V-,P+V-,⚠️ 主升段結束,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警 / 空頭確認,,8290665,5070027,10119.1,-3898609.0,1766273.0,-203724.0,-2336060.0,-162.4,3.0,2.0,2.5,2.0,
1605,1605,華新,電器電纜,2026-09-18,37.1,-2.62,-8.96,11.36,2.79,0.333,-0.8,-0.54,10,10,18075477,18952557,1.0,0.954,81.05,48.61,True,35.96,7.22,False,45.83,-19.05,P-V-,P-V-,P+V-,⚠️ 主升段結束,收斂,頭頭低·底底高,空轉多預警,,31477023,14274220,14130.6,21006658.0,902240.0,-2164931.0,19743967.0,732.5,1.0,1.0,1.0,1.0,
6531,6531,愛普*,電子工業,2026-09-18,968.0,14.56,-13.18,68.04,34.36,0.667,-2.02,9.63,10,10,3572053,3563964,1.0,1.002,87.51,54.22,True,876.46,18.55,False,1296.11,-25.31,P+V+,P-V-,P+V+,➡️ 中性,多頭,頭頭高·底底高,空轉多預警,,2513035,3539190,67077.5,-650472.0,3244163.0,55413.0,2649104.0,2564.3,12.0,26.0,19.0,19.0,吃老本
6805,6805,富世達,電子零組件業,2026-09-18,2295.0,34.21,26.98,32.44,31.52,1.0,6.74,30.03,11,9,1688803,1339158,1.222,1.261,100.0,60.92,True,1788.59,14.53,False,2435.0,-5.75,P+V-,P+V-,P+V-,⚠️ 量能衰竭,收斂,頭頭低·底底高,多轉空預警,,1430448,1038213,66714.6,2654690.0,1977100.0,5028.0,4636818.0,10641.5,10.0,1.0,5.5,3.0,剛爆發
2347,2347,聯強,電子通路業,2026-09-18,90.8,2.83,1.95,21.28,11.83,1.0,2.02,3.77,12,8,2750768,2559094,1.5,1.075,94.38,59.25,True,88.48,3.93,False,98.3,-7.63,P+V-,P+V-,P+V-,⚠️ 量能衰竭,多頭,頭頭高·底底高,,,3357371,2588320,4710.8,186995.0,2686384.0,-185622.0,2687757.0,244.0,2.0,1.0,1.5,1.0,
1402,1402,遠東新,紡織纖維,2026-09-18,28.1,-4.58,2.33,8.95,3.91,0.667,-1.92,-7.41,5,12,10446405,10890908,0.417,0.959,67.82,48.33,True,27.87,6.54,False,30.65,-8.32,P-V-,P+V-,P+V+,➡️ 中性,多頭,頭頭高·底底高,,,16181754,9402030,6238.4,4147492.0,-16530048.0,429053.0,-11953503.0,-335.9,1.0,1.0,1.0,1.0,
2492,2492,華新科,電子零組件業,2026-09-18,309.5,16.79,-49.57,116.82,50.22,0.667,-0.64,16.35,11,9,28361626,28716782,1.222,0.988,95.17,51.91,True,291.19,16.95,False,641.59,-51.76,P+V+,P-V+,P+V+,➡️ 中性,多頭,頭頭高·底底高,空轉多預警,🔥 追高風險,15179444,29576141,173723.1,3580277.0,-5267000.0,91713.0,-1595010.0,-493.7,5.0,3.0,4.0,2.0,
6789,6789,采鈺,電子工業,2026-09-18,459.5,10.72,-16.74,35.91,16.45,0.667,3.03,8.37,10,10,1691080,1301831,1.0,1.299,93.97,52.28,True,454.2,13.29,False,638.41,-28.02,P+V+,P-V-,P+V+,➡️ 中性,多頭,頭頭高·底底高,空轉多預警,,1044020,957917,13877.5,313502.0,-473000.0,63715.0,-95783.0,-44.0,22.0,17.0,19.5,20.0,
2633,2633,台灣高鐵,航運業,2026-09-18,25.75,-1.72,3.74,2.55,1.78,0.667,-1.15,-1.53,8,9,3010342,5047450,0.889,0.596,72.39,41.4,False,25.99,1.92,False,27.93,-7.81,P-V-,P+V-,P+V+,➡️ 中性,收斂,頭頭低·底底高,多轉空預警 / 空頭確認,,17813167,4879855,1996.9,-24353993.0,11515604.0,372131.0,-12466258.0,-321.0,5.0,5.0,5.0,5.0,
7750,7750,新代,電機機械,2026-09-18,1950.0,-8.88,-14.85,44.16,16.15,0.333,-2.26,-11.96,8,12,353050,255392,0.667,1.382,76.11,38.92,False,2188.5,29.86,False,3070.0,-36.48,P-V-,P-V-,P+V+,😴 弱勢縮量,收斂,頭頭低·底底高,多轉空預警 / 空頭確認,,175273,232875,13229.2,-538787.0,27000.0,11131.0,-500656.0,-976.3,1.0,3.0,2.0,1.0,
