sector,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,z_point,z_capital,cpd,cpd_quadrant
綠能環保,2026-08-26,2,183.21,100.0,2,2,-206.7,-103.35,3.85,-0.47,-4.32,⚠️ Price Leading
電子零組件業,2026-08-26,15,89.1,93.3,14,15,49333.3,3288.89,1.46,1.35,-0.1,🚀 Confirmed
半導體業,2026-08-26,2,84.39,100.0,2,2,20846.0,10423.0,1.34,0.3,-1.03,🚀 Confirmed
塑膠工業,2026-08-26,3,65.37,100.0,3,3,-23190.7,-7730.23,0.85,-1.31,-2.17,⚠️ Price Leading
化學生技醫療,2026-08-26,2,64.49,100.0,2,2,4466.1,2233.05,0.83,-0.3,-1.13,⚠️ Price Leading
生技醫療業,2026-08-26,2,47.85,100.0,2,2,956.3,478.15,0.41,-0.43,-0.83,⚠️ Price Leading
電子工業,2026-08-26,53,40.82,96.2,51,53,53395.4,1007.46,0.23,1.5,1.27,🚀 Confirmed
電腦及週邊設備業,2026-08-26,14,38.77,100.0,14,14,109435.3,7816.81,0.18,3.56,3.38,🚀 Confirmed
油電燃氣業,2026-08-26,1,33.98,0.0,0,1,-2947.3,-2947.3,0.05,-0.57,-0.62,⚠️ Price Leading
玻璃陶瓷,2026-08-26,1,25.28,100.0,1,1,1344.5,1344.5,-0.17,-0.41,-0.25,❄️ Weak
金融保險,2026-08-26,19,22.28,63.2,12,19,36008.4,1895.18,-0.24,0.86,1.1,💰 Capital Leading
航運業,2026-08-26,5,21.25,80.0,4,5,59935.1,11987.02,-0.27,1.74,2.01,💰 Capital Leading
其他電子業,2026-08-26,2,20.96,100.0,2,2,-3643.6,-1821.8,-0.28,-0.6,-0.32,❄️ Weak
電器電纜,2026-08-26,1,18.94,100.0,1,1,6535.6,6535.6,-0.33,-0.22,0.11,❄️ Weak
電機機械,2026-08-26,9,18.92,100.0,9,9,2131.8,236.87,-0.33,-0.38,-0.05,❄️ Weak
電子通路業,2026-08-26,3,18.22,100.0,3,3,-6649.4,-2216.47,-0.35,-0.71,-0.36,❄️ Weak
建材營造,2026-08-26,1,17.56,100.0,1,1,2206.1,2206.1,-0.36,-0.38,-0.02,❄️ Weak
鋼鐵工業,2026-08-26,2,14.04,100.0,2,2,6404.0,3202.0,-0.45,-0.23,0.23,❄️ Weak
其他,2026-08-26,2,13.29,100.0,2,2,2141.3,1070.65,-0.47,-0.38,0.09,❄️ Weak
橡膠工業,2026-08-26,1,6.78,100.0,1,1,-0.6,-0.6,-0.64,-0.46,0.18,❄️ Weak
食品工業,2026-08-26,2,6.59,100.0,2,2,13522.9,6761.45,-0.64,0.04,0.68,💰 Capital Leading
水泥工業,2026-08-26,2,4.6,100.0,2,2,994.0,497.0,-0.69,-0.43,0.27,❄️ Weak
貿易百貨,2026-08-26,1,4.34,0.0,0,1,2567.4,2567.4,-0.7,-0.37,0.33,❄️ Weak
汽車工業,2026-08-26,1,4.1,0.0,0,1,438.9,438.9,-0.71,-0.45,0.26,❄️ Weak
居家生活,2026-08-26,1,1.0,0.0,0,1,262.5,262.5,-0.78,-0.45,0.33,❄️ Weak
紡織纖維,2026-08-26,2,-1.2,50.0,1,2,3278.0,1639.0,-0.84,-0.34,0.5,❄️ Weak
運動休閒,2026-08-26,1,-5.09,100.0,1,1,-286.9,-286.9,-0.94,-0.47,0.47,❄️ Weak
