sector,as_of_date,stock_count,point,ret_4w,ret_13w,ret_26w,breadth_pct,breadth_up,breadth_total,inst_net_20d_shares,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,point_5d_avg,acceleration,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
塑膠工業,2026-09-10,3,81.78,14.92,86.71,112.75,100.0,3,3,164433172.0,11582.7,3860.9,58.38,23.4,2.35,0.44,-1.91,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
化學生技醫療,2026-09-10,1,71.12,-12.0,56.94,119.76,0.0,0,1,-4846522.0,-6397.4,-6397.4,56.69,14.43,1.91,-0.43,-2.34,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
電子零組件業,2026-09-10,11,57.55,0.74,14.72,107.37,54.5,6,11,-648882.0,7221.399999999995,656.49,50.67,6.88,1.34,0.23,-1.11,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
電子工業,2026-09-10,37,49.2,2.96,11.08,91.39,56.8,21,37,67508375.0,-47769.69999999999,-1291.07,32.41,16.79,1.0,-2.44,-3.44,⚠️ Price Leading,🚀 Confirmed,🚀 Confirmed → ⚠️ Price Leading,REVERSING,⚠️ Price Leading
電腦及週邊設備業,2026-09-10,10,40.8,-1.19,22.34,71.03,40.0,4,10,-108492667.0,-11760.2,-1176.02,35.31,5.49,0.65,-0.69,-1.34,⚠️ Price Leading,🚀 Confirmed,🚀 Confirmed → ⚠️ Price Leading,REVERSING,⚠️ Price Leading
油電燃氣業,2026-09-10,1,37.91,21.58,71.52,29.27,100.0,1,1,-12125301.0,-1045.2,-1045.2,31.68,6.23,0.53,-0.17,-0.7,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
金融保險,2026-09-10,15,33.67,11.1,25.72,48.94,100.0,15,15,1302577620.0,58274.9,3884.99,29.94,3.73,0.35,2.71,2.36,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
其他電子業,2026-09-10,1,28.44,-2.73,6.04,55.24,0.0,0,1,-6412698.0,-4828.8,-4828.8,20.05,8.39,0.13,-0.36,-0.49,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
航運業,2026-09-10,5,16.36,9.0,17.77,19.34,100.0,5,5,449698497.0,44491.3,8898.26,15.47,0.89,-0.37,2.04,2.41,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
電機機械,2026-09-10,4,15.38,-3.86,5.37,30.0,25.0,1,4,7421270.0,-2156.8,-539.2,10.57,4.81,-0.41,-0.23,0.19,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電器電纜,2026-09-10,1,14.62,-3.2,10.2,25.74,0.0,0,1,27407000.0,1036.0,1036.0,6.68,7.94,-0.44,-0.07,0.37,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電子通路業,2026-09-10,3,12.56,-4.48,-3.84,29.29,0.0,0,3,-54424930.0,-9177.7,-3059.23,9.71,2.85,-0.53,-0.57,-0.04,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
其他,2026-09-10,1,10.41,0.9,-1.87,21.31,100.0,1,1,2862362.0,322.0,322.0,8.35,2.06,-0.62,-0.11,0.52,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
汽車工業,2026-09-10,1,8.3,2.72,12.46,9.01,100.0,1,1,265740.0,140.3,140.3,6.45,1.85,-0.71,-0.11,0.59,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
玻璃陶瓷,2026-09-10,1,6.88,2.94,0.51,12.03,100.0,1,1,22199813.0,1323.1,1323.1,1.15,5.73,-0.77,-0.06,0.71,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
食品工業,2026-09-10,1,6.45,-0.26,3.99,11.04,0.0,0,1,73459565.0,5553.5,5553.5,4.31,2.14,-0.79,0.15,0.93,💰 Capital Leading,❄️ Weak,❄️ Weak → 💰 Capital Leading,ADVANCING,💰 Capital Leading
紡織纖維,2026-09-10,1,6.2,5.72,9.67,4.7,100.0,1,1,70379463.0,2016.4,2016.4,4.96,1.24,-0.8,-0.02,0.77,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
水泥工業,2026-09-10,1,4.8,2.27,5.79,5.57,100.0,1,1,-16081668.0,-398.8,-398.8,1.01,3.79,-0.85,-0.14,0.71,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
貿易百貨,2026-09-10,1,2.07,1.86,-0.88,3.64,100.0,1,1,4328155.0,945.7,945.7,0.86,1.21,-0.97,-0.07,0.89,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
鋼鐵工業,2026-09-10,1,1.34,0.53,3.78,0.53,100.0,1,1,18046284.0,344.7,344.7,-0.3,1.64,-1.0,-0.1,0.89,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
