symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
BMY,Health Care,Bristol Myers Squibb,2026-07-27,65.31,12.35,13.44,21.21,17.06,1.0,5,32,11,14.3,27.74,11.18,False,True,57.76,9.38,1.153,False,65.66,-0.53,5.19,12.35,13.0,7.0,11552453.0,10023471.0,1.857,14574100.0,11308940.0,11609886.0,1.255,100.0,11,1,8,6.4,3,剛爆發
HWM,Industrials,Howmet Aerospace,2026-07-27,282.26,4.38,17.9,35.79,23.46,1.0,17,13,5,13.4,10.28,8.7,True,True,269.33,8.89,0.907,False,295.28,-4.41,-2.42,4.38,12.0,8.0,1907741.0,2102562.0,1.5,2280700.0,2136140.0,2033513.0,1.122,90.04,2,16,10,9.2,1,吃老本
WAB,Industrials,Wabtec,2026-07-27,290.86,10.93,9.91,26.69,18.56,1.0,6,25,11,12.7,5.92,7.55,False,True,269.1,17.58,1.419,False,306.64,-5.15,-3.85,10.93,10.0,10.0,1221120.0,860530.0,1.0,959500.0,1369810.0,1169480.0,0.82,94.85,7,9,20,10.4,2,
PAYX,Industrials,Paychex,2026-07-27,116.84,11.01,28.55,15.95,17.86,1.0,5,3,25,8.4,0.91,2.31,False,True,103.14,14.4,1.025,False,135.9,-14.03,3.97,11.01,11.0,9.0,3280154.0,3198966.0,1.222,3286400.0,3589520.0,3405240.0,0.965,94.47,9,11,15,11.0,3,
HPQ,Information Technology,HP Inc.,2026-07-27,27.27,24.35,32.51,44.29,36.36,1.0,2,10,23,8.6,20.26,5.61,False,True,24.55,19.48,0.994,False,29.29,-6.91,5.9,24.35,15.0,5.0,14987766.0,15079340.0,3.0,19609100.0,15402440.0,15737553.0,1.246,100.0,16,1,6,8.0,1,剛爆發
HPE,Information Technology,Hewlett Packard Enterprise,2026-07-27,47.9,16.18,68.15,124.67,83.42,1.0,6,5,3,5.1,48.03,10.75,False,True,45.91,14.08,0.939,False,64.06,-25.23,0.44,16.18,12.0,8.0,16698925.0,17779350.0,1.5,17224800.0,14778150.0,16364253.0,1.053,98.82,2,12,15,8.6,2,吃老本
NTAP,Information Technology,NetApp,2026-07-27,178.5,16.13,59.74,86.78,62.36,1.0,7,7,13,8.2,7.22,2.78,False,True,161.14,11.2,0.96,False,192.25,-7.15,6.41,16.13,12.0,8.0,2604175.0,2711887.0,1.5,1829200.0,2022140.0,2315066.0,0.79,100.0,8,1,29,9.4,3,剛爆發
NUE,Materials,Nucor,2026-07-27,257.29,16.55,14.1,45.62,30.48,1.0,1,4,1,1.9,6.94,14.67,False,True,242.39,16.19,0.997,False,270.24,-4.79,3.93,16.55,15.0,5.0,1344553.0,1348940.0,3.0,1564500.0,1524810.0,1376573.0,1.137,100.0,1,1,14,3.6,1,
LYB,Materials,LyondellBasell,2026-07-27,62.08,16.34,-16.35,29.57,14.78,0.667,2,23,4,8.7,25.6,76.13,False,True,60.97,11.78,1.085,False,83.07,-25.27,2.92,16.34,11.0,9.0,5270381.0,4856266.0,1.222,6428500.0,4683270.0,4652706.0,1.382,98.3,4,3,7,4.2,2,
STLD,Materials,Steel Dynamics,2026-07-27,251.26,14.01,9.84,40.67,26.3,1.0,3,8,2,4.3,0.56,-0.19,False,True,248.12,14.97,0.997,False,288.09,-12.78,1.68,14.01,13.0,7.0,1162830.0,1165828.0,1.857,902400.0,1299350.0,1198273.0,0.753,100.0,2,1,19,5.0,3,
HST,Real Estate,Host Hotels & Resorts,2026-07-27,25.13,7.62,23.49,42.32,28.94,1.0,2,3,1,2.1,116.0,4.07,True,True,23.56,7.59,1.066,False,25.71,-2.26,2.57,7.62,14.0,6.0,9207071.0,8634716.0,2.333,10036600.0,8907940.0,8989513.0,1.116,100.0,1,1,16,4.0,1,
IRM,Real Estate,Iron Mountain,2026-07-27,122.32,4.4,-3.17,34.77,17.69,0.667,5,24,2,10.1,15.76,3.81,True,False,125.02,9.91,1.08,False,134.68,-9.18,-4.67,4.4,11.0,9.0,2146445.0,1987033.0,1.222,2938900.0,1812280.0,2054220.0,1.431,88.01,3,8,7,5.8,2,
FRT,Real Estate,Federal Realty Investment Trust,2026-07-27,124.09,1.97,8.6,25.13,15.21,1.0,8,8,6,7.6,35.3,165.2,False,True,122.06,4.03,0.849,False,128.21,-3.21,-1.58,1.97,10.0,8.0,730700.0,860650.0,1.25,1242100.0,914840.0,857620.0,1.448,84.16,5,11,6,7.6,3,吃老本
EIX,Utilities,Edison International,2026-07-27,73.37,-1.88,6.24,20.64,11.41,0.667,8,2,1,4.8,26.99,7.42,False,False,73.67,10.8,0.876,False,81.62,-10.11,-8.0,-1.88,11.0,9.0,2339509.0,2670344.0,1.222,6186600.0,2774670.0,2616800.0,2.364,79.34,1,6,1,3.0,1,
PCG,Utilities,PG&E Corporation,2026-07-27,17.38,1.94,5.96,13.36,8.66,1.0,2,4,4,3.0,11.64,8.83,False,True,16.97,6.57,0.948,False,19.05,-8.77,-2.63,1.94,12.0,8.0,19049291.0,20102325.0,1.5,28531900.0,25115790.0,21454293.0,1.33,89.19,3,3,10,4.4,2,
AES,Utilities,AES Corporation,2026-07-27,14.68,1.89,4.03,2.66,2.81,1.0,3,5,22,7.4,108.27,33.04,False,True,14.54,0.85,1.33,True,17.23,-14.79,0.11,1.89,12.0,7.0,8873666.0,6670900.0,1.714,10354700.0,6417150.0,6812593.0,1.52,100.0,8,1,5,4.6,3,剛爆發
