sector,as_of_date,stock_count,point,ret_4w,ret_13w,ret_26w,breadth_pct,breadth_up,breadth_total,inst_net_20d_shares,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,point_5d_avg,acceleration,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
塑膠工業,2026-09-17,3,57.65,15.27,41.58,86.87,100.0,3,3,158498748.0,11235.4,3745.13,67.77,-10.12,1.95,0.32,-1.63,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
化學生技醫療,2026-09-17,1,54.87,-14.64,25.19,104.47,0.0,0,1,-4517936.0,-5398.9,-5398.9,64.0,-9.13,1.82,-0.46,-2.27,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
電子零組件業,2026-09-17,12,46.44,-2.24,4.32,91.83,25.0,3,12,-57143741.0,-46127.3,-3843.94,51.76,-5.32,1.41,-2.35,-3.76,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
油電燃氣業,2026-09-17,1,45.63,13.72,64.78,52.0,100.0,1,1,-19017808.0,-1639.3,-1639.3,39.75,5.88,1.37,-0.28,-1.65,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
金融保險,2026-09-17,15,36.81,15.87,22.26,54.56,100.0,15,15,1303202429.0,61599.100000000006,4106.61,35.42,1.39,0.95,2.66,1.71,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
電腦及週邊設備業,2026-09-17,10,31.94,3.58,16.05,54.07,80.0,8,10,-126504737.0,14978.8,1497.88,34.79,-2.85,0.71,0.49,-0.22,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
電子工業,2026-09-17,35,31.93,3.69,-5.56,64.79,65.7,23,35,734193382.0,55643.7,1589.82,36.96,-5.03,0.71,2.38,1.67,🚀 Confirmed,⚠️ Price Leading,⚠️ Price Leading → 🚀 Confirmed,ADVANCING,🚀 Confirmed
航運業,2026-09-17,5,16.96,-2.32,22.98,23.6,0.0,0,5,130814893.0,14013.9,2802.78,15.84,1.12,-0.01,0.45,0.46,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
汽車工業,2026-09-17,1,10.93,2.7,10.37,15.31,100.0,1,1,407001.0,216.5,216.5,9.57,1.36,-0.3,-0.19,0.11,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電子通路業,2026-09-17,3,8.52,1.6,-1.71,17.09,66.7,2,3,-22054371.0,-5720.5,-1906.83,11.32,-2.8,-0.42,-0.47,-0.05,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
