symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
VLO,Energy,Valero Energy,2026-08-28,352.36,14.57,44.46,78.3,53.91,1.0,2453160,2826318,3265808,-9.1,-23.72,13.34,P+V-,P+V-,P+V+,⚠️ 頂部背離,5,2,2,3.5,23.84,33.47,False,True,302.23,5.19,0.98,False,353.0,353.0,-0.18,1.0,12.61,11.0,9.0,2430972.0,2480277.0,1.222,1848500.0,2012900.0,2175760.0,0.85,93.45,空頭,頭頭低·底底低,多轉空預警 / 多頭確認,2,6,7,4.6,3,
FDS,Financials,FactSet,2026-08-28,308.98,14.57,29.97,54.89,38.58,1.0,787090,945423,951491,-16.8,-1.27,13.86,P+V-,P+V-,P+V+,⚠️ 頂部背離,3,3,2,2.8,1.76,1.89,False,True,263.64,11.73,0.887,False,371.83,377.07,-16.9,3.02,17.39,11.0,9.0,744436.0,839222.0,1.222,715300.0,824360.0,793180.0,0.902,95.5,多頭,頭頭高·底底高,多頭確認,1,10,12,6.8,2,吃老本
HOOD,Financials,Robinhood Markets,2026-08-28,104.26,15.41,22.89,42.06,30.61,1.0,18466205,25940223,27070264,-13.74,-8.01,-16.23,P+V-,P+V-,P+V-,⚠️ 量能衰竭,2,15,4,6.3,43.71,8.63,False,True,101.37,20.5,1.274,False,153.86,153.86,-32.24,-3.58,20.45,11.0,9.0,20442490.0,16050744.0,1.222,16236400.0,21660350.0,18960366.0,0.856,100.0,擴散,頭頭高·底底低,,4,1,14,4.8,1,
AJG,Financials,Arthur J. Gallagher & Co.,2026-08-28,267.56,7.98,32.47,24.67,22.45,1.0,1285690,1595896,1820066,-11.99,-21.93,-0.89,P+V-,P+V-,P+V-,⚠️ 量能衰竭,7,2,17,7.5,0.94,0.98,False,True,248.88,9.93,1.114,False,310.73,313.55,-13.89,1.42,7.27,12.0,8.0,1340475.0,1203512.0,1.5,1151300.0,1302860.0,1289320.0,0.893,96.92,擴散,頭頭高·底底低,,7,9,13,9.0,5,
MRNA,Health Care,Moderna,2026-08-28,137.99,150.25,190.08,173.14,171.65,1.0,30347950,14537296,10989878,391.63,95.33,-4.51,P+V+,P+V+,P+V-,🚀 健康多頭,1,1,1,1.0,4.33,12.37,False,True,76.79,87.54,1.618,False,176.66,176.66,-21.89,-4.92,151.71,10.0,10.0,37513390.0,23182510.0,1.0,25766100.0,54793460.0,38677200.0,0.666,100.0,多頭,頭頭高·底底高,,1,1,22,5.2,3,
VEEV,Health Care,Veeva Systems,2026-08-28,276.69,34.15,68.32,57.4,54.32,1.0,2052615,2278896,2563713,31.51,-20.0,59.34,P+V+,P+V-,P+V+,➡️ 中性,2,2,5,2.6,5.77,4.91,False,True,207.61,22.9,1.376,False,310.5,310.5,-10.89,11.61,35.78,13.0,7.0,2269738.0,1649385.0,1.857,3641600.0,2142130.0,2043513.0,1.782,100.0,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,4,1,1,2.2,1,
CRL,Health Care,Charles River Laboratories,2026-08-28,291.5,26.26,60.75,75.54,59.52,1.0,979530,896063,900616,18.43,-1.01,-3.9,P+V+,P+V-,P+V-,➡️ 中性,3,3,3,3.0,10.31,5.42,False,True,245.1,8.31,1.252,False,303.31,303.31,-3.89,-1.25,25.37,13.0,7.0,1053776.0,841642.0,1.857,659800.0,895650.0,942246.0,0.7,100.0,擴散,頭頭高·底底低,多頭確認,3,1,20,5.6,4,
EXPD,Industrials,Expeditors International,2026-08-28,190.97,11.95,20.76,38.27,27.31,1.0,980520,1216643,1212033,-20.57,0.76,-12.91,P+V-,P+V+,P+V-,⚠️ 量能背離,4,7,3,4.7,19.93,27.77,False,True,175.66,3.85,1.087,False,192.28,192.28,-0.68,1.68,13.75,14.0,6.0,1004607.0,924316.0,2.333,567300.0,679330.0,741946.0,0.765,100.0,多頭,頭頭高·底底高,多頭確認,4,1,13,4.6,2,
PAYX,Industrials,Paychex,2026-08-28,127.04,7.96,34.4,46.94,34.06,1.0,2239685,3150495,3462388,-30.95,-16.53,6.93,P+V-,P+V-,P+V+,⚠️ 頂部背離,8,2,1,4.8,0.91,2.31,False,True,113.03,7.63,1.224,False,133.64,139.53,-4.94,2.06,8.73,13.0,7.0,2392769.0,1955385.0,1.857,1546100.0,2108510.0,2070033.0,0.747,100.0,多頭,頭頭高·底底高,多頭確認,1,1,17,4.2,1,
ADP,Industrials,Automatic Data Processing,2026-08-28,287.48,6.56,31.75,41.99,30.57,1.0,2177860,2573360,3033445,-8.76,-26.34,31.15,P+V-,P+V-,P+V+,⚠️ 頂部背離,11,3,2,6.8,1.58,2.26,False,True,255.55,7.89,1.203,False,297.05,305.31,-3.22,2.38,7.89,12.0,8.0,2335291.0,1941712.0,1.5,1761300.0,2173010.0,2071213.0,0.85,99.23,多頭,頭頭高·底底高,多頭確認,2,9,8,6.0,4,吃老本
