sector,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,z_point,z_capital,cpd,cpd_quadrant
綠能環保,2026-08-20,2,211.36,0.0,0,2,-772.8,-386.4,4.36,-0.26,-4.62,⚠️ Price Leading
電子零組件業,2026-08-20,15,83.28,80.0,12,15,17365.8,1157.72,1.32,0.43,-0.9,🚀 Confirmed
半導體業,2026-08-20,2,64.71,100.0,2,2,15680.8,7840.4,0.88,0.36,-0.52,🚀 Confirmed
塑膠工業,2026-08-20,3,48.1,33.3,1,3,-17745.8,-5915.27,0.49,-0.91,-1.4,⚠️ Price Leading
化學生技醫療,2026-08-20,2,44.47,100.0,2,2,1977.6,988.8,0.4,-0.16,-0.56,⚠️ Price Leading
電子工業,2026-08-20,53,33.94,54.7,29,53,-65841.6,-1242.29,0.15,-2.74,-2.89,⚠️ Price Leading
油電燃氣業,2026-08-20,1,32.61,0.0,0,1,-2041.0,-2041.0,0.12,-0.31,-0.43,⚠️ Price Leading
電腦及週邊設備業,2026-08-20,14,32.47,64.3,9,14,95723.1,6837.36,0.12,3.4,3.28,🚀 Confirmed
生技醫療業,2026-08-20,2,23.88,100.0,2,2,1667.6,833.8,-0.08,-0.17,-0.09,❄️ Weak
航運業,2026-08-20,5,22.31,80.0,4,5,57469.9,11493.98,-0.12,1.95,2.07,💰 Capital Leading
金融保險,2026-08-20,19,21.8,63.2,12,19,31395.4,1652.39,-0.13,0.96,1.09,💰 Capital Leading
電機機械,2026-08-20,9,19.06,77.8,7,9,5073.2,563.69,-0.2,-0.04,0.16,❄️ Weak
建材營造,2026-08-20,1,18.62,100.0,1,1,1765.2,1765.2,-0.21,-0.17,0.04,❄️ Weak
電子通路業,2026-08-20,3,18.25,0.0,0,3,-5252.1,-1750.7,-0.22,-0.43,-0.22,❄️ Weak
鋼鐵工業,2026-08-20,2,13.02,100.0,2,2,7785.9,3892.95,-0.34,0.06,0.4,💰 Capital Leading
其他,2026-08-20,2,12.4,50.0,1,2,2470.3,1235.15,-0.36,-0.14,0.22,❄️ Weak
其他電子業,2026-08-20,2,11.55,50.0,1,2,-6404.4,-3202.2,-0.38,-0.48,-0.1,❄️ Weak
食品工業,2026-08-20,2,7.12,100.0,2,2,12474.2,6237.1,-0.48,0.24,0.72,💰 Capital Leading
橡膠工業,2026-08-20,1,5.9,100.0,1,1,-99.1,-99.1,-0.51,-0.24,0.27,❄️ Weak
玻璃陶瓷,2026-08-20,1,4.77,100.0,1,1,221.2,221.2,-0.54,-0.22,0.31,❄️ Weak
汽車工業,2026-08-20,1,4.69,100.0,1,1,845.5,845.5,-0.54,-0.2,0.34,❄️ Weak
水泥工業,2026-08-20,2,4.21,100.0,2,2,2083.5,1041.75,-0.55,-0.15,0.4,❄️ Weak
電器電纜,2026-08-20,1,4.02,100.0,1,1,4338.1,4338.1,-0.55,-0.07,0.49,❄️ Weak
貿易百貨,2026-08-20,1,2.96,0.0,0,1,1688.3,1688.3,-0.58,-0.17,0.41,❄️ Weak
居家生活,2026-08-20,1,1.61,100.0,1,1,207.0,207.0,-0.61,-0.23,0.39,❄️ Weak
紡織纖維,2026-08-20,2,-0.76,50.0,1,2,3829.3,1914.65,-0.67,-0.09,0.58,❄️ Weak
運動休閒,2026-08-20,1,-5.83,100.0,1,1,-238.2,-238.2,-0.79,-0.24,0.55,❄️ Weak
