sector,as_of_date,stock_count,point,ret_4w,ret_13w,ret_26w,breadth_pct,breadth_up,breadth_total,inst_net_20d_shares,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,point_5d_avg,acceleration,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
半導體業,2026-09-21,1,105.15,16.4,18.22,192.99,100.0,1,1,2255892.0,992.6,992.6,16.36,88.79,3.01,-0.19,-3.21,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
塑膠工業,2026-09-21,3,59.14,18.92,39.24,89.19,100.0,3,3,187713101.0,13307.7,4435.9,60.61,-1.47,1.35,0.15,-1.2,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
油電燃氣業,2026-09-21,1,53.02,24.65,69.87,58.79,100.0,1,1,-62920.0,-5.6,-5.6,43.38,9.64,1.13,-0.22,-1.34,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
電子零組件業,2026-09-21,13,47.15,3.71,9.81,87.54,61.5,8,13,-26197601.0,-21884.100000000006,-1683.39,47.11,0.04,0.91,-0.82,-1.73,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
化學生技醫療,2026-09-21,1,43.33,-22.82,16.63,89.75,0.0,0,1,-5186637.0,-5964.6,-5964.6,55.87,-12.54,0.77,-0.38,-1.16,⚠️ Price Leading,,(無前一日資料),NEW,⚠️ Price Leading
金融保險,2026-09-21,15,35.21,14.52,21.63,52.35,100.0,15,15,1264757064.0,58074.200000000004,3871.61,36.05,-0.84,0.48,1.37,0.89,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
電腦及週邊設備業,2026-09-21,10,32.8,2.71,20.12,54.18,70.0,7,10,-212427533.0,-31051.100000000006,-3105.11,31.62,1.18,0.39,-1.07,-1.46,⚠️ Price Leading,🚀 Confirmed,🚀 Confirmed → ⚠️ Price Leading,REVERSING,⚠️ Price Leading
電子工業,2026-09-21,34,30.79,7.18,-3.02,59.5,67.6,23,34,1334568319.0,150789.4,4434.98,32.56,-1.77,0.32,3.92,3.6,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🔥 Overheated
航運業,2026-09-21,5,15.64,-3.19,22.64,21.55,0.0,0,5,72762411.0,7333.700000000001,1466.74,15.73,-0.09,-0.23,-0.02,0.21,❄️ Weak,💰 Capital Leading,💰 Capital Leading → ❄️ Weak,REVERSING,❄️ Weak
通信網路業,2026-09-21,1,13.32,7.79,9.21,18.14,100.0,1,1,54156050.0,6742.4,6742.4,,,-0.31,-0.03,0.28,❄️ Weak,,(無前一日資料),NEW,❄️ Weak
汽車工業,2026-09-21,1,6.57,0.77,7.84,8.84,100.0,1,1,213297.0,111.6,111.6,9.5,-2.93,-0.56,-0.22,0.34,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電子通路業,2026-09-21,3,6.44,4.95,2.47,9.18,100.0,3,3,-20207483.0,-5260.2,-1753.4,9.61,-3.17,-0.56,-0.36,0.2,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
其他,2026-09-21,1,4.94,-3.91,3.09,10.28,0.0,0,1,-18758451.0,-2072.8,-2072.8,9.06,-4.12,-0.62,-0.28,0.34,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
食品工業,2026-09-21,1,4.23,-4.11,3.44,8.8,0.0,0,1,14868597.0,1110.7,1110.7,5.31,-1.08,-0.64,-0.19,0.45,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電器電纜,2026-09-21,1,4.18,-3.51,-1.85,11.03,0.0,0,1,21069357.0,781.7,781.7,5.05,-0.87,-0.64,-0.2,0.45,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
紡織纖維,2026-09-21,1,3.89,-3.97,1.95,8.79,0.0,0,1,-14933025.0,-415.9,-415.9,2.79,1.1,-0.65,-0.23,0.42,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電機機械,2026-09-21,4,2.44,-8.48,-5.71,11.97,25.0,1,4,-3789536.0,-2691.8,-672.95,3.56,-1.12,-0.71,-0.29,0.41,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
水泥工業,2026-09-21,1,1.28,-1.83,3.44,1.76,0.0,0,1,-47262735.0,-1141.4,-1141.4,0.39,0.89,-0.75,-0.25,0.5,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
貿易百貨,2026-09-21,1,-0.53,-4.02,-1.61,1.75,0.0,0,1,-1961392.0,-421.7,-421.7,0.93,-1.46,-0.81,-0.23,0.58,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
鋼鐵工業,2026-09-21,1,-2.35,-2.1,-2.1,-2.6,0.0,0,1,-100136980.0,-1867.6,-1867.6,-1.86,-0.49,-0.88,-0.27,0.61,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
玻璃陶瓷,2026-09-21,1,-5.72,3.62,-14.02,-6.24,100.0,1,1,18658501.0,1121.4,1121.4,-4.72,-1.0,-1.0,-0.19,0.81,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
