sector,as_of_date,stock_count,point,ret_4w,ret_13w,ret_26w,breadth_pct,breadth_up,breadth_total,inst_net_20d_shares,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,point_5d_avg,acceleration,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
塑膠工業,2026-09-18,3,60.31,21.84,34.87,92.27,100.0,3,3,234290689.0,22233.300000000003,7411.1,62.94,-2.63,2.02,0.56,-1.47,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
油電燃氣業,2026-09-18,1,49.91,23.75,63.83,56.02,100.0,1,1,4658627.0,403.0,403.0,41.3,8.61,1.52,-0.23,-1.75,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
生技醫療業,2026-09-18,1,49.64,-20.0,19.67,99.45,0.0,0,1,-5267789.0,-6216.0,-6216.0,58.94,-9.3,1.51,-0.47,-1.97,⚠️ Price Leading,,(無前一日資料),NEW,⚠️ Price Leading
電子零組件業,2026-09-18,14,46.32,4.15,1.68,89.73,50.0,7,14,-71869600.0,-49385.0,-3527.5,49.54,-3.22,1.35,-2.02,-3.37,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
金融保險,2026-09-18,15,35.35,15.9,21.87,51.82,100.0,15,15,1411228351.0,67508.99999999999,4500.6,36.04,-0.69,0.81,2.19,1.37,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
電子工業,2026-09-18,35,33.29,8.09,-3.05,64.06,85.7,30,35,969800986.0,87804.09999999999,2508.69,33.51,-0.22,0.71,2.92,2.2,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
電腦及週邊設備業,2026-09-18,9,30.25,3.37,15.53,51.06,77.8,7,9,-158804795.0,15263.2,1695.91,33.02,-2.77,0.57,0.31,-0.26,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
半導體業,2026-09-18,1,20.95,-2.78,-34.99,60.78,0.0,0,1,-4291087.0,-1877.4,-1877.4,16.89,4.06,0.12,-0.31,-0.43,⚠️ Price Leading,❄️ Weak,❄️ Weak → ⚠️ Price Leading,ADVANCING,⚠️ Price Leading
航運業,2026-09-18,5,15.75,-3.29,22.07,22.1,0.0,0,5,75696507.0,8215.6,1643.12,15.96,-0.21,-0.13,0.05,0.19,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
電子通路業,2026-09-18,3,7.16,4.02,-0.46,12.55,100.0,3,3,-21649185.0,-5449.599999999999,-1816.53,10.52,-3.36,-0.55,-0.44,0.11,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
汽車工業,2026-09-18,1,6.65,2.87,11.64,6.04,100.0,1,1,291566.0,156.6,156.6,10.09,-3.44,-0.58,-0.24,0.34,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
其他,2026-09-18,1,6.65,-3.03,1.83,13.9,0.0,0,1,-7069655.0,-791.8,-791.8,9.3,-2.65,-0.58,-0.27,0.3,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
食品工業,2026-09-18,1,5.47,-3.1,4.97,10.0,0.0,0,1,24698402.0,1852.4,1852.4,5.41,0.06,-0.63,-0.18,0.46,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
紡織纖維,2026-09-18,1,3.91,-4.58,2.33,8.95,0.0,0,1,-11953503.0,-335.9,-335.9,3.27,0.64,-0.71,-0.26,0.45,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電機機械,2026-09-18,4,3.28,-6.35,-8.04,13.76,25.0,1,4,-3510021.0,-2387.7,-596.92,4.5,-1.22,-0.74,-0.33,0.41,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電器電纜,2026-09-18,1,2.79,-2.62,-8.96,11.36,0.0,0,1,19743967.0,732.5,732.5,6.35,-3.56,-0.76,-0.22,0.54,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
水泥工業,2026-09-18,1,2.01,-1.42,3.44,3.02,0.0,0,1,-66123156.0,-1610.1,-1610.1,0.67,1.34,-0.8,-0.3,0.5,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
貿易百貨,2026-09-18,1,0.77,-3.13,1.76,2.23,0.0,0,1,-733682.0,-158.8,-158.8,1.09,-0.32,-0.86,-0.25,0.61,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
鋼鐵工業,2026-09-18,1,-2.27,-2.34,-3.09,-1.83,0.0,0,1,-94258363.0,-1767.3,-1767.3,-1.43,-0.84,-1.01,-0.31,0.7,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
玻璃陶瓷,2026-09-18,1,-7.56,3.34,-23.24,-5.16,100.0,1,1,22774113.0,1339.1,1339.1,-2.53,-5.03,-1.26,-0.2,1.07,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
