symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,earnings_passed
NFLX,Communication Services,Netflix,2024-01-22,57.04,17.16,43.37,33.97,32.12,1.0,1,1,1,1.0,-4.8,6.74,False,True,48.09,20.56,2.29,False,57.96,-1.59,18.11,15.99,10.0,10.0,92177300.0,40250700.0,1.0,127706000.0,93677700.0,77231533.0,1.654,100.0,1,1,2,1.2,1,,False
VZ,Communication Services,Verizon,2024-01-22,36.01,14.36,28.93,29.4,25.52,1.0,2,4,3,2.8,-0.15,3.55,False,True,32.14,10.73,0.946,False,36.08,-0.21,7.81,15.56,15.0,5.0,24019813.0,25388080.0,3.0,20367200.0,25750950.0,25452920.0,0.8,100.0,2,1,13,3.8,2,,False
META,Communication Services,Meta Platforms,2024-01-22,390.71,11.35,32.83,21.1,21.59,1.0,3,2,6,3.3,21.96,2.51,False,True,346.32,10.01,0.968,False,393.34,-0.67,2.79,10.15,13.0,7.0,15642007.0,16162442.0,1.857,13163700.0,16250670.0,16206940.0,0.812,100.0,3,1,12,4.0,3,,True
NWS,Communication Services,News Corp (Class B),2024-01-22,25.31,0.12,22.91,31.58,21.55,1.0,17,9,2,11.6,71.43,100.0,False,True,23.77,6.83,1.018,False,25.59,-1.11,2.96,0.55,11.0,9.0,817527.0,803133.0,1.222,414600.0,750950.0,808826.0,0.513,87.66,4,16,19,11.8,16,吃老本,True
NWSA,Communication Services,News Corp (Class A),2024-01-22,24.28,0.77,22.35,28.27,19.92,1.0,16,10,4,11.8,71.43,100.0,False,True,22.71,7.28,1.036,False,24.58,-1.24,2.95,1.31,12.0,8.0,2330125.0,2249025.0,1.5,1975500.0,2407090.0,2328326.0,0.848,92.6,5,13,11,9.4,7,吃老本,True
T,Communication Services,AT&T,2024-01-22,15.29,4.72,18.57,23.93,17.79,1.0,12,12,5,10.6,-3.16,3.09,False,True,14.51,7.1,1.021,False,17.81,-14.14,3.72,5.98,10.0,10.0,42838750.0,41954010.0,1.0,38567300.0,47469270.0,44372593.0,0.869,87.95,6,14,10,10.0,9,吃老本,False
GOOG,Communication Services,Alphabet Inc. (Class C),2024-01-22,152.45,9.13,24.63,15.62,16.25,1.0,4,5,7,4.9,7.05,7.29,False,True,138.61,9.64,1.079,False,153.41,-0.63,3.93,8.73,11.0,9.0,18840536.0,17469100.0,1.222,19494500.0,19331730.0,18672986.0,1.044,94.02,7,10,7,8.2,5,,True
GOOGL,Communication Services,Alphabet Inc. (Class A),2024-01-22,150.85,8.95,24.57,14.79,15.78,1.0,5,6,9,6.1,7.05,7.29,False,True,137.13,9.68,1.072,False,151.7,-0.56,3.97,8.42,11.0,9.0,24784900.0,23109966.0,1.222,26115500.0,25677750.0,24718926.0,1.056,93.74,8,11,6,8.8,6,,True
OMC,Communication Services,Omnicom Group,2024-01-22,83.28,5.06,23.85,12.03,13.24,1.0,11,8,10,9.9,0.51,-0.06,False,True,77.2,5.79,0.86,False,89.35,-6.8,3.43,4.91,11.0,9.0,1300563.0,1512988.0,1.222,1312300.0,1472330.0,1498480.0,0.876,87.69,9,15,9,11.4,13,吃老本,True
TTWO,Communication Services,Take-Two Interactive,2024-01-22,167.39,4.0,24.52,10.42,12.34,1.0,13,7,12,11.0,37.58,-13.66,False,True,159.19,6.83,1.011,False,169.56,-1.28,2.63,3.98,12.0,8.0,1101500.0,1089637.0,1.5,1123100.0,1130110.0,1095140.0,1.026,93.63,10,12,8,10.4,12,,True
TMUS,Communication Services,T-Mobile US,2024-01-22,155.75,1.14,16.33,15.62,12.18,1.0,15,14,7,13.1,-6.53,5.69,False,True,150.63,3.89,0.806,False,159.39,-2.28,-1.82,2.67,14.0,6.0,4545221.0,5639550.0,2.333,8882500.0,5590790.0,5124166.0,1.733,99.98,11,7,1,7.4,4,,False
DIS,Communication Services,Walt Disney Company (The),2024-01-22,92.76,5.62,20.6,11.08,12.09,1.0,10,11,11,10.5,15.11,6.77,False,True,89.8,6.9,0.966,False,114.58,-19.05,2.47,5.51,13.0,7.0,11778646.0,12199228.0,1.857,7812800.0,13003690.0,12414773.0,0.629,99.05,12,8,17,11.4,13,,True
CMCSA,Communication Services,Comcast,2024-01-22,39.35,6.2,17.48,3.63,7.74,1.0,8,13,13,10.5,6.35,13.67,False,True,36.59,9.74,1.106,False,39.85,-1.24,6.71,5.86,12.0,8.0,18733657.0,16944026.0,1.5,21432189.0,20800962.0,18740539.0,1.144,98.05,13,9,4,9.6,8,,True
EA,Communication Services,Electronic Arts,2024-01-22,137.78,1.91,13.85,1.44,4.66,1.0,14,16,14,14.6,64.33,-0.54,False,True,135.59,3.2,0.86,False,141.78,-2.82,1.23,1.98,11.0,9.0,1285681.0,1495644.0,1.222,1800400.0,1387320.0,1417780.0,1.27,85.06,14,17,3,13.0,17,,True
FOXA,Communication Services,Fox Corporation (Class A),2024-01-22,31.27,8.59,9.44,-2.29,3.36,0.667,6,19,16,11.9,8.81,22.46,False,True,29.35,6.13,1.109,False,35.62,-12.22,3.83,8.48,14.0,6.0,3006857.0,2710133.0,2.333,1707800.0,2713110.0,3009153.0,0.568,100.0,15,1,18,10.0,9,剛爆發,True
LYV,Communication Services,Live Nation Entertainment,2024-01-22,89.29,-4.6,15.96,-0.04,2.82,0.333,19,15,15,17.0,90.53,38.44,False,True,89.16,3.69,1.027,False,101.74,-12.24,-2.07,-3.97,9.0,11.0,1865744.0,1816209.0,0.818,2191900.0,1935890.0,1954206.0,1.122,77.04,16,18,5,14.6,18,,True
FOX,Communication Services,Fox Corporation (Class B),2024-01-22,28.79,7.56,9.7,-3.61,2.51,0.667,7,18,17,12.3,21.11,22.22,False,True,27.26,5.96,1.038,False,32.78,-12.18,3.52,7.6,14.0,6.0,1041378.0,1003233.0,2.333,731500.0,858780.0,989220.0,0.739,100.0,17,1,14,10.0,9,剛爆發,True
PSKY,Communication Services,Paramount Skydance Corporation,2024-01-22,13.21,-6.69,29.38,-9.35,1.0,0.333,22,3,19,15.7,-16.36,-15.38,False,False,13.87,12.55,1.127,False,24.29,-45.59,2.99,-7.94,8.0,12.0,15190287.0,13479300.0,0.667,8992600.0,13345140.0,13997560.0,0.642,76.15,18,19,16,18.0,19,,False
CHTR,Communication Services,Charter Communications,2024-01-22,377.07,-2.99,1.36,-4.97,-2.89,0.333,18,23,18,19.5,,,,,,,,,,,,,,,,,,,,,,,19,20,20,,20,,False
TKO,Communication Services,TKO Group Holdings,2024-01-22,84.79,6.08,5.58,-15.16,-4.67,0.667,9,20,20,14.5,44.78,,False,True,76.94,25.31,1.807,False,111.39,-23.88,11.59,6.85,8.0,12.0,2264287.0,1253108.0,0.667,1341800.0,2431520.0,1912060.0,0.702,100.0,20,1,15,11.4,13,剛爆發,False
WBD,Communication Services,Warner Bros. Discovery,2024-01-22,10.62,-6.68,11.2,-16.97,-7.35,0.333,21,17,21,19.8,,,,,,,,,,,,,,,,,,,,,,,21,20,20,,20,,False
TTD,Communication Services,Trade Desk (The),2024-01-22,68.01,-5.49,1.72,-24.81,-13.35,0.333,20,22,22,21.0,,,,,,,,,,,,,,,,,,,,,,,22,20,20,,20,,False
ECHO,Communication Services,EchoStar,2024-01-22,13.85,-16.42,4.37,-27.94,-16.98,0.333,23,21,23,22.4,,,,,,,,,,,,,,,,,,,,,,,23,20,20,,20,,False
