sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert
XLE,能源,Energy,2026-08-06,58.16,55.08,55.3,52.53,5.59,5.17,10.73,8.05,1.0,29856890,25084300,29533260,0.849,-1.36,6.09,14,6,29192628,31952983,0.914,2.333,100.0,1,5,2,2,4,1,2.4,1,2.0,1,
XLF,金融,Financials,2026-08-06,57.81,55.71,51.06,53.79,3.77,13.22,7.47,7.98,1.0,33545500,27704200,32842686,0.844,1.42,4.09,13,7,33094630,34296114,0.965,1.857,97.76,2,2,4,3,5,2,2.4,1,3.0,2,
XLI,工業,Industrials,2026-08-06,184.76,181.92,172.77,172.27,1.56,6.94,7.25,5.75,1.0,7196050,5520400,6920593,0.798,3.57,2.02,12,8,6784191,6669525,1.017,1.5,92.94,5,3,5,5,6,4,4.4,4,4.8,3,
XLV,醫療保健,Health Care,2026-08-06,164.45,160.84,142.86,156.37,2.24,15.11,5.16,6.92,1.0,11298270,9435100,9828473,0.96,0.57,1.41,9,10,9429433,10227430,0.922,0.9,80.71,4,1,6,4,3,8,3.5,3,5.4,4,
XLK,資訊科技,Information Technology,2026-08-06,185.33,185.78,175.31,140.79,-0.24,5.72,31.64,17.19,0.667,10189960,6706000,9441086,0.71,5.46,-0.01,7,13,9377800,8850130,1.06,0.538,78.8,9,4,1,1,8,10,5.9,6,6.0,5,吃老本
XLB,材料,Materials,2026-08-06,52.17,50.89,51.4,51.09,2.52,1.5,2.11,2.06,1.0,12552260,9000600,11648046,0.773,1.03,3.8,11,9,10537718,11507855,0.916,1.222,87.05,3,8,7,7,7,5,5.3,5,6.2,6,
XLRE,房地產,Real Estate,2026-08-06,44.81,44.45,44.02,41.35,0.81,1.78,8.37,4.84,1.0,5859390,4976400,5179993,0.961,-1.08,1.31,8,12,5088162,4795941,1.061,0.667,78.92,7,7,3,6,2,9,6.2,7,6.4,7,
XLY,非必需消費,Consumer Discretionary,2026-08-06,118.1,117.24,119.96,117.52,0.73,-1.55,0.49,0.04,0.667,8146140,4827900,8390340,0.575,5.08,1.07,12,8,8063225,7856500,1.026,1.5,93.13,8,9,9,8,11,3,8.5,9,6.6,8,
XLP,必需消費,Consumer Staples,2026-08-06,85.11,84.12,83.6,86.85,1.18,1.81,-2.0,-0.25,0.667,12883140,8275700,11825273,0.7,-0.42,2.3,10,10,11474460,10646360,1.078,1.0,85.07,6,6,10,9,9,6,6.8,8,7.8,9,
XLU,公用事業,Utilities,2026-08-06,43.38,45.41,44.44,42.78,-4.47,-2.38,1.41,-1.01,0.333,22271770,27020100,20628566,1.31,-2.87,-3.88,7,13,17063328,20667669,0.826,0.538,69.05,11,10,8,10,1,11,10.1,10,8.6,10,
XLC,通訊服務,Communication Services,2026-08-06,111.18,111.64,116.64,115.09,-0.41,-4.68,-3.4,-2.97,0.0,6328770,3904200,6362540,0.614,4.32,0.61,10,10,5703030,6768070,0.843,1.0,81.84,10,11,11,11,10,7,10.5,11,9.2,11,
