sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,flow_30d_net_M,flow_30d_gross_M,flow_ratio,flow_up_ratio,dist_20ma_pct,dist_50ma_pct,rsi14_sector,position_20d,resistance_20d,support_20d,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,flow_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert,pct_30d,n_30d,acc_pct_30d,pct_90d,n_90d,acc_pct_90d,pct_365d,n_365d,acc_pct_365d,breadth_pct,breadth_up,breadth_total,breadth_source_date,breadth_30d_up,breadth_30d_down,breadth_30d_ratio,point_5d_avg,acceleration,quadrant,quadrant_zh,quadrant_desc,consecutive_pos_days,health_key,health_emoji,health_zh,health_desc
XLK,資訊科技,Information Technology,2026-09-17,188.06,183.1,186.22,136.47,2.71,0.99,37.81,19.83,1.0,6784190,7390700,6700020,1.103,1.53,2.41,11,8,6401936,6431062,0.995,1.375,90.1,927.1,35195.6,0.026,0.5,1.63,2.75,55.75,93.6,188.61,180.05,1,4,1,1,2,1,3,1.9,1,1.2,1,,100.0,11,,87.5,16,,88.9,18,,23.3,17,73,2026-09-10,121,35,77.6,15.63,4.2,leading,領先,資金持續流入、動能未退,21,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLE,能源,Energy,2026-09-17,64.48,63.75,54.96,56.91,1.15,17.31,13.29,11.26,1.0,33754310,35534300,31705660,1.121,-0.69,1.42,11,9,28297618,32359500,0.874,1.222,84.21,10773.4,53611.1,0.201,0.633,0.63,5.73,56.65,62.5,65.93,62.06,3,1,4,2,1,2,1,2.6,2,1.8,2,,9.1,11,,25.0,16,,27.8,18,,85.7,18,21,2026-09-10,102,20,83.6,13.93,-2.67,weakening,減弱,高位但動能見頂,22,neutral,➡️,中性,無明顯訊號
XLC,通訊服務,Communication Services,2026-09-17,112.35,110.68,112.03,113.79,1.51,0.29,-1.27,-0.18,0.667,4401020,4251200,4384773,0.97,0.76,0.93,9,11,4157977,4319890,0.963,0.818,79.98,-338.1,13970.3,-0.024,0.5,0.06,1.05,51.04,38.0,115.07,110.68,2,5,10,6,3,3,4,4.5,5,4.2,3,,100.0,11,,100.0,16,,88.9,18,,45.8,11,24,2026-09-10,60,32,65.2,-2.16,1.98,leading,領先,資金持續流入、動能未退,0,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLV,醫療保健,Health Care,2026-09-17,168.81,172.39,152.27,148.52,-2.08,10.86,13.66,9.03,0.667,7537150,5832200,7355493,0.793,1.9,-3.91,9,11,7277655,7423272,0.98,0.818,77.84,2569.8,38803.0,0.066,0.5,-0.99,1.31,51.07,34.7,175.29,165.36,5,2,3,3,8,4,2,3.7,4,4.4,4,,20.0,10,,40.0,15,,35.3,17,,42.4,25,59,2026-09-10,148,17,89.7,9.31,-0.28,weakening,減弱,高位但動能見頂,18,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLF,金融,Financials,2026-09-17,55.88,56.95,54.16,48.47,-1.88,3.18,15.29,7.97,0.667,33543890,29191300,31706486,0.921,-1.74,-2.78,7,13,29465357,30963007,0.952,0.538,72.36,-15870.9,50565.8,-0.314,0.367,-2.7,-2.26,37.11,0.0,58.56,55.88,4,3,2,4,5,8,11,3.3,3,5.8,5,,18.2,11,,31.2,16,,38.9,18,,18.4,14,76,2026-09-10,162,20,89.0,9.51,-1.54,weakening,減弱,高位但動能見頂,17,neutral,➡️,中性,無明顯訊號
XLB,材料,Materials,2026-09-17,50.71,52.42,52.52,48.79,-3.26,-3.45,3.94,0.29,0.333,10874480,9063800,11372240,0.797,-0.1,-3.45,7,12,10728700,11602225,0.925,0.583,72.83,-2735.0,16848.9,-0.162,0.4,-2.79,-2.06,40.19,10.6,53.67,50.36,7,7,5,5,7,7,8,6.6,6,6.2,6,,18.2,11,,12.5,16,,11.1,18,,24.0,6,25,2026-09-10,94,14,87.0,0.61,-0.32,weakening,減弱,高位但動能見頂,5,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLU,公用事業,Utilities,2026-09-17,41.69,43.77,44.77,46.34,-4.75,-6.89,-10.03,-7.93,0.0,20651050,20994900,22327446,0.94,-1.95,-5.29,9,10,20950144,20765950,1.009,0.9,77.2,-665.6,26346.1,-0.025,0.467,-2.31,-5.03,35.75,15.1,43.77,41.32,9,11,11,11,4,5,6,10.0,11,7.2,7,剛爆發,0.0,11,,0.0,16,,0.0,18,,12.9,4,31,2026-09-10,15,119,11.2,-4.94,-2.99,lagging,落後,資金持續流出,0,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLP,必需消費,Consumer Staples,2026-09-17,83.49,85.32,85.0,83.69,-2.14,-1.78,-0.23,-1.1,0.0,10932520,7635600,9962360,0.766,0.48,-3.52,9,11,9360733,10120127,0.925,0.818,76.54,-660.6,23777.2,-0.028,0.5,-1.56,-1.69,42.89,10.0,87.45,83.05,6,6,9,8,10,6,5,6.6,6,7.6,8,,18.2,11,,13.3,15,,11.8,17,,32.4,11,34,2026-09-10,72,31,69.9,-0.64,-0.46,lagging,落後,資金持續流出,0,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLRE,房地產,Real Estate,2026-09-17,42.94,45.08,44.71,41.6,-4.75,-3.96,3.21,-0.57,0.333,4863040,4356100,5271340,0.826,-0.26,-4.56,6,13,4123116,5333792,0.773,0.462,67.61,-2240.1,6727.5,-0.333,0.367,-2.5,-3.8,34.82,5.1,45.36,42.81,9,8,6,7,6,11,7,8.1,8,8.4,9,,9.1,11,,6.2,16,,11.1,18,,10.0,3,30,2026-09-10,39,67,36.8,0.56,-1.13,lagging,落後,資金持續流出,0,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLI,工業,Industrials,2026-09-17,169.01,179.77,179.41,163.79,-5.99,-5.8,3.19,-1.35,0.333,7123710,5851100,7484500,0.782,-0.9,-7.11,7,13,7150514,7240861,0.988,0.538,70.73,-10066.5,34526.3,-0.292,0.367,-3.14,-5.69,31.49,2.6,180.34,168.71,11,10,7,9,9,9,10,9.9,10,9.0,10,,36.4,11,,25.0,16,,22.2,18,,6.2,5,81,2026-09-10,125,31,80.1,-2.19,0.84,improving,改善,落後股翻轉候選,0,neutral,➡️,中性,無明顯訊號
