sector,as_of_date,stock_count,point,ret_4w,ret_13w,ret_26w,breadth_pct,breadth_up,breadth_total,inst_net_20d_shares,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,point_5d_avg,acceleration,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
光電業,2026-09-22,1,97.73,1.83,31.91,178.6,100.0,1,1,-1009081.0,-6463.2,-6463.2,,,2.95,-0.35,-3.3,⚠️ Price Leading,,(無前一日資料),NEW,⚠️ Price Leading
塑膠工業,2026-09-22,3,51.93,9.87,28.01,84.93,100.0,3,3,128501648.0,5574.5,1858.17,59.84,-7.91,1.18,-0.05,-1.23,⚠️ Price Leading,🚀 Confirmed,🚀 Confirmed → ⚠️ Price Leading,REVERSING,⚠️ Price Leading
油電燃氣業,2026-09-22,1,48.14,23.86,57.97,55.37,100.0,1,1,7288622.0,635.6,635.6,45.61,2.53,1.04,-0.17,-1.21,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
生技醫療業,2026-09-22,1,45.76,-26.81,11.05,99.4,0.0,0,1,-6455162.0,-7488.0,-7488.0,52.84,-7.08,0.94,-0.37,-1.32,⚠️ Price Leading,,(無前一日資料),NEW,⚠️ Price Leading
電子零組件業,2026-09-22,13,44.06,2.71,9.09,82.23,53.8,7,13,-40679091.0,-25898.999999999996,-1992.23,46.01,-1.95,0.88,-0.83,-1.7,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
電子工業,2026-09-22,34,36.27,7.0,0.59,68.75,64.7,22,34,1024411579.0,170154.4,5004.54,32.63,3.64,0.58,3.99,3.42,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
金融保險,2026-09-22,15,35.94,14.01,22.73,53.51,100.0,15,15,1210198503.0,55204.09999999999,3680.27,35.8,0.14,0.56,1.17,0.6,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
電腦及週邊設備業,2026-09-22,10,31.13,-1.01,18.18,53.67,50.0,5,10,-253148637.0,-34774.9,-3477.49,31.54,-0.41,0.38,-1.04,-1.42,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
航運業,2026-09-22,5,17.66,1.57,22.13,23.48,60.0,3,5,107601101.0,8519.8,1703.96,15.73,1.93,-0.14,0.02,0.16,💰 Capital Leading,❄️ Weak,❄️ Weak → 💰 Capital Leading,ADVANCING,💰 Capital Leading
電機機械,2026-09-22,4,13.25,4.9,-0.06,24.07,25.0,1,4,-7858129.0,-9143.5,-2285.88,3.15,10.1,-0.31,-0.41,-0.1,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
汽車工業,2026-09-22,1,8.12,-0.38,9.11,11.88,0.0,0,1,186891.0,97.4,97.4,8.74,-0.62,-0.51,-0.19,0.32,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電子通路業,2026-09-22,3,6.87,5.27,1.89,10.16,100.0,3,3,-8870269.0,-3714.7999999999997,-1238.27,8.5,-1.63,-0.56,-0.28,0.28,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電器電纜,2026-09-22,1,6.01,-6.09,-3.01,16.58,0.0,0,1,6734306.0,249.2,249.2,5.05,0.96,-0.59,-0.18,0.41,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
食品工業,2026-09-22,1,4.92,-3.99,3.3,10.19,0.0,0,1,15706663.0,1171.7,1171.7,5.13,-0.21,-0.63,-0.16,0.47,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
紡織纖維,2026-09-22,1,4.75,-2.45,2.67,9.4,0.0,0,1,-8117089.0,-226.1,-226.1,2.8,1.95,-0.64,-0.19,0.45,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
水泥工業,2026-09-22,1,4.62,1.03,4.94,6.25,100.0,1,1,-1720869.0,-42.2,-42.2,0.83,3.79,-0.65,-0.19,0.46,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
其他,2026-09-22,1,3.26,-7.69,2.09,9.31,0.0,0,1,-25693461.0,-2774.9,-2774.9,7.96,-4.7,-0.7,-0.26,0.44,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
貿易百貨,2026-09-22,1,0.51,-4.04,-1.2,3.64,0.0,0,1,-2156121.0,-461.4,-461.4,0.47,0.04,-0.8,-0.2,0.6,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
鋼鐵工業,2026-09-22,1,-1.62,-3.62,-2.85,-0.01,0.0,0,1,-112106556.0,-2090.8,-2090.8,-1.99,0.37,-0.89,-0.24,0.65,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
半導體業,2026-09-22,1,-5.31,2.62,-15.94,-3.95,100.0,1,1,181572639.0,13036.9,13036.9,26.75,-32.06,-1.03,0.13,1.16,💰 Capital Leading,⚠️ Price Leading,⚠️ Price Leading → 💰 Capital Leading,ADVANCING,💰 Capital Leading
玻璃陶瓷,2026-09-22,1,-6.05,-1.51,-15.15,-3.76,0.0,0,1,-3264945.0,-192.0,-192.0,-5.37,-0.68,-1.06,-0.19,0.86,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
