sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert
XLP,必需消費,Consumer Staples,2022-02-25,67.39,67.19,63.45,62.9,0.3,6.21,7.14,5.2,1.0,18514780,21141600,17349160,1.219,0.03,1.48,12,8,15185358,20280450,0.749,1.5,86.5,5,2,2,2,3,4,3.5,3,3.0,1,
XLV,醫療保健,Health Care,2022-02-25,121.65,121.21,122.13,124.15,0.36,-0.39,-2.02,-1.02,0.333,13655790,17012300,12937806,1.315,1.93,2.41,10,10,14808520,12800870,1.157,1.0,87.46,4,5,8,6,2,1,5.1,6,3.2,2,
XLU,公用事業,Utilities,2022-02-25,29.52,29.69,28.93,29.47,-0.56,2.02,0.16,0.44,0.667,37123060,42528000,36996560,1.15,1.87,0.64,10,10,41969140,35892120,1.169,1.0,86.59,6,3,4,4,5,3,4.7,5,3.8,3,
XLF,金融,Financials,2022-02-25,36.18,35.83,35.7,35.76,0.98,1.33,1.17,1.17,1.0,72010940,99127100,69486633,1.427,-0.33,2.3,11,9,63673654,71367966,0.892,1.222,85.2,3,4,3,3,1,6,3.3,2,3.8,3,
XLE,能源,Energy,2022-02-25,29.44,28.05,23.45,20.55,4.95,25.53,43.22,29.23,1.0,84598740,78423000,81005640,0.968,0.6,4.51,10,10,74948900,85180060,0.88,1.0,83.34,1,1,1,1,8,8,1.0,1,5.2,5,吃老本
XLY,非必需消費,Consumer Discretionary,2022-02-25,84.79,85.71,98.07,87.25,-1.07,-13.53,-2.82,-5.06,0.0,25497480,27338000,23662960,1.155,-2.72,1.08,11,9,24504909,22233088,1.102,1.222,87.18,8,10,9,10,4,2,8.8,9,5.6,6,剛爆發
XLB,材料,Materials,2022-02-25,38.55,38.04,39.3,38.92,1.35,-1.89,-0.94,-0.61,0.333,19874200,22258400,20731106,1.074,0.4,1.93,9,11,17510111,21659163,0.808,0.818,77.74,2,6,6,5,6,10,4.0,4,7.2,7,
XLK,資訊科技,Information Technology,2022-02-25,74.6,76.37,80.08,76.09,-2.31,-6.84,-1.95,-3.26,0.0,31492440,28301600,28659733,0.988,0.23,1.96,10,10,29461520,28539780,1.032,1.0,84.33,10,9,7,8,7,7,9.1,10,7.4,8,
XLI,工業,Industrials,2022-02-25,92.56,93.1,96.01,97.29,-0.57,-3.59,-4.86,-3.47,0.0,14964440,13511700,14348293,0.942,-0.03,0.12,11,9,14561600,15067166,0.966,1.222,85.31,7,8,10,9,10,5,7.9,8,7.6,9,
XLRE,房地產,Real Estate,2022-02-25,39.35,40.17,40.67,39.62,-2.05,-3.24,-0.68,-1.66,0.0,6887610,6193400,6514520,0.951,2.18,1.35,9,11,6325822,6459636,0.979,0.818,81.09,9,7,5,7,9,9,7.6,7,8.2,10,
