sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert
XLK,資訊科技,Information Technology,2024-12-27,117.72,115.67,111.4,111.76,1.78,5.68,5.34,4.53,1.0,10000400,8726400,9455520,0.923,2.32,2.72,13,7,8579369,9417371,0.911,1.857,96.36,2,4,7,4,2,1,3.6,3,2.4,1,
XLY,非必需消費,Consumer Discretionary,2024-12-27,113.43,109.55,98.97,89.7,3.54,14.61,26.45,17.76,1.0,7882480,6097200,7231013,0.843,0.81,4.61,13,7,6309938,8036285,0.785,1.857,94.68,1,1,1,1,6,2,1.0,1,2.4,1,
XLC,通訊服務,Communication Services,2024-12-27,96.42,96.41,88.19,83.67,0.02,9.34,15.24,9.96,1.0,4302830,4100400,4297300,0.954,1.01,0.56,12,8,3738233,4332312,0.863,1.5,88.34,3,2,3,3,1,3,2.7,2,2.6,3,
XLF,金融,Financials,2024-12-27,47.67,49.99,43.96,39.88,-4.64,8.43,19.52,10.71,0.667,42865490,33852400,39406506,0.859,2.42,-4.49,8,12,35713762,41465875,0.861,0.667,73.35,5,3,2,2,4,4,3.8,4,3.2,4,
XLU,公用事業,Utilities,2024-12-27,36.49,39.45,38.26,32.2,-7.5,-4.61,13.34,3.64,0.333,18092700,13805400,17780866,0.776,1.97,-7.47,7,13,16951257,18201707,0.931,0.538,70.68,8,8,4,5,8,6,7.2,7,6.0,5,
XLRE,房地產,Real Estate,2024-12-27,38.59,42.38,41.71,35.92,-8.94,-7.48,7.43,-0.39,0.333,5913990,4588800,5364873,0.855,2.29,-9.37,5,15,5755540,4714813,1.221,0.333,71.66,9,9,6,8,5,5,8.4,9,6.2,6,
XLP,必需消費,Consumer Staples,2024-12-27,76.23,79.4,79.21,72.68,-3.99,-3.76,4.89,0.51,0.333,9347900,6601700,9015180,0.732,0.3,-3.5,7,13,7250185,10307861,0.703,0.538,68.41,4,7,8,7,11,7,5.7,5,7.8,7,
XLI,工業,Industrials,2024-12-27,130.76,140.59,131.64,118.6,-6.99,-0.67,10.25,3.21,0.333,7973480,6060000,7549006,0.803,1.26,-6.46,6,14,5827433,7362078,0.792,0.429,66.91,7,5,5,6,7,10,6.0,6,7.8,7,
XLV,醫療保健,Health Care,2024-12-27,135.39,142.99,148.43,140.85,-5.31,-8.78,-3.88,-5.46,0.0,8769000,5948000,8038900,0.74,2.42,-5.02,6,14,6298050,7951392,0.792,0.429,68.25,6,10,10,9,10,8,8.0,8,8.8,9,
XLE,能源,Energy,2024-12-27,40.36,45.21,41.27,42.79,-10.74,-2.2,-5.68,-6.08,0.0,28954700,20369800,27171666,0.75,2.34,-10.36,6,14,24103466,26560542,0.907,0.429,67.03,11,6,11,10,9,9,9.5,10,9.4,10,
XLB,材料,Materials,2024-12-27,41.3,45.85,46.88,42.53,-9.91,-11.9,-2.88,-6.9,0.0,10077920,8568000,9641906,0.889,1.01,-9.46,3,17,8150733,10115000,0.806,0.176,61.48,10,11,9,11,3,11,10.1,11,9.4,10,
