sector,as_of_date,stock_count,point,ret_4w,ret_13w,ret_26w,breadth_pct,breadth_up,breadth_total,inst_net_20d_shares,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,point_5d_avg,acceleration,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
半導體業,2026-09-14,1,63.57,11.47,4.04,119.39,100.0,1,1,2554589.0,2457.5,2457.5,47.1,16.47,1.82,0.15,-1.67,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
塑膠工業,2026-09-14,3,63.02,12.53,55.95,91.8,100.0,3,3,129479631.0,6312.6,2104.2,74.91,-11.89,1.8,0.3,-1.49,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
生技醫療業,2026-09-14,1,54.57,-15.0,38.81,97.23,0.0,0,1,-3735690.0,-4445.5,-4445.5,66.22,-11.65,1.43,-0.12,-1.54,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
電子零組件業,2026-09-14,12,52.66,-2.18,14.9,98.96,50.0,6,12,-24736421.0,-27030.3,-2252.53,58.25,-5.59,1.34,-1.0,-2.34,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
油電燃氣業,2026-09-14,1,41.85,15.0,58.88,46.76,100.0,1,1,-20417115.0,-1690.5,-1690.5,39.7,2.15,0.87,-0.01,-0.88,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
金融保險,2026-09-14,15,36.46,15.1,25.94,52.4,100.0,15,15,1276117207.0,61355.700000000004,4090.38,33.51,2.95,0.63,2.46,1.82,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
電腦及週邊設備業,2026-09-14,10,33.21,0.73,18.07,57.03,50.0,5,10,-135449421.0,-12902.299999999996,-1290.23,39.19,-5.98,0.49,-0.45,-0.94,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
電子工業,2026-09-14,36,30.46,1.01,-3.17,61.99,50.0,18,36,-61712895.0,-82342.50000000001,-2287.29,41.27,-10.81,0.37,-3.16,-3.54,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
航運業,2026-09-14,5,15.64,2.69,18.35,20.75,80.0,4,5,304835623.0,29155.499999999996,5831.1,17.19,-1.55,-0.27,1.2,1.47,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
電子通路業,2026-09-14,3,11.99,1.07,-2.77,24.84,66.7,2,3,-39824883.0,-7340.299999999999,-2446.77,11.02,0.97,-0.43,-0.23,0.2,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
其他,2026-09-14,1,10.43,3.65,2.76,17.66,100.0,1,1,9420068.0,1069.2,1069.2,10.22,0.21,-0.5,0.1,0.6,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
汽車工業,2026-09-14,1,10.39,5.08,16.07,10.2,100.0,1,1,331747.0,178.5,178.5,8.92,1.47,-0.5,0.06,0.57,💰 Capital Leading,❄️ Weak,❄️ Weak → 💰 Capital Leading,ADVANCING,💰 Capital Leading
食品工業,2026-09-14,1,5.15,-2.1,1.67,10.51,0.0,0,1,63961251.0,4771.5,4771.5,6.62,-1.47,-0.73,0.24,0.98,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
電機機械,2026-09-14,4,4.46,-9.71,-3.25,15.39,0.0,0,4,3240181.0,-2685.6,-671.4,12.46,-8.0,-0.76,-0.05,0.72,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電器電纜,2026-09-14,1,4.17,-0.27,-7.5,12.23,0.0,0,1,25075963.0,927.8,927.8,11.17,-7.0,-0.78,0.09,0.87,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
紡織纖維,2026-09-14,1,3.81,1.08,6.98,3.59,100.0,1,1,48754740.0,1370.0,1370.0,6.48,-2.67,-0.79,0.11,0.9,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
貿易百貨,2026-09-14,1,1.77,0.7,-1.36,3.88,100.0,1,1,5694024.0,1232.8,1232.8,1.38,0.39,-0.88,0.11,0.99,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
水泥工業,2026-09-14,1,-0.89,-0.83,-0.51,-1.11,0.0,0,1,-49032152.0,-1171.9,-1171.9,2.92,-3.81,-1.0,0.01,1.01,💰 Capital Leading,❄️ Weak,❄️ Weak → 💰 Capital Leading,ADVANCING,💰 Capital Leading
鋼鐵工業,2026-09-14,1,-1.68,-0.79,-0.27,-2.83,0.0,0,1,-4652641.0,-87.5,-87.5,0.05,-1.73,-1.03,0.05,1.09,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
玻璃陶瓷,2026-09-14,1,-2.46,2.3,-14.24,1.05,100.0,1,1,21341932.0,1233.6,1233.6,3.3,-5.76,-1.07,0.11,1.17,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
