sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert
XLE,能源,Energy,2026-08-20,63.75,59.62,59.06,54.13,6.93,7.93,17.76,12.6,1.0,24390950,24304100,25964246,0.936,4.41,7.36,13,7,25947246,29309171,0.885,1.857,99.53,1,3,2,2,5,1,1.8,1,2.2,1,
XLV,醫療保健,Health Care,2026-08-20,172.39,162.57,149.23,155.49,6.04,15.52,10.87,10.82,1.0,8150820,9673400,9458673,1.023,2.38,6.78,10,10,9930430,9518660,1.043,1.0,88.28,3,1,3,3,4,6,2.4,2,4.4,2,
XLF,金融,Financials,2026-08-20,56.95,56.31,51.76,52.04,1.14,10.03,9.44,7.51,1.0,27391840,30704200,28728480,1.069,-2.25,2.01,11,9,29032172,32224388,0.901,1.222,84.4,8,2,4,4,3,7,5.4,5,5.0,3,
XLY,非必需消費,Consumer Discretionary,2026-08-20,116.68,109.41,118.94,116.98,6.64,-1.9,-0.26,1.06,0.333,5103320,5155600,6378586,0.808,-1.49,7.28,11,9,7838563,5141155,1.525,1.222,98.79,2,9,8,8,8,2,5.3,4,5.6,4,剛爆發
XLB,材料,Materials,2026-08-20,52.42,51.26,50.1,52.53,2.26,4.63,-0.21,1.62,0.667,9986100,9367300,11206760,0.836,0.21,4.24,11,9,11672436,10776311,1.083,1.222,89.91,6,5,7,7,6,4,5.9,6,5.6,4,
XLP,必需消費,Consumer Staples,2026-08-20,85.32,84.13,84.22,86.8,1.41,1.31,-1.7,-0.17,0.667,8765360,11495300,9393726,1.224,-0.79,2.54,11,9,11237263,10319455,1.089,1.222,88.59,7,8,9,9,1,5,7.7,9,5.8,6,
XLI,工業,Industrials,2026-08-20,179.77,182.66,171.35,176.3,-1.58,4.91,1.97,1.82,0.667,5190670,6497700,5972426,1.088,-3.24,-1.19,10,10,6429280,5957440,1.079,1.0,81.87,9,4,6,6,2,8,6.9,7,6.0,7,
XLK,資訊科技,Information Technology,2026-08-20,183.1,175.88,180.18,140.54,4.11,1.62,30.29,16.57,1.0,5986100,5012100,7074920,0.708,-4.02,2.61,7,13,8737057,7738553,1.129,0.538,77.79,5,7,1,1,11,10,4.8,3,6.6,8,吃老本
XLC,通訊服務,Communication Services,2026-08-20,110.68,106.3,115.16,116.13,4.12,-3.89,-4.69,-2.29,0.333,3952230,3599100,4498593,0.8,-1.66,5.03,12,8,4969808,5396537,0.921,1.5,90.97,4,11,11,10,9,3,7.5,8,7.0,9,剛爆發
XLRE,房地產,Real Estate,2026-08-20,45.08,45.95,44.17,42.89,-1.89,2.05,5.1,2.59,0.667,5346620,4409000,5650606,0.78,-0.09,0.29,10,10,5201360,6004650,0.866,1.0,80.3,10,6,5,5,10,9,7.8,10,7.6,10,
XLU,公用事業,Utilities,2026-08-20,43.77,46.29,45.06,45.72,-5.44,-2.87,-4.26,-4.21,0.0,18354790,17077400,20670246,0.826,-0.61,-5.24,7,12,18765042,21587825,0.869,0.583,70.57,11,10,10,11,7,11,10.5,11,10.2,11,
