sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert
XLY,非必需消費,Consumer Discretionary,2023-08-25,80.34,84.29,74.0,69.84,-4.69,8.57,15.04,8.49,0.667,7636400,10093000,7670573,1.316,1.23,-4.69,10,10,8270520,7746100,1.068,1.0,81.36,6,3,3,3,2,2,4.5,4,2.4,1,
XLK,資訊科技,Information Technology,2023-08-25,82.7,87.22,80.6,66.42,-5.19,2.6,24.5,11.6,0.667,11997060,15686600,11918240,1.316,2.27,-5.19,9,11,11574533,12287127,0.942,0.818,76.55,10,9,1,2,2,5,7.9,8,3.2,2,
XLE,能源,Energy,2023-08-25,39.78,38.99,35.46,37.72,2.03,12.18,5.46,6.28,1.0,35545020,38036800,37167360,1.023,-1.37,2.03,10,10,39774700,36255460,1.097,1.0,84.87,1,1,5,4,9,1,1.8,1,3.8,3,
XLI,工業,Industrials,2023-08-25,102.03,105.5,93.81,95.29,-3.29,8.77,7.07,4.91,0.667,8982390,13142500,8454440,1.555,0.28,-3.29,8,12,8429550,8624975,0.977,0.667,75.24,3,2,4,5,1,6,2.9,2,4.6,4,
XLC,通訊服務,Communication Services,2023-08-25,63.21,66.52,60.0,51.25,-4.98,5.35,23.34,11.76,0.667,5312590,6548200,5407026,1.211,0.49,-4.98,6,13,4962533,5856976,0.847,0.462,68.96,8,6,2,1,4,10,6.2,6,5.2,5,吃老本
XLV,醫療保健,Health Care,2023-08-25,126.87,128.56,120.78,121.24,-1.32,5.04,4.65,3.25,0.667,8777040,8509100,9039126,0.941,-0.09,-1.32,9,11,9239866,10098809,0.915,0.818,77.46,2,7,6,6,11,3,4.3,3,5.8,6,
XLP,必需消費,Consumer Staples,2023-08-25,66.75,70.14,67.21,66.23,-4.84,-0.68,0.79,-0.98,0.333,12487300,13088500,11660306,1.122,-0.82,-4.84,7,13,10855685,11435076,0.949,0.538,71.46,7,10,7,8,5,9,7.9,8,7.8,7,
XLF,金融,Financials,2023-08-25,32.42,33.57,30.49,33.69,-3.44,6.33,-3.78,-1.17,0.333,37569170,40347200,36665746,1.1,0.03,-3.44,7,12,32830257,38815208,0.846,0.583,71.5,4,5,11,9,6,8,5.7,5,8.0,8,
XLU,公用事業,Utilities,2023-08-25,29.07,30.63,29.27,29.97,-5.09,-0.69,-3.0,-2.94,0.0,25529200,24981000,25925466,0.964,0.22,-5.09,9,10,26181733,28297720,0.925,0.9,76.73,9,11,10,11,10,4,9.8,11,8.0,8,剛爆發
XLRE,房地產,Real Estate,2023-08-25,32.9,34.2,31.92,33.85,-3.8,3.08,-2.8,-1.58,0.333,4657190,4985900,4544753,1.097,0.72,-3.8,8,12,4698337,5024708,0.935,0.667,74.37,5,8,9,10,7,7,6.7,7,8.2,10,
XLB,材料,Materials,2023-08-25,38.14,40.25,35.81,37.97,-5.24,6.5,0.44,0.54,0.667,9288520,10757800,10074173,1.068,-0.04,-5.24,7,13,9669885,12739800,0.759,0.538,68.2,11,4,8,7,8,11,8.3,10,8.8,11,
