sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,flow_30d_net_M,flow_30d_gross_M,flow_ratio,flow_up_ratio,dist_20ma_pct,dist_50ma_pct,rsi14_sector,position_20d,resistance_20d,support_20d,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,flow_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert,pct_30d,n_30d,acc_pct_30d,pct_90d,n_90d,acc_pct_90d,pct_365d,n_365d,acc_pct_365d,breadth_pct,breadth_up,breadth_total,breadth_source_date,breadth_30d_up,breadth_30d_down,breadth_30d_ratio,point_5d_avg,acceleration,quadrant,quadrant_zh,quadrant_desc,consecutive_pos_days,health_key,health_emoji,health_zh,health_desc
XLE,能源,Energy,2026-09-04,64.06,60.18,58.33,55.75,6.45,9.82,14.9,11.52,1.0,26322270,26281800,26112486,1.006,2.2,11.41,13,7,25393507,26245114,0.968,1.857,100.0,4865.2,48974.2,0.099,0.567,1.89,8.2,63.18,78.9,65.1,60.18,1,3,2,2,2,1,1,1.8,1,1.6,1,,40.0,10,,46.2,13,,50.0,14,,100.0,21,21,2026-09-02,60,14,81.1,14.0,-2.48,weakening,減弱,高位但動能見頂,17,neutral,➡️,中性,無明顯訊號
XLV,醫療保健,Health Care,2026-09-04,171.45,168.44,151.41,155.41,1.79,13.23,10.32,8.91,1.0,6396000,6083000,7672953,0.793,0.17,3.48,10,10,8129450,6636880,1.225,1.0,88.59,1801.6,43942.9,0.041,0.5,0.08,3.45,55.53,51.0,175.68,167.05,2,1,4,4,9,2,4,2.1,2,4.2,2,,11.1,9,,33.3,12,,30.8,13,,72.9,43,59,2026-09-02,92,13,87.6,10.27,-1.36,weakening,減弱,高位但動能見頂,14,neutral,➡️,中性,無明顯訊號
XLK,資訊科技,Information Technology,2026-09-04,187.28,186.32,192.94,137.17,0.52,-2.93,36.54,17.66,0.667,6041960,5103800,6203933,0.823,0.86,-0.37,10,10,5687360,6282690,0.905,1.0,80.96,-2766.4,40079.7,-0.069,0.467,0.85,2.56,55.3,67.4,190.77,180.05,3,11,1,1,8,7,10,5.0,4,4.8,3,吃老本,80.0,10,,76.9,13,,78.6,14,,41.1,30,73,2026-09-02,79,24,76.7,15.11,2.55,leading,領先,資金持續流入、動能未退,16,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLF,金融,Financials,2026-09-04,58.1,57.81,52.01,50.77,0.5,11.71,14.44,10.27,1.0,27437610,26345200,29268520,0.9,0.0,0.87,10,10,26474140,29000950,0.913,1.0,81.5,2351.1,50662.7,0.046,0.533,0.41,2.18,55.51,71.4,58.56,56.95,4,2,3,3,6,6,3,3.2,3,4.8,3,,70.0,10,,76.9,13,,78.6,14,,39.5,30,76,2026-09-02,109,11,90.8,9.43,0.84,leading,領先,資金持續流入、動能未退,21,neutral,➡️,中性,無明顯訊號
XLP,必需消費,Consumer Staples,2026-09-04,84.58,84.95,81.47,86.65,-0.44,3.81,-2.39,-0.35,0.333,8372220,9903700,9255460,1.07,-1.02,-0.63,10,10,9058310,8629600,1.05,1.0,82.58,1508.8,25853.1,0.058,0.5,-1.15,-0.53,45.29,0.0,87.45,84.58,7,4,9,7,1,5,6,6.5,5,5.0,5,,33.3,9,,33.3,12,,38.5,13,,52.9,18,34,2026-09-02,50,18,73.5,-0.39,0.04,improving,改善,落後股翻轉候選,0,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLB,材料,Materials,2026-09-04,52.44,53.18,51.43,51.52,-1.39,1.97,1.79,1.04,0.667,11509280,10873800,11015953,0.987,-1.39,-0.79,8,11,11121162,10836418,1.026,0.727,77.84,-317.7,17973.3,-0.018,0.467,-0.72,1.19,49.5,34.9,53.67,51.78,9,5,6,5,3,8,7,7.2,8,5.8,6,,10.0,10,,23.1,13,,21.4,14,,48.0,12,25,2026-09-02,61,11,84.7,1.61,-0.57,weakening,減弱,高位但動能見頂,2,neutral,➡️,中性,無明顯訊號
XLU,公用事業,Utilities,2026-09-04,43.08,43.13,43.66,46.45,-0.12,-1.33,-7.25,-3.99,0.0,21586130,18858100,20444686,0.922,0.82,-1.22,11,8,19865900,21050887,0.944,1.375,86.74,-3871.8,27410.0,-0.141,0.433,-0.65,-3.06,44.01,40.9,44.31,42.23,6,9,11,11,5,3,11,7.9,9,6.6,7,剛爆發,70.0,10,,53.8,13,,50.0,14,,16.1,5,31,2026-09-02,12,68,15.0,-5.51,1.52,improving,改善,落後股翻轉候選,0,neutral,➡️,中性,無明顯訊號
XLY,非必需消費,Consumer Discretionary,2026-09-04,114.91,119.67,117.03,113.9,-3.98,-1.81,0.88,-1.0,0.333,4764030,5120000,5270373,0.971,-1.96,-4.13,7,13,5382000,4806430,1.12,0.538,74.41,3361.2,20792.5,0.162,0.5,-1.94,-1.15,44.58,6.3,119.67,114.59,10,10,7,8,4,9,2,9.4,11,7.6,8,,30.0,10,,38.5,13,,35.7,14,,31.9,15,47,2026-09-02,72,19,79.1,-1.11,0.11,improving,改善,落後股翻轉候選,0,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLC,通訊服務,Communication Services,2026-09-04,112.03,111.83,112.82,117.28,0.18,-0.7,-4.48,-2.37,0.333,3833320,2689600,3869893,0.695,-0.85,0.7,10,10,4028850,3945590,1.021,1.0,82.95,1757.6,15515.4,0.113,0.567,0.19,1.3,51.79,56.6,113.38,110.27,5,8,10,10,11,4,5,6.9,7,7.8,9,剛爆發,30.0,10,,46.2,13,,42.9,14,,66.7,16,24,2026-09-02,39,21,65.0,-2.04,-0.33,lagging,落後,資金持續流出,0,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLRE,房地產,Real Estate,2026-09-04,43.93,44.4,44.01,43.03,-1.06,-0.19,2.09,0.73,0.333,4928240,3829200,5131760,0.746,-1.24,-2.33,8,11,4455162,5749427,0.775,0.727,72.57,-1711.7,7202.7,-0.238,0.4,-1.61,-2.05,40.3,12.3,45.36,43.73,8,6,5,6,10,11,9,6.8,6,8.8,10,,10.0,10,,7.7,13,,14.3,14,,26.7,8,30,2026-09-02,25,39,39.1,1.47,-0.74,weakening,減弱,高位但動能見頂,14,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
