sector,as_of_date,stock_count,point,ret_4w,ret_13w,ret_26w,breadth_pct,breadth_up,breadth_total,inst_net_20d_shares,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,point_5d_avg,acceleration,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
半導體業,2026-09-23,1,113.59,12.94,19.88,210.77,100.0,1,1,3637065.0,1618.5,1618.5,20.34,93.25,3.23,-0.1,-3.33,⚠️ Price Leading,💰 Capital Leading,💰 Capital Leading → ⚠️ Price Leading,REVERSING,⚠️ Price Leading
電子零組件業,2026-09-23,13,52.58,1.77,12.79,97.88,53.8,7,13,-26476573.0,-7749.000000000004,-596.08,47.11,5.47,1.04,-0.53,-1.57,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
塑膠工業,2026-09-23,3,50.84,1.16,22.41,89.89,33.3,1,3,105843735.0,5473.099999999999,1824.37,57.63,-6.79,0.98,0.07,-0.91,🚀 Confirmed,⚠️ Price Leading,⚠️ Price Leading → 🚀 Confirmed,ADVANCING,🚀 Confirmed
油電燃氣業,2026-09-23,1,48.5,20.08,56.17,58.87,100.0,1,1,452221.0,39.5,39.5,46.9,1.6,0.9,-0.18,-1.07,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
化學生技醫療,2026-09-23,1,48.07,-24.68,9.19,103.88,0.0,0,1,-7029535.0,-8259.7,-8259.7,51.69,-3.62,0.88,-0.55,-1.43,⚠️ Price Leading,,(無前一日資料),NEW,⚠️ Price Leading
電子工業,2026-09-23,34,33.96,6.57,-1.68,65.48,58.8,20,34,859033994.0,75853.5,2230.99,33.03,0.93,0.38,3.25,2.88,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
金融保險,2026-09-23,15,33.91,12.87,19.45,51.66,100.0,15,15,1158051598.0,52535.7,3502.38,36.01,-2.1,0.38,2.2,1.82,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
電腦及週邊設備業,2026-09-23,10,31.21,-0.5,19.05,53.14,60.0,6,10,-217623268.0,-34791.7,-3479.17,31.42,-0.21,0.28,-1.75,-2.03,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
航運業,2026-09-23,5,16.97,1.07,21.39,22.7,60.0,3,5,95206569.0,7698.7,1539.74,16.46,0.51,-0.23,0.17,0.4,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
通信網路業,2026-09-23,1,12.27,6.49,6.99,17.79,100.0,1,1,50060434.0,6157.4,6157.4,13.32,-1.05,-0.4,0.1,0.5,💰 Capital Leading,,(無前一日資料),NEW,💰 Capital Leading
電子通路業,2026-09-23,3,9.92,9.31,3.13,13.61,100.0,3,3,4748430.0,-1779.9999999999995,-593.33,7.72,2.2,-0.48,-0.26,0.22,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
水泥工業,2026-09-23,1,9.9,6.43,7.86,12.66,100.0,1,1,-2551913.0,-65.5,-65.5,1.97,7.93,-0.48,-0.18,0.3,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電機機械,2026-09-23,4,9.59,-3.61,-2.54,22.26,25.0,1,4,-18625653.0,-9743.599999999999,-2435.9,5.23,4.36,-0.49,-0.62,-0.13,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
汽車工業,2026-09-23,1,6.4,-1.33,8.33,9.3,0.0,0,1,-18019.0,-9.4,-9.4,8.3,-1.9,-0.61,-0.18,0.43,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電器電纜,2026-09-23,1,6.23,-5.78,-2.79,16.75,0.0,0,1,-1320388.0,-48.4,-48.4,5.16,1.07,-0.61,-0.18,0.43,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
食品工業,2026-09-23,1,6.22,-2.2,3.71,11.69,0.0,0,1,11501920.0,867.2,867.2,5.13,1.09,-0.61,-0.14,0.48,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
紡織纖維,2026-09-23,1,5.56,-1.76,2.32,10.84,0.0,0,1,-6205920.0,-173.1,-173.1,3.25,2.31,-0.64,-0.19,0.45,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
其他,2026-09-23,1,3.06,-5.68,0.32,8.8,0.0,0,1,-26417977.0,-2853.1,-2853.1,6.6,-3.54,-0.73,-0.31,0.42,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
貿易百貨,2026-09-23,1,-0.39,-3.4,-2.1,1.96,0.0,0,1,-2853742.0,-607.8,-607.8,0.32,-0.71,-0.85,-0.2,0.64,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
鋼鐵工業,2026-09-23,1,-2.66,-2.61,-1.32,-3.35,0.0,0,1,-113594353.0,-2118.5,-2118.5,-1.99,-0.67,-0.93,-0.27,0.66,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
玻璃陶瓷,2026-09-23,1,-4.99,-2.7,-17.24,0.0,0.0,0,1,3571153.0,205.7,205.7,-5.78,0.79,-1.01,-0.17,0.85,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
