supply_chain,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,node_count,resonance_pct,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
CCL / High-Speed Materials,2026-09-04,4,90.0,100.0,4,4,17322.3,4330.57,3,66.7,2.53,0.27,-2.26,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Display & Optical,2026-09-04,3,75.76,33.3,1,3,6262.9,2087.63,2,100.0,1.9,-0.01,-1.91,⚠️ Price Leading,🚀 Confirmed,🚀 Confirmed → ⚠️ Price Leading,REVERSING,⚠️ Price Leading
Thermal / Liquid Cooling,2026-09-04,4,55.1,100.0,4,4,34301.6,8575.4,2,100.0,0.99,0.7,-0.29,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Passive Components,2026-09-04,2,48.16,50.0,1,2,-51725.3,-25862.65,2,100.0,0.68,-1.48,-2.16,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
AI Server / ODM,2026-09-04,13,46.78,76.9,10,13,-31798.2,-2446.02,6,100.0,0.62,-0.97,-1.6,⚠️ Price Leading,🚀 Confirmed,🚀 Confirmed → ⚠️ Price Leading,REVERSING,⚠️ Price Leading
AI / HPC Semiconductor,2026-09-04,9,40.81,66.7,6,9,112197.8,12466.42,8,100.0,0.36,2.67,2.31,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
PCB / HDI / IC Substrate,2026-09-04,10,39.26,50.0,5,10,22261.3,2226.13,7,100.0,0.29,0.39,0.11,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Robotics / Automation,2026-09-04,4,32.54,50.0,2,4,2190.3,547.57,3,100.0,-0.01,-0.11,-0.11,❄️ Weak,💰 Capital Leading,💰 Capital Leading → ❄️ Weak,REVERSING,❄️ Weak
Advanced Packaging,2026-09-04,8,32.27,37.5,3,8,71151.7,8893.96,3,66.7,-0.02,1.63,1.65,💰 Capital Leading,🚀 Confirmed,🚀 Confirmed → 💰 Capital Leading,REVERSING,💰 Capital Leading
Data Center Power / PSU,2026-09-04,4,29.21,50.0,2,4,-20562.5,-5140.62,4,100.0,-0.16,-0.69,-0.53,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Memory / HBM,2026-09-04,5,28.22,20.0,1,5,35824.7,7164.94,5,80.0,-0.2,0.74,0.94,💰 Capital Leading,🚀 Confirmed,🚀 Confirmed → 💰 Capital Leading,REVERSING,💰 Capital Leading
Semiconductor Equipment & Materials,2026-09-04,8,27.2,12.5,1,8,-9668.9,-1208.61,6,100.0,-0.24,-0.41,-0.17,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Cloud / Data Center / Cybersecurity,2026-09-04,8,24.18,75.0,6,8,-18691.0,-2336.38,4,100.0,-0.38,-0.64,-0.26,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Optical Communication / AI Networking,2026-09-04,1,20.03,0.0,0,1,-16148.5,-16148.5,1,,-0.56,-0.58,-0.02,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Biotech / Innovative Drug / CDMO,2026-09-04,2,19.85,0.0,0,2,-5560.0,-2780.0,2,50.0,-0.57,-0.31,0.26,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Shipping / Logistics,2026-09-04,4,16.95,75.0,3,4,47864.4,11966.1,2,100.0,-0.7,1.04,1.74,💰 Capital Leading,🚀 Confirmed,🚀 Confirmed → 💰 Capital Leading,REVERSING,💰 Capital Leading
Energy Storage / Battery,2026-09-04,1,13.53,100.0,1,1,-26875.4,-26875.4,1,,-0.85,-0.85,-0.0,❄️ Weak,⚠️ Price Leading,⚠️ Price Leading → ❄️ Weak,REVERSING,❄️ Weak
EV / Auto Electronics,2026-09-04,4,13.1,50.0,2,4,-41523.5,-10380.88,3,100.0,-0.87,-1.22,-0.35,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Smart Grid / Transformer,2026-09-04,4,4.18,75.0,3,4,6265.1,1566.28,3,66.7,-1.26,-0.01,1.25,❄️ Weak,💰 Capital Leading,💰 Capital Leading → ❄️ Weak,REVERSING,❄️ Weak
Steel,2026-09-04,1,-2.76,0.0,0,1,299.1,299.1,1,,-1.57,-0.16,1.41,❄️ Weak,💰 Capital Leading,💰 Capital Leading → ❄️ Weak,REVERSING,❄️ Weak
