sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert
XLF,金融,Financials,2024-01-26,37.21,36.2,30.13,33.57,2.79,23.5,10.84,11.99,1.0,45694830,38620200,44225066,0.873,1.9,2.77,13,7,42112815,40942971,1.029,1.857,98.28,3,2,3,3,3,1,2.7,3,2.2,1,
XLK,資訊科技,Information Technology,2024-01-26,99.33,94.76,79.15,87.22,4.82,25.49,13.87,14.51,1.0,14547960,10553000,14132040,0.747,0.79,4.62,13,7,13891030,15295114,0.908,1.857,96.84,2,1,1,1,8,2,1.5,1,2.8,2,
XLC,通訊服務,Communication Services,2024-01-26,75.47,70.59,61.15,66.52,6.91,23.43,13.45,14.31,1.0,5788590,4718200,5703473,0.827,3.81,6.56,12,8,5632891,6053687,0.93,1.5,94.24,1,3,2,2,4,3,1.8,2,2.8,2,
XLI,工業,Industrials,2024-01-26,109.67,110.21,92.74,105.5,-0.49,18.26,3.95,6.42,0.667,9124290,7031100,9108646,0.772,0.87,-0.59,9,11,9559755,9515881,1.005,0.818,79.85,7,5,4,4,7,6,5.8,5,5.4,4,
XLV,醫療保健,Health Care,2024-01-26,133.58,130.81,117.58,128.56,2.12,13.61,3.9,5.88,1.0,8071480,5759100,8287253,0.695,-0.14,2.49,9,11,8336722,8517145,0.979,0.818,80.84,4,7,5,5,10,5,5.1,4,6.0,5,
XLE,能源,Energy,2024-01-26,38.92,38.73,38.72,38.99,0.49,0.51,-0.19,0.15,0.667,35249640,36469600,35949533,1.014,5.09,-1.27,11,9,35575545,35304688,1.008,1.222,87.24,6,11,7,10,2,4,7.7,8,6.0,5,剛爆發
XLU,公用事業,Utilities,2024-01-26,28.46,29.44,27.05,30.63,-3.35,5.2,-7.09,-3.08,0.333,37771560,36653200,34890213,1.051,0.38,-2.78,9,11,31044866,34001927,0.913,0.818,76.73,8,10,11,11,1,8,9.2,11,7.8,7,
XLP,必需消費,Consumer Staples,2024-01-26,67.91,67.35,61.78,70.14,0.83,9.91,-3.18,1.09,0.667,11160190,7432800,10818226,0.687,0.8,1.09,9,11,9800488,11700400,0.838,0.818,77.9,5,9,10,8,11,7,7.2,6,8.2,8,
XLY,非必需消費,Consumer Discretionary,2024-01-26,84.07,87.56,73.12,84.29,-3.99,14.97,-0.27,2.61,0.333,8907540,6977800,8923253,0.782,-1.84,-5.08,6,14,9089666,9713971,0.936,0.429,69.02,11,6,8,7,5,11,8.9,10,8.2,8,
XLRE,房地產,Real Estate,2024-01-26,35.39,36.84,29.43,34.2,-3.92,20.25,3.48,5.82,0.667,6810510,4398000,6164873,0.713,-0.54,-4.37,8,12,5560150,6560858,0.847,0.667,71.99,10,4,6,6,9,10,7.4,7,8.2,8,
XLB,材料,Materials,2024-01-26,39.4,40.85,35.55,40.25,-3.54,10.86,-2.09,0.78,0.333,9561100,7799400,10021693,0.778,0.34,-4.29,9,11,10056866,12520672,0.803,0.818,73.89,9,8,9,9,6,9,8.7,9,8.4,11,
