sector,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,z_point,z_capital,cpd,cpd_quadrant
綠能環保,2026-09-01,2,143.31,50.0,1,2,-215.3,-107.65,3.64,-0.51,-4.15,⚠️ Price Leading
半導體業,2026-09-01,2,73.77,100.0,2,2,17256.7,8628.35,1.51,0.13,-1.37,🚀 Confirmed
電子零組件業,2026-09-01,15,73.65,93.3,14,15,55329.3,3688.62,1.5,1.54,0.03,🚀 Confirmed
塑膠工業,2026-09-01,3,60.07,100.0,3,3,9913.7,3304.57,1.09,-0.14,-1.22,⚠️ Price Leading
化學生技醫療,2026-09-01,2,44.64,50.0,1,2,5569.0,2784.5,0.61,-0.3,-0.91,⚠️ Price Leading
生技醫療業,2026-09-01,2,39.35,50.0,1,2,-1607.0,-803.5,0.45,-0.56,-1.01,⚠️ Price Leading
電子工業,2026-09-01,53,34.65,75.5,40,53,77347.6,1459.39,0.31,2.35,2.04,🚀 Confirmed
油電燃氣業,2026-09-01,1,34.39,100.0,1,1,-1080.8,-1080.8,0.3,-0.54,-0.84,⚠️ Price Leading
電腦及週邊設備業,2026-09-01,14,32.35,92.9,13,14,102408.8,7314.91,0.24,3.27,3.03,🚀 Confirmed
金融保險,2026-09-01,19,22.96,78.9,15,19,34463.2,1813.85,-0.05,0.77,0.82,💰 Capital Leading
建材營造,2026-09-01,1,19.09,100.0,1,1,2139.7,2139.7,-0.17,-0.42,-0.25,❄️ Weak
航運業,2026-09-01,5,18.47,60.0,3,5,52306.5,10461.3,-0.19,1.43,1.61,💰 Capital Leading
電機機械,2026-09-01,9,14.37,66.7,6,9,-2060.6,-228.96,-0.31,-0.58,-0.26,❄️ Weak
其他電子業,2026-09-01,2,13.9,50.0,1,2,-3858.8,-1929.4,-0.33,-0.64,-0.32,❄️ Weak
鋼鐵工業,2026-09-01,2,11.22,100.0,2,2,5758.8,2879.4,-0.41,-0.29,0.12,❄️ Weak
其他,2026-09-01,2,8.45,100.0,2,2,760.9,380.45,-0.5,-0.47,0.02,❄️ Weak
電子通路業,2026-09-01,3,7.57,0.0,0,3,-8618.9,-2872.97,-0.52,-0.82,-0.3,❄️ Weak
電器電纜,2026-09-01,1,6.55,100.0,1,1,5831.0,5831.0,-0.55,-0.29,0.27,❄️ Weak
水泥工業,2026-09-01,2,4.74,100.0,2,2,2185.8,1092.9,-0.61,-0.42,0.19,❄️ Weak
橡膠工業,2026-09-01,1,3.73,100.0,1,1,-219.4,-219.4,-0.64,-0.51,0.13,❄️ Weak
食品工業,2026-09-01,2,3.5,100.0,2,2,9325.9,4662.95,-0.65,-0.16,0.49,❄️ Weak
汽車工業,2026-09-01,1,2.56,100.0,1,1,-124.9,-124.9,-0.68,-0.51,0.17,❄️ Weak
居家生活,2026-09-01,1,0.05,0.0,0,1,212.3,212.3,-0.75,-0.49,0.26,❄️ Weak
玻璃陶瓷,2026-09-01,1,0.02,100.0,1,1,1832.8,1832.8,-0.75,-0.43,0.32,❄️ Weak
貿易百貨,2026-09-01,1,-1.12,0.0,0,1,884.6,884.6,-0.79,-0.47,0.32,❄️ Weak
紡織纖維,2026-09-01,2,-2.3,50.0,1,2,2355.1,1177.55,-0.82,-0.41,0.41,❄️ Weak
運動休閒,2026-09-01,1,-5.66,100.0,1,1,-618.9,-618.9,-0.93,-0.52,0.4,❄️ Weak
