symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
CHTR,Communication Services,Charter Communications,2023-08-21,416.78,5.04,26.2,11.2,13.41,1.0,4,1,12,4.7,-0.61,-12.49,False,True,389.59,4.76,0.891,False,467.92,-10.93,-0.88,5.04,11.0,9.0,1135209.0,1273788.0,1.222,939300.0,1290420.0,1150860.0,0.816,86.6,11,5,13,9.0,8,剛爆發
CMCSA,Communication Services,Comcast,2023-08-21,38.18,0.53,15.98,24.71,16.48,1.0,5,2,8,4.7,15.51,10.92,False,True,36.46,5.01,0.965,False,39.85,-4.19,-0.63,0.53,10.0,10.0,16215039.0,16810083.0,1.0,13925737.0,17008822.0,16841741.0,0.827,81.95,7,9,12,8.8,7,
NWS,Communication Services,News Corp (Class B),2023-08-21,20.74,7.83,13.73,21.15,15.97,1.0,1,3,10,3.4,100.0,125.0,False,True,19.81,6.14,0.92,False,21.62,-4.07,0.05,7.83,12.0,7.0,879275.0,956100.0,1.714,865600.0,811170.0,911920.0,0.949,96.53,8,1,8,5.2,3,剛爆發
CVNA,Consumer Discretionary,Carvana,2023-08-21,8.24,-6.41,250.94,414.36,268.31,0.667,25,1,1,13.0,48.06,19.6,False,True,7.41,13.44,1.245,False,11.44,-27.96,5.08,-6.41,8.0,12.0,67207875.0,53981500.0,0.667,52867500.0,39709150.0,46872166.0,1.128,79.97,1,12,6,6.4,3,吃老本
CCL,Consumer Discretionary,Carnival Corporation,2023-08-21,15.73,-14.01,40.96,50.14,31.81,0.667,43,2,2,22.5,8.14,8.83,False,False,17.07,9.11,0.958,False,19.34,-18.67,1.99,-14.01,7.0,13.0,23892928.0,24932546.0,0.538,19060500.0,22319430.0,23167600.0,0.823,67.24,2,24,20,14.4,14,吃老本
DPZ,Consumer Discretionary,Domino's,2023-08-21,363.5,-5.03,27.49,29.02,20.12,0.667,21,3,8,13.0,0.36,7.36,False,True,354.05,5.77,1.074,False,392.74,-7.44,0.5,-5.03,8.0,12.0,417100.0,388475.0,0.667,383500.0,350250.0,359900.0,1.066,75.97,8,17,10,12.0,8,吃老本
BG,Consumer Staples,Bunge Global,2023-08-21,103.95,4.64,20.24,16.44,14.44,1.0,1,1,3,1.4,39.63,0.52,False,True,95.99,3.47,1.139,False,106.89,-2.75,0.16,4.64,12.0,8.0,1332983.0,1169950.0,1.5,853300.0,984100.0,1085340.0,0.786,95.29,1,1,16,4.0,2,
STZ,Consumer Staples,Constellation Brands,2023-08-21,242.95,-4.46,11.79,16.63,10.15,0.667,17,2,2,9.5,2.85,7.39,False,True,241.86,5.0,0.999,False,255.36,-4.86,0.94,-4.46,7.0,13.0,837185.0,837792.0,0.538,409200.0,791060.0,800646.0,0.511,73.26,2,15,24,11.6,10,吃老本
ADM,Consumer Staples,Archer Daniels Midland,2023-08-21,73.58,-5.94,11.73,0.37,1.63,0.667,23,3,19,16.2,19.15,17.35,False,True,73.05,5.94,0.925,False,87.84,-16.23,-2.41,-5.94,10.0,10.0,2356200.0,2547000.0,1.0,3717600.0,2163720.0,2192666.0,1.695,76.66,13,11,1,9.8,5,
TPL,Energy,Texas Pacific Land Corporation,2023-08-21,204.56,26.51,44.99,8.12,21.93,1.0,1,1,11,3.0,16.31,-18.79,False,True,165.86,5.26,1.024,False,292.97,-30.18,-0.29,26.51,13.0,7.0,281630.0,275014.0,1.857,194400.0,239310.0,257460.0,0.755,100.0,1,1,13,3.4,2,
