sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert
XLE,能源,Energy,2026-07-31,59.55,53.22,58.43,50.36,11.89,1.92,18.26,12.58,1.0,28952190,23475000,30357386,0.773,-0.12,11.89,15,5,31007066,28262100,1.097,3.0,100.0,1,6,2,1,11,1,2.7,2,3.0,1,
XLF,金融,Financials,2026-07-31,56.94,55.62,51.74,52.98,2.37,10.05,7.47,6.84,1.0,32527240,32522700,34784706,0.935,1.12,2.37,12,8,32671233,35139050,0.93,1.5,90.64,2,2,5,3,9,2,2.6,1,3.8,2,
XLI,工業,Industrials,2026-07-31,179.84,183.91,172.54,164.57,-2.21,4.23,9.28,5.14,0.667,6527370,7206200,6598493,1.092,-1.54,-2.21,12,8,6181833,7156187,0.864,1.5,85.67,8,4,4,6,5,3,6.0,7,4.6,3,
XLRE,房地產,Real Estate,2026-07-31,45.07,44.68,43.94,40.8,0.87,2.58,10.48,6.1,1.0,4904830,6544600,4660006,1.404,-1.92,0.87,8,12,4372300,4776608,0.915,0.667,75.78,3,5,3,4,3,8,3.6,3,5.4,4,
XLK,資訊科技,Information Technology,2026-07-31,175.35,180.59,161.68,143.53,-2.9,8.46,22.17,12.47,0.667,9245980,9143000,9160966,0.998,-0.3,-2.9,8,12,8751675,9418825,0.929,0.667,74.4,9,3,1,2,7,9,5.6,5,5.8,5,吃老本
XLV,醫療保健,Health Care,2026-07-31,162.55,163.74,144.52,153.43,-0.73,12.47,5.94,5.91,0.667,8747820,9589500,9183000,1.044,-0.01,-0.73,8,11,9044662,10102790,0.895,0.727,76.14,5,1,6,5,6,7,4.0,4,6.0,6,
XLY,非必需消費,Consumer Discretionary,2026-07-31,116.09,117.12,118.39,120.69,-0.88,-1.95,-3.81,-2.61,0.0,8409240,13158000,8143440,1.616,6.11,-0.88,11,9,7971309,9139800,0.872,1.222,85.51,6,9,10,10,2,4,7.7,8,6.0,6,剛爆發
XLP,必需消費,Consumer Staples,2026-07-31,85.05,84.99,83.59,82.47,0.07,1.75,3.13,2.02,1.0,11980880,11374300,11401653,0.998,1.09,0.07,10,10,11471730,11334490,1.012,1.0,83.19,4,7,9,7,7,5,5.9,6,6.2,8,
XLB,材料,Materials,2026-07-31,50.43,52.01,51.16,48.87,-3.04,-1.42,3.19,0.48,0.333,11613850,18328900,10804453,1.696,-1.62,-3.04,9,11,9503711,12749790,0.745,0.818,72.85,10,8,8,8,1,10,9.0,9,7.4,9,
XLU,公用事業,Utilities,2026-07-31,44.35,45.76,46.25,42.68,-3.08,-4.12,3.92,0.16,0.333,18277170,20773600,17889366,1.161,-4.19,-3.08,7,13,16076200,18655976,0.862,0.538,69.63,11,10,7,9,4,11,9.9,11,8.8,10,
XLC,通訊服務,Communication Services,2026-07-31,108.24,109.6,116.42,119.39,-1.24,-7.02,-9.34,-6.73,0.0,6482840,5024600,6354226,0.791,1.83,-1.24,10,10,6314080,6743160,0.936,1.0,81.37,7,11,11,11,10,6,9.0,9,8.8,10,
