stock_id,symbol,stock_name,sector,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vp_ratio_stock,vp_score_stock,rsi14,above_50ma,ma50,amp_10d_pct,vcp,high_52w,pct_from_high,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,trend_state,trend_pattern,trend_signal,explosive_verdict,vol_today,vol_10d_avg,trade_value_20d_est_NTD_M,inst_foreign_net_20d_shares,inst_trust_net_20d_shares,inst_dealer_net_20d_shares,inst_total_net_20d_shares,inst_total_net_20d_est_NTD_M,point_rank_in_sector,vp_score_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
2330,2330,台積電,電子工業,2026-09-11,2410.0,0.42,4.33,31.04,16.71,1.0,0.0,0.63,11,9,16260785,18071531,1.222,0.9,84.46,50.01,True,2393.4,5.35,False,2535.0,-4.93,P+V-,P+V-,P+V-,⚠️ 量能衰竭,收斂,頭頭低·底底高,空轉多預警,,18149016,18964548,824252.9,-6368431.0,-2565241.0,2266654.0,-6667018.0,-16067.5,19.0,17.0,18.0,18.0,
2454,2454,聯發科,電子工業,2026-09-11,4585.0,13.21,10.34,170.52,91.15,1.0,3.85,8.91,8,12,7156081,7838366,0.667,0.913,82.86,62.04,True,3939.01,23.17,False,4940.48,-7.2,P+V-,P+V-,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,🔥 追高風險,6841032,8565723,635304.5,5083594.0,-1881328.0,149192.0,3351458.0,15366.4,6.0,19.0,12.5,10.0,吃老本
2308,2308,台達電,電子零組件業,2026-09-11,1620.0,-14.06,-26.48,26.24,2.98,0.333,-11.23,-14.06,9,10,8295798,10036396,0.9,0.827,65.04,37.93,False,1775.6,16.32,False,2571.55,-37.0,P-V-,P-V-,P+V-,⚠️ 主升段結束,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警 / 空頭確認,,13791960,9789134,331625.8,-18501314.0,-8201837.0,-36026.0,-26739177.0,-43317.5,12.0,12.0,12.0,12.0,
2317,2317,鴻海,電子工業,2026-09-11,248.0,-2.75,-1.96,21.9,9.77,0.333,-3.12,-4.43,7,12,30963770,32563957,0.583,0.951,71.48,46.71,False,248.64,5.16,False,304.92,-18.67,P-V-,P-V-,P+V-,⚠️ 主升段結束,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警,,23496234,32070757,160318.0,-25838539.0,729715.0,-3288160.0,-28396984.0,-7042.5,23.0,28.0,25.5,27.0,
3711,3711,日月光投控,電子工業,2026-09-11,618.0,0.49,5.7,85.89,44.49,1.0,5.1,0.32,9,10,17245787,18198565,0.9,0.948,82.32,52.1,True,612.9,14.41,False,722.4,-14.45,P+V-,P+V-,P+V-,⚠️ 量能衰竭,收斂,頭頭低·底底高,,,21540625,19513919,210979.9,31195069.0,-21363063.0,889775.0,10721781.0,6626.1,11.0,20.0,15.5,14.0,吃老本
2881,2881,富邦金,金融保險,2026-09-11,148.5,18.33,25.85,73.88,47.99,1.0,-1.33,14.67,9,9,23425829,18187440,1.0,1.288,95.81,66.5,True,132.19,9.51,False,155.5,-4.5,P+V+,P+V-,P+V+,➡️ 中性,多頭,頭頭高·底底高,多頭確認,,10487220,17468427,58546.0,45185664.0,6388027.0,-368584.0,51205107.0,7604.0,3.0,11.0,7.0,8.0,吃老本
2383,2383,台光電,電子零組件業,2026-09-11,5365.0,-15.13,11.58,126.93,62.58,0.667,-0.92,-12.58,9,10,1744136,1846540,0.9,0.945,72.11,48.02,True,5269.39,9.68,False,6440.59,-16.7,P-V-,P+V-,P+V-,➡️ 中性,多頭,頭頭高·底底高,空轉多預警,🔥 追高風險,1026967,1453904,199079.7,1339959.0,-2319404.0,114343.0,-865102.0,-4641.3,6.0,9.0,7.5,8.0,
1303,1303,南亞,塑膠工業,2026-09-11,234.5,16.96,121.25,203.26,136.18,1.0,3.99,13.01,11,9,89624706,98767152,1.222,0.907,93.62,59.71,True,197.28,13.67,False,250.0,-6.2,P+V-,P+V+,P+V-,⚠️ 量能背離,多頭,頭頭高·底底高,,🔥 追高風險,47629207,90345761,410490.8,-38586654.0,48354868.0,-5342616.0,4425598.0,1037.8,1.0,2.0,1.5,1.0,
2303,2303,聯電,電子工業,2026-09-11,140.5,15.64,7.04,136.6,73.97,1.0,8.08,16.12,10,9,192467239,142618512,1.111,1.35,100.0,58.89,True,131.48,16.7,False,182.38,-22.96,P+V-,P+V-,P+V+,⚠️ 頂部背離,擴散,頭頭高·底底低,多頭確認,🔥 追高風險,119260816,198487530,432031.5,19116392.0,-1721794.0,5981833.0,23376431.0,3284.4,7.0,1.0,4.0,3.0,剛爆發
2408,2408,南亞科,電子工業,2026-09-11,493.0,-5.92,32.24,114.11,63.63,0.667,-0.6,-3.71,10,9,77801836,66922591,1.111,1.163,84.54,48.98,True,464.06,17.15,False,569.0,-13.36,P-V-,P+V-,P+V-,➡️ 中性,擴散,頭頭高·底底低,,🔥 追高風險,36289746,71825975,739532.2,-3389805.0,-7043894.0,-5529035.0,-15962734.0,-7869.6,9.0,16.0,12.5,10.0,吃老本
