sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert
XLE,能源,Energy,2026-08-03,59.07,55.08,55.3,52.53,7.24,6.82,12.46,9.74,1.0,27400552,11812922,28398188,0.416,1.22,11.18,15,5,31007066,25677624,1.208,3.0,100.0,1,3,2,2,10,1,1.8,1,3.2,1,
XLF,金融,Financials,2026-08-03,57.1,55.71,51.06,53.79,2.49,11.82,6.14,6.64,1.0,30000099,12891192,33418052,0.386,0.38,1.7,12,8,31075191,35139050,0.884,1.5,89.15,2,2,4,3,11,2,2.4,2,4.2,2,
XLY,非必需消費,Consumer Discretionary,2026-08-03,118.09,117.24,119.96,117.52,0.73,-1.56,0.49,0.03,0.667,8151729,5229396,8093079,0.646,6.54,0.07,11,9,7622745,9139800,0.834,1.222,85.59,5,10,8,8,2,3,7.1,7,4.8,3,
XLI,工業,Industrials,2026-08-03,181.91,181.92,172.77,172.27,-0.01,5.29,5.6,4.12,0.667,6303136,3802269,6492997,0.586,-0.7,-1.97,12,8,5940205,7156187,0.83,1.5,85.56,7,4,5,6,5,4,5.7,5,5.0,4,
XLRE,房地產,Real Estate,2026-08-03,45.19,44.45,44.02,41.35,1.68,2.66,9.31,5.74,1.0,4871993,2926937,4574209,0.64,-1.23,2.04,9,11,4211704,4571163,0.921,0.818,79.13,3,5,3,4,3,7,3.6,3,5.0,4,
XLV,醫療保健,Health Care,2026-08-03,161.72,160.84,142.86,156.37,0.55,13.2,3.42,5.15,1.0,8640136,5558467,9095364,0.611,-1.03,-0.15,8,11,9044662,9142342,0.989,0.727,77.72,6,1,7,5,4,8,4.7,4,6.0,6,
XLK,資訊科技,Information Technology,2026-08-03,177.37,185.78,175.31,140.79,-4.53,1.17,25.98,12.15,0.667,8892407,4102872,8861484,0.463,1.76,-3.38,8,12,8149146,9418825,0.865,0.667,73.82,11,7,1,1,9,10,7.8,8,6.2,7,吃老本
XLP,必需消費,Consumer Staples,2026-08-03,84.9,84.12,83.6,86.85,0.93,1.56,-2.23,-0.49,0.667,11772506,6487068,11292877,0.574,-0.53,0.96,10,10,11471730,10665536,1.076,1.0,84.18,4,6,10,9,7,5,5.8,6,7.0,8,
XLC,通訊服務,Communication Services,2026-08-03,111.6,111.64,116.64,115.09,-0.04,-4.32,-3.03,-2.61,0.0,6517333,4356831,6254555,0.697,3.66,1.26,10,10,5855883,6743160,0.868,1.0,82.42,8,11,11,11,1,6,9.5,11,7.0,8,
XLU,公用事業,Utilities,2026-08-03,44.4,45.41,44.44,42.78,-2.21,-0.07,3.81,1.33,0.333,17504012,10099322,17513848,0.577,-2.79,-1.98,8,12,15329090,18612591,0.824,0.667,72.11,10,8,6,7,6,11,8.6,9,8.4,10,
XLB,材料,Materials,2026-08-03,50.71,50.89,51.4,51.09,-0.35,-1.34,-0.75,-0.8,0.0,11117806,5719868,10583684,0.54,-1.32,-2.44,10,10,9125326,12015720,0.759,1.0,76.3,9,9,9,10,8,9,9.0,10,9.2,11,
