symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,rsi14,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,explosive_verdict,is_new_signal_3d
NFLX,Communication Services,Netflix,2026-09-02,82.73,12.27,-0.72,-14.04,-4.13,0.333,27521010,41663284,41775383,-43.52,-0.54,-0.22,P+V-,P-V-,P-V-,➡️ 中性,2,16,18,9.4,1.45,-1.4,False,True,75.08,5.06,1.115,False,126.71,126.71,-34.71,1.56,11.5,9.0,11.0,29173633.0,26168863.0,0.818,22077800.0,25456500.0,28075666.0,0.786,89.3,63.89,擴散,頭頭高·底底低,多頭確認,17,14,20,16.4,18,,,False
FOXA,Communication Services,Fox Corporation (Class A),2026-09-02,67.52,9.76,3.24,20.96,13.73,1.0,5446090,6613566,5013630,16.13,93.74,37.16,P+V+,P+V+,P+V+,⭐⭐⭐ 完美多頭,3,12,3,5.7,29.29,36.35,False,True,59.76,6.72,1.014,False,75.68,76.39,-10.79,-2.56,15.57,11.0,8.0,5459645.0,5385175.0,1.375,4715200.0,5035960.0,5328613.0,0.885,96.69,58.75,多頭,頭頭高·底底高,,3,8,18,8.0,8,,,False
T,Communication Services,AT&T,2026-09-02,25.95,9.45,6.73,-5.13,1.48,0.667,32321225,60911293,50355403,-58.34,53.05,13.54,P+V-,P+V+,P-V+,➡️ 中性,4,8,14,7.2,10.49,3.42,False,True,23.33,5.45,0.96,False,28.75,29.79,-9.74,0.31,12.53,15.0,5.0,31987000.0,33323900.0,3.0,33805800.0,28984590.0,30220293.0,1.119,100.0,67.07,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,10,1,6,5.6,4,剛爆發,,False
ABNB,Consumer Discretionary,Airbnb,2026-09-02,183.26,20.85,36.4,35.64,32.13,1.0,5813495,4328624,4049497,65.65,14.81,-16.54,P+V+,P+V+,P+V-,🚀 健康多頭,1,3,3,2.0,9.48,-14.13,False,True,161.34,7.13,1.277,False,193.45,193.45,-5.27,-2.56,20.18,11.0,9.0,6442709.0,5044455.0,1.222,3412100.0,4825170.0,4687653.0,0.728,100.0,59.11,擴散,頭頭高·底底低,,1,1,22,5.2,2,,,False
CMG,Consumer Discretionary,Chipotle Mexican Grill,2026-09-02,38.52,14.27,31.65,3.49,13.23,1.0,15416160,19176070,17840470,-22.2,16.18,-12.01,P+V-,P+V+,P+V-,⚠️ 量能背離,2,5,17,5.9,3.96,1.4,False,True,34.66,13.12,1.165,False,42.82,42.82,-10.04,3.16,11.65,9.0,10.0,16572688.0,14223080.0,0.9,11655300.0,14096980.0,14936406.0,0.78,92.15,64.8,多頭,頭頭高·底底高,,6,6,19,8.6,5,,,False
BBY,Consumer Discretionary,Best Buy,2026-09-02,87.0,8.72,21.13,44.42,29.68,1.0,4184525,3869169,4255399,23.01,-16.64,5.72,P+V+,P+V-,P+V+,➡️ 中性,4,6,1,4.0,6.53,4.32,False,True,83.56,14.36,0.834,False,91.27,91.27,-4.68,-0.5,2.96,12.0,8.0,3875458.0,4648125.0,1.5,7453200.0,5106000.0,4447466.0,1.676,88.66,55.03,收斂,頭頭低·底底高,多轉空預警,3,8,1,4.6,1,,,False
EL,Consumer Staples,Estée Lauder Companies (The),2026-09-02,101.15,18.72,21.68,-6.93,6.64,0.667,3848890,3255584,3896247,83.67,-28.24,6.5,P+V+,P+V-,P-V+,➡️ 中性,1,5,17,5.4,22.12,40.2,False,True,87.42,13.6,1.658,False,120.38,121.64,-15.98,-3.39,16.71,9.0,11.0,4923633.0,2969554.0,0.818,3500800.0,3987030.0,4255840.0,0.823,99.96,63.83,多頭,頭頭高·底底高,多頭確認,8,4,15,7.8,7,,,False
BG,Consumer Staples,Bunge Global,2026-09-02,122.86,13.43,-4.26,3.09,3.84,0.667,1367265,1550767,1656944,0.03,-12.04,-2.53,P+V+,P-V-,P+V-,➡️ 中性,2,28,11,11.6,2.89,109.39,False,True,112.73,15.04,1.008,False,134.02,134.87,-8.33,8.49,15.96,13.0,7.0,1371023.0,1360285.0,1.857,1764300.0,1672970.0,1402153.0,1.258,100.0,66.38,收斂,頭頭低·底底高,空轉多預警 / 多頭確認,12,1,5,6.2,2,剛爆發,🎯 潛在暴漲,True
GIS,Consumer Staples,General Mills,2026-09-02,40.58,12.5,24.83,-7.19,5.74,0.667,8142820,9846053,9679377,-14.43,3.5,41.53,P+V-,P+V+,P-V+,➡️ 中性,3,3,18,6.0,19.21,-12.14,False,True,37.52,7.28,0.954,False,48.32,51.33,-16.02,1.25,12.94,14.0,6.0,8026171.0,8415000.0,2.333,6584600.0,8203060.0,8050606.0,0.818,100.0,60.08,空頭,頭頭低·底底低,多轉空預警 / 多頭確認,9,1,17,7.4,6,剛爆發,,False
MPC,Energy,Marathon Petroleum,2026-09-02,387.0,29.68,47.52,96.53,67.56,1.0,2566235,2375975,2499908,22.28,-9.45,20.33,P+V+,P+V-,P+V+,➡️ 中性,1,1,1,1.0,27.08,120.63,False,True,315.8,12.06,1.094,False,391.98,391.98,-1.27,6.83,30.33,15.0,5.0,2622460.0,2397560.0,3.0,2398000.0,2493180.0,2455246.0,0.977,100.0,77.65,多頭,頭頭高·底底高,多頭確認,1,1,8,2.4,2,,,False
