supply_chain,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,node_count,resonance_pct,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
CCL / High-Speed Materials,2026-09-11,4,95.58,50.0,2,4,-3197.2,-799.3,3,100.0,2.43,0.39,-2.04,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🔥 Overheated
Display & Optical,2026-09-11,3,72.85,66.7,2,3,-403.2,-134.4,2,100.0,1.52,0.5,-1.02,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Biotech / Innovative Drug / CDMO,2026-09-11,1,66.22,0.0,0,1,-4403.5,-4403.5,1,,1.26,0.35,-0.91,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Passive Components,2026-09-11,2,56.7,50.0,1,2,-32557.6,-16278.8,2,100.0,0.88,-0.72,-1.6,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
AI / HPC Semiconductor,2026-09-11,9,48.84,88.9,8,9,19101.2,2122.36,8,100.0,0.57,1.24,0.67,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
PCB / HDI / IC Substrate,2026-09-11,10,46.05,40.0,4,10,2225.8,222.58,7,100.0,0.46,0.6,0.14,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Advanced Packaging,2026-09-11,8,41.0,50.0,4,8,1499.0,187.38,3,66.7,0.26,0.57,0.32,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Thermal / Liquid Cooling,2026-09-11,4,40.72,50.0,2,4,-10768.8,-2692.2,2,100.0,0.24,0.11,-0.14,🚀 Confirmed,⚠️ Price Leading,⚠️ Price Leading → 🚀 Confirmed,ADVANCING,🚀 Confirmed
AI Server / ODM,2026-09-11,13,38.47,30.8,4,13,-79898.8,-6146.06,6,100.0,0.15,-2.52,-2.68,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
Memory / HBM,2026-09-11,5,36.26,20.0,1,5,-19787.1,-3957.42,5,100.0,0.07,-0.24,-0.3,⚠️ Price Leading,🚀 Confirmed,🚀 Confirmed → ⚠️ Price Leading,REVERSING,⚠️ Price Leading
Semiconductor Equipment & Materials,2026-09-11,8,29.05,25.0,2,8,-5853.8,-731.73,6,83.3,-0.22,0.29,0.51,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
Data Center Power / PSU,2026-09-11,4,25.75,25.0,1,4,-41796.2,-10449.05,4,100.0,-0.35,-1.07,-0.72,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Robotics / Automation,2026-09-11,4,24.86,0.0,0,4,-443.1,-110.78,3,100.0,-0.39,0.5,0.89,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
Cloud / Data Center / Cybersecurity,2026-09-11,8,21.32,62.5,5,8,-19213.8,-2401.73,4,100.0,-0.53,-0.21,0.31,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Shipping / Logistics,2026-09-11,4,20.16,100.0,4,4,34090.5,8522.62,2,100.0,-0.58,1.81,2.39,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
EV / Auto Electronics,2026-09-11,4,10.54,25.0,1,4,-55221.1,-13805.27,3,100.0,-0.96,-1.58,-0.63,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Smart Grid / Transformer,2026-09-11,4,7.5,0.0,0,4,3095.8,773.95,3,66.7,-1.08,0.63,1.71,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
Optical Communication / AI Networking,2026-09-11,1,7.12,0.0,0,1,-15025.2,-15025.2,1,,-1.09,-0.06,1.04,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Energy Storage / Battery,2026-09-11,1,2.98,0.0,0,1,-43317.5,-43317.5,1,,-1.26,-1.13,0.13,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Steel,2026-09-11,1,-0.13,100.0,1,1,325.9,325.9,1,,-1.38,0.53,1.91,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
