symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
NWS,Communication Services,News Corp (Class B),2022-02-21,21.49,2.67,3.38,1.28,2.15,1.0,11,10,8,10.1,45.06,53.33,False,False,21.59,13.98,1.036,False,25.1,-14.37,-3.12,6.18,13.0,7.0,602169.0,581442.0,1.857,789000.0,574190.0,638126.0,1.236,98.44,9,6,3,6.6,3,
TTD,Communication Services,Trade Desk (The),2022-02-21,83.63,31.49,-19.57,3.79,4.87,0.667,1,21,6,8.0,51.18,19.98,False,True,79.0,20.57,1.083,False,114.09,-26.7,5.31,38.99,13.0,7.0,7783438.0,7188142.0,1.857,5456300.0,8339120.0,7797600.0,0.7,100.0,6,1,19,6.6,3,
OMC,Communication Services,Omnicom Group,2022-02-21,71.89,12.9,25.57,17.36,18.3,1.0,5,1,2,3.2,23.37,20.35,False,True,66.29,7.9,1.14,False,78.16,-8.02,-0.24,14.97,10.0,10.0,2236210.0,1961590.0,1.0,1739500.0,1733650.0,2255820.0,0.771,93.84,2,11,12,7.6,5,吃老本
MAR,Consumer Discretionary,Marriott International,2022-02-21,167.51,9.41,18.27,28.19,21.01,1.0,5,3,3,4.0,30.18,0.38,False,True,157.86,12.65,0.823,False,177.71,-5.74,-2.13,13.44,14.0,6.0,2635914.0,3201516.0,2.333,2805800.0,3263840.0,2908120.0,0.965,100.0,2,1,8,2.8,1,
RL,Consumer Discretionary,Ralph Lauren Corporation,2022-02-21,122.76,22.71,15.9,14.75,17.03,1.0,1,6,6,3.5,34.69,30.89,False,True,107.9,11.3,1.302,False,127.72,-3.88,5.85,25.11,14.0,6.0,1529914.0,1175016.0,2.333,1097300.0,1421230.0,1398213.0,0.785,100.0,3,1,15,4.6,2,
EXPE,Consumer Discretionary,Expedia Group,2022-02-21,197.48,14.67,25.11,36.25,28.07,1.0,2,1,1,1.5,63.02,100.24,False,True,181.99,17.64,0.888,False,215.05,-8.17,-4.48,16.76,12.0,8.0,3499408.0,3941037.0,1.5,3035700.0,4502330.0,4174353.0,0.727,96.3,1,8,19,7.4,3,吃老本
ADM,Consumer Staples,Archer Daniels Midland,2022-02-21,69.68,4.48,23.17,31.68,22.75,1.0,8,1,3,4.9,9.53,8.95,False,True,62.98,7.45,1.021,False,69.83,-0.2,2.94,6.9,13.0,7.0,3023053.0,2960457.0,1.857,3479100.0,2756730.0,2718793.0,1.28,100.0,3,1,5,2.6,1,
BG,Consumer Staples,Bunge Global,2022-02-21,93.55,7.69,16.87,37.87,25.07,1.0,5,7,2,5.0,21.42,161.94,False,True,85.25,8.31,1.057,False,93.64,-0.09,5.19,9.47,12.0,8.0,1447825.0,1369337.0,1.5,2033300.0,1628400.0,1490280.0,1.364,98.76,2,4,3,3.0,2,
DLTR,Consumer Staples,Dollar Tree,2022-02-21,140.69,9.49,-0.3,54.79,29.7,0.667,4,22,1,8.8,0.6,21.16,False,True,136.06,9.45,0.983,False,149.37,-5.81,3.64,9.66,10.0,10.0,2081100.0,2116390.0,1.0,2105300.0,2299300.0,2183546.0,0.964,89.46,1,12,14,8.0,5,吃老本
TRGP,Energy,Targa Resources,2022-02-21,57.81,9.99,17.73,42.29,28.08,1.0,1,15,10,7.0,37.9,54.2,False,True,51.58,7.75,1.305,False,58.31,-0.86,2.05,11.06,12.0,8.0,1673441.0,1281887.0,1.5,3044800.0,1530660.0,1436660.0,2.119,100.0,10,1,2,4.8,1,剛爆發
OXY,Energy,Occidental Petroleum,2022-02-21,36.22,3.11,30.48,51.08,33.94,1.0,14,4,7,9.6,35.13,32.39,False,True,32.87,14.08,0.911,False,40.35,-10.24,-2.81,3.97,13.0,7.0,19355084.0,21240828.0,1.857,29780400.0,21557220.0,20623293.0,1.444,95.06,7,5,6,6.0,2,
FANG,Energy,Diamondback Energy,2022-02-21,108.91,3.53,24.0,74.62,44.19,1.0,13,12,3,10.7,8.06,5.47,False,True,99.36,10.3,0.989,False,111.59,-2.4,2.76,3.6,11.0,9.0,2821981.0,2853822.0,1.222,3169100.0,3202780.0,2957740.0,1.071,88.9,3,8,10,6.4,4,
RJF,Financials,Raymond James Financial,2022-02-21,105.16,7.88,14.34,18.52,14.82,1.0,8,8,7,7.8,20.37,20.67,False,True,98.58,11.81,1.106,False,109.92,-4.33,3.04,11.28,13.0,7.0,1350500.0,1221328.0,1.857,1629200.0,1364960.0,1303666.0,1.25,100.0,6,1,8,4.4,1,
AXP,Financials,American Express,2022-02-21,183.2,9.4,23.83,15.43,16.03,1.0,3,1,11,4.0,18.71,29.38,False,True,166.42,10.6,1.075,False,188.72,-2.93,-1.02,12.69,12.0,8.0,4226458.0,3931775.0,1.5,5426200.0,4108660.0,4178826.0,1.298,98.52,4,6,5,5.0,2,
FITB,Financials,Fifth Third Bancorp,2022-02-21,40.43,8.14,13.99,23.56,17.31,1.0,6,10,2,6.4,2.89,4.53,False,True,38.97,12.23,1.033,False,42.58,-5.04,-0.21,8.73,12.0,8.0,6374750.0,6168212.0,1.5,7910900.0,6224360.0,6121580.0,1.292,95.74,2,8,6,5.2,3,吃老本
ABBV,Health Care,AbbVie,2022-02-21,127.28,8.43,29.68,27.88,23.47,1.0,8,1,3,4.9,0.84,3.52,False,True,116.61,7.52,1.189,False,127.98,-0.55,3.15,9.98,12.0,8.0,9240066.0,7770237.0,1.5,8320700.0,8827730.0,8378573.0,0.993,100.0,2,1,11,3.4,1,
HSIC,Health Care,Henry Schein,2022-02-21,87.32,15.35,18.58,16.07,16.52,1.0,1,6,8,3.9,17.05,14.79,False,True,77.39,15.26,1.179,False,87.55,-0.26,3.95,16.78,10.0,10.0,1199910.0,1018120.0,1.0,1177300.0,1322860.0,1175440.0,1.002,97.28,5,12,7,8.2,2,吃老本
CNC,Health Care,Centene Corporation,2022-02-21,83.52,8.09,13.02,30.54,20.55,1.0,11,16,2,10.7,3.73,2.59,False,True,81.02,6.63,1.411,False,86.81,-3.79,0.86,9.51,11.0,9.0,2903400.0,2058266.0,1.222,2055400.0,1915680.0,2298393.0,0.894,99.07,3,9,18,8.4,3,吃老本
RTX,Industrials,RTX Corporation,2022-02-21,89.44,9.23,18.87,16.21,15.13,1.0,8,3,2,5.3,5.72,16.0,False,True,81.59,9.54,1.004,False,89.57,-0.15,4.56,10.51,14.0,6.0,6455092.0,6429100.0,2.333,8692300.0,6558340.0,6462660.0,1.345,100.0,2,1,5,2.2,1,
GD,Industrials,General Dynamics,2022-02-21,207.67,7.12,18.56,15.48,14.16,1.0,15,4,3,9.3,0.67,3.04,False,True,191.44,8.4,1.118,False,207.87,-0.1,6.33,9.19,13.0,7.0,1450515.0,1297257.0,1.857,1979400.0,1451760.0,1348646.0,1.468,100.0,4,1,4,2.8,2,
HWM,Industrials,Howmet Aerospace,2022-02-21,35.3,16.29,24.42,9.17,14.76,1.0,2,1,12,3.7,4.13,6.49,False,True,32.41,9.37,1.317,False,35.51,-0.59,2.2,16.75,12.0,8.0,4002450.0,3038462.0,1.5,3493000.0,2999150.0,3229806.0,1.081,100.0,3,1,13,4.2,3,
PANW,Information Technology,Palo Alto Networks,2022-02-21,94.96,14.83,6.85,23.52,17.18,1.0,7,14,3,8.3,5.6,4.51,False,True,86.76,20.38,1.539,False,95.44,-0.51,14.15,17.42,11.0,9.0,12695509.0,8247400.0,1.222,22005000.0,14160540.0,11629080.0,1.892,100.0,2,1,2,1.6,1,
ON,Information Technology,ON Semiconductor,2022-02-21,63.5,18.12,5.31,39.56,25.64,1.0,2,15,1,5.7,15.98,18.25,False,True,62.36,15.44,1.093,False,71.26,-10.89,5.5,18.32,13.0,7.0,8807646.0,8055814.0,1.857,6917500.0,6853470.0,8670313.0,0.798,100.0,1,1,20,4.8,2,
CTSH,Information Technology,Cognizant,2022-02-21,81.78,4.58,12.64,14.67,11.64,1.0,19,7,12,14.0,5.59,1.13,False,True,80.38,9.09,1.017,False,85.6,-4.47,2.47,7.97,13.0,7.0,3248538.0,3195157.0,1.857,2892500.0,3050250.0,3136300.0,0.922,100.0,11,1,13,7.4,3,剛爆發
MOS,Materials,Mosaic Company (The),2022-02-21,44.14,24.54,40.54,52.39,42.46,1.0,4,1,2,2.7,-1.29,-12.51,False,True,37.11,15.74,1.173,False,44.18,-0.08,7.63,25.42,14.0,6.0,7725542.0,6584183.0,2.333,12150300.0,8030960.0,7752346.0,1.567,100.0,2,1,2,1.6,1,
