sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,flow_30d_net_M,flow_30d_gross_M,flow_ratio,flow_up_ratio,dist_20ma_pct,dist_50ma_pct,rsi14_sector,position_20d,resistance_20d,support_20d,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,flow_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert,point_5d_avg,acceleration,quadrant,quadrant_zh,quadrant_desc
XOP,油氣探勘生產,Oil & Gas Exploration & Production,2026-09-10,195.47,179.17,163.25,162.68,9.1,19.74,20.16,17.29,1.0,2402790,5710000,2688520,2.124,1.2,9.46,16,4,2775525,2502725,1.109,4.0,100.0,7147.5,15215.3,0.47,0.733,4.01,11.08,69.89,100.0,195.47,179.17,1,1,4,4,1,1,3,1.6,1,2.2,1,,14.6,2.69,leading,領先,資金持續流入、動能未退
SMH,半導體,Semiconductors,2026-09-10,560.28,589.12,591.01,380.56,-4.9,-5.2,47.23,21.09,0.333,6211790,6621000,6375000,1.039,1.78,-4.2,11,9,6327818,7345277,0.861,1.222,81.6,34991.0,123530.1,0.283,0.633,-0.74,-1.73,48.13,30.8,594.07,545.22,4,7,1,2,5,2,1,4.3,4,2.6,2,,18.46,2.63,leading,領先,資金持續流入、動能未退
XBI,生技,Biotech,2026-09-10,156.82,156.86,131.25,123.88,-0.03,19.48,26.59,18.16,0.667,7166240,9706200,8271253,1.173,-5.17,-1.61,9,11,8628822,7931063,1.088,0.818,78.28,7795.5,38514.9,0.202,0.6,-3.86,-0.88,43.14,0.0,169.55,156.82,2,2,3,3,4,4,2,2.2,2,3.6,3,,17.21,0.95,leading,領先,資金持續流入、動能未退
CIBR,網路資安,Cybersecurity,2026-09-10,94.16,102.2,84.27,65.83,-7.87,11.74,43.04,22.49,0.667,1575510,1282600,1612366,0.795,0.66,-6.21,7,13,1732757,1601107,1.082,0.538,73.56,-230.8,4540.6,-0.051,0.467,-2.02,-0.09,47.67,17.5,102.2,92.46,6,3,2,1,7,5,4,4.3,4,3.8,4,,13.59,8.9,leading,領先,資金持續流入、動能未退
IGV,軟體,Software,2026-09-10,101.2,106.28,92.93,87.95,-4.78,8.9,15.06,8.56,0.667,12474340,7532500,10857300,0.694,-2.15,-1.82,7,13,13212014,10274969,1.286,0.538,78.63,-2035.1,36037.5,-0.056,0.433,-2.96,2.56,47.27,0.0,110.32,101.2,3,4,5,5,8,3,7,3.7,3,4.8,5,,4.25,4.31,improving,改善,落後股翻轉候選
KRE,區域銀行,Regional Banks,2026-09-10,73.81,77.75,70.83,64.16,-5.07,4.21,15.04,7.31,0.667,12009750,10242100,11558886,0.886,-0.58,-4.61,8,12,10298287,12750516,0.808,0.667,71.13,-4682.9,25658.7,-0.183,0.433,-1.52,-2.32,43.55,22.4,77.93,72.62,5,5,6,6,6,6,8,5.2,6,6.0,6,,8.22,-0.91,lagging,落後,資金持續流出
JETS,航空,Airlines,2026-09-10,27.84,31.86,28.56,25.35,-12.62,-2.52,9.82,1.13,0.333,3352430,4888600,3073313,1.591,-1.73,-11.95,7,13,2562771,2937861,0.872,0.538,65.48,-538.2,2512.9,-0.214,0.4,-5.22,-9.49,33.98,0.0,31.86,27.84,8,6,7,7,2,7,5,7.2,7,6.0,6,,7.15,-6.02,lagging,落後,資金持續流出
ITA,國防航太,Aerospace & Defense,2026-09-10,218.32,249.69,230.29,241.87,-12.56,-5.2,-9.74,-9.31,0.0,703240,868900,681500,1.275,-2.26,-13.23,5,15,457860,676633,0.677,0.333,58.0,-1028.5,4387.4,-0.234,0.433,-6.87,-8.57,26.96,0.0,253.22,218.32,7,7,8,8,3,8,6,7.2,7,7.0,8,,5.49,-14.8,lagging,落後,資金持續流出
