sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert,pct_30d,n_30d,pct_90d,n_90d,pct_365d,n_365d,breadth_pct,breadth_up,breadth_total,breadth_source_date,point_5d_avg,acceleration,quadrant,quadrant_zh,quadrant_desc,health_key,health_emoji,health_zh,health_desc
XLE,能源,Energy,2026-08-26,62.43,58.96,57.44,54.13,5.89,8.7,15.33,11.31,1.0,24677430,24394100,24774273,0.985,-1.81,6.45,12,8,24446633,27721262,0.882,1.5,91.08,2,3,2,3,2,3,2.3,2,2.8,1,,66.7,6,71.4,7,75.0,8,85.7,18,21,2026-08-17,9.95,1.36,leading,領先,資金持續流入、動能未退,neutral,➡️,中性,無明顯訊號
XLK,資訊科技,Information Technology,2026-08-26,182.84,175.73,184.92,140.54,4.05,-1.12,30.1,15.78,0.667,5771400,4662700,5927626,0.787,-0.44,9.77,10,10,7696670,6660290,1.156,1.0,90.91,5,8,1,1,5,4,5.1,4,3.0,2,,50.0,6,42.9,7,50.0,8,67.1,49,73,2026-08-17,16.81,-1.03,weakening,減弱,高位但動能見頂,neutral,➡️,中性,無明顯訊號
XLB,材料,Materials,2026-08-26,53.67,51.64,50.8,52.53,3.93,5.65,2.17,3.48,1.0,9612560,7073000,10094740,0.701,2.19,3.73,11,8,11827436,10405275,1.137,1.375,93.63,6,4,7,5,9,2,5.6,5,4.6,3,,100.0,6,85.7,7,75.0,8,56.0,14,25,2026-08-17,1.55,1.93,leading,領先,資金持續流入、動能未退,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLF,金融,Financials,2026-08-26,58.26,57.0,51.67,52.04,2.21,12.76,11.95,9.72,1.0,29116560,20042300,26939066,0.744,1.36,2.79,11,9,27777436,29002555,0.958,1.222,87.31,7,2,3,4,6,6,4.7,3,5.2,4,,66.7,6,71.4,7,75.0,8,63.2,48,76,2026-08-17,8.93,0.79,leading,領先,資金持續流入、動能未退,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLV,醫療保健,Health Care,2026-08-26,173.54,163.52,147.86,155.49,6.13,17.37,11.61,11.68,1.0,7987040,5617400,7872826,0.714,-1.22,4.39,10,10,9235730,8914710,1.036,1.0,85.28,1,1,4,2,7,8,1.6,1,5.4,5,吃老本,100.0,5,100.0,6,85.7,7,84.7,50,59,2026-08-17,8.0,3.68,leading,領先,資金持續流入、動能未退,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLI,工業,Industrials,2026-08-26,180.34,178.39,173.87,176.3,1.09,3.72,2.29,2.35,1.0,5877200,8142000,5523113,1.474,-0.88,2.08,10,10,6620430,5616870,1.179,1.0,86.52,8,6,6,7,1,7,7.0,8,5.8,6,,33.3,6,28.6,7,25.0,8,43.2,35,81,2026-08-17,3.92,-1.57,lagging,落後,資金持續流出,neutral,➡️,中性,無明顯訊號
XLY,非必需消費,Consumer Discretionary,2026-08-26,117.16,112.39,119.21,116.98,4.24,-1.72,0.15,0.71,0.667,5186570,3271600,4967500,0.659,-1.21,4.97,10,10,7624020,4616400,1.652,1.0,96.4,4,9,8,9,11,1,6.3,6,6.2,7,剛爆發,66.7,6,71.4,7,62.5,8,72.3,34,47,2026-08-17,0.79,-0.08,lagging,落後,資金持續流出,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLC,通訊服務,Communication Services,2026-08-26,112.61,106.58,115.25,116.13,5.66,-2.29,-3.03,-0.67,0.333,3875140,3679700,3933093,0.936,1.16,2.83,12,8,4450025,4966487,0.896,1.5,90.34,3,10,10,10,3,5,6.5,7,6.6,8,,100.0,6,100.0,7,87.5,8,79.2,19,24,2026-08-17,-1.97,1.3,improving,改善,落後股翻轉候選,neutral,➡️,中性,無明顯訊號
XLRE,房地產,Real Estate,2026-08-26,45.09,45.3,44.32,42.89,-0.46,1.73,5.12,2.88,0.667,4859980,3429200,4867360,0.705,0.22,-1.89,10,9,4861280,5914277,0.822,1.111,80.0,10,7,5,6,8,9,8.1,10,7.6,9,,16.7,6,14.3,7,25.0,8,26.7,8,30,2026-08-17,4.14,-1.26,weakening,減弱,高位但動能見頂,neutral,➡️,中性,無明顯訊號
XLP,必需消費,Consumer Staples,2026-08-26,86.27,85.47,83.05,86.8,0.94,3.87,-0.61,0.9,0.667,9587610,7315400,8704440,0.84,-0.31,-1.25,9,11,9436711,9746654,0.968,0.818,78.34,9,5,9,8,4,10,7.8,9,8.0,10,,80.0,5,66.7,6,71.4,7,64.7,22,34,2026-08-17,-0.14,1.04,improving,改善,落後股翻轉候選,neutral,➡️,中性,無明顯訊號
XLU,公用事業,Utilities,2026-08-26,43.51,44.66,45.04,45.72,-2.58,-3.4,-4.83,-3.91,0.0,17154520,12240200,18557806,0.66,-1.16,-3.12,9,10,17885822,22445260,0.797,0.9,75.11,11,11,11,11,10,11,11.0,11,10.8,11,,33.3,6,28.6,7,25.0,8,6.5,2,31,2026-08-17,-2.27,-1.64,lagging,落後,資金持續流出,neutral,➡️,中性,無明顯訊號
