sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,flow_30d_net_M,flow_30d_gross_M,flow_ratio,flow_up_ratio,dist_20ma_pct,dist_50ma_pct,rsi14_sector,position_20d,resistance_20d,support_20d,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,flow_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert,point_5d_avg,acceleration,quadrant,quadrant_zh,quadrant_desc
JETS,航空,Airlines,2025-09-03,26.23,23.63,22.62,24.04,11.0,15.91,9.08,11.27,1.0,2827550,3398300,3126306,1.087,0.76,12.13,11,8,3834136,2963350,1.294,1.375,100.0,247.8,2529.7,0.098,0.5,4.11,7.31,63.32,100.0,26.23,23.32,1,3,5,3,2,1,4,2.4,1,2.0,1,,6.12,5.15,leading,領先,資金持續流入、動能未退
XBI,生技,Biotech,2025-09-03,93.22,85.74,80.86,86.69,8.73,15.29,7.54,9.77,1.0,7987420,9128600,8782500,1.039,4.17,7.83,12,7,9619850,7970242,1.207,1.714,100.0,6560.5,24752.0,0.265,0.6,5.02,7.37,68.34,100.0,93.22,84.77,3,4,7,5,3,1,1,4.1,4,3.0,2,,19.07,-9.3,lagging,落後,資金持續流出
SMH,半導體,Semiconductors,2025-09-03,285.54,285.73,242.55,228.08,-0.07,17.73,25.19,17.01,0.667,7695560,7249600,7635866,0.949,-3.48,-0.23,11,9,6339154,8612788,0.736,1.222,79.68,-88.3,64590.3,-0.001,0.567,-2.44,-0.77,44.2,0.0,300.98,285.54,5,1,2,2,4,6,5,3.2,3,4.0,3,,18.82,-1.81,weakening,減弱,高位但動能見頂
ITA,國防航太,Aerospace & Defense,2025-09-03,195.94,196.41,177.17,151.13,-0.24,10.6,29.65,17.41,0.667,502800,376500,548820,0.686,-1.52,-0.3,8,12,478037,584000,0.819,0.667,73.53,-1042.9,3392.0,-0.307,0.4,0.07,1.59,52.62,53.5,199.15,192.26,6,5,1,1,6,8,6,4.7,5,4.8,4,吃老本,2.52,14.89,leading,領先,資金持續流入、動能未退
XOP,油氣探勘生產,Oil & Gas Exploration & Production,2025-09-03,127.87,120.9,117.71,125.2,5.76,8.63,2.13,4.66,1.0,2515000,3305100,2430640,1.36,1.0,4.64,12,8,2774450,2477012,1.12,1.5,95.29,2364.9,9897.4,0.239,0.6,3.25,2.4,56.94,70.8,131.51,119.04,4,6,8,8,1,4,2,5.4,6,5.0,5,,17.09,-12.43,lagging,落後,資金持續流出
CIBR,網路資安,Cybersecurity,2025-09-03,71.81,72.65,72.07,65.13,-1.15,-0.36,10.27,4.76,0.333,708930,625700,715960,0.874,-0.04,0.35,10,10,1528820,789820,1.936,1.0,99.07,265.2,2538.4,0.104,0.467,-0.01,-1.58,47.38,44.0,73.52,70.47,7,8,4,7,5,3,3,6.7,7,5.0,5,,15.8,-11.04,lagging,落後,資金持續流出
KRE,區域銀行,Regional Banks,2025-09-03,63.62,57.96,54.74,59.0,9.77,16.22,7.83,10.41,1.0,14299570,7402200,14792040,0.5,-0.09,8.89,9,11,16690500,13827745,1.207,0.818,88.69,-4806.6,28334.4,-0.17,0.367,3.88,5.05,64.6,91.6,64.19,57.45,2,2,6,4,8,5,8,2.8,2,5.2,7,,7.67,2.74,leading,領先,資金持續流入、動能未退
IGV,軟體,Software,2025-09-03,107.3,111.79,103.92,96.31,-4.02,3.25,11.41,5.51,0.667,4241800,3316600,5357600,0.619,0.7,-2.92,9,11,4610388,6178281,0.746,0.818,73.86,-2325.7,16742.4,-0.139,0.5,-0.82,-1.96,45.39,23.2,111.79,105.94,8,7,3,6,7,7,7,6.7,7,6.6,8,,3.94,1.57,improving,改善,落後股翻轉候選
