symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,mom_12m_1m,weekly_vol_ann,spmo_score,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,rsi14,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,explosive_verdict,is_new_signal_3d
CHTR,Communication Services,Charter Communications,2026-09-04,151.99,-0.85,17.78,-33.75,-12.64,0.333,2664145,3230581,2949414,-15.04,21.08,48.64,P-V-,P+V+,P-V+,➡️ 中性,-41.66,51.47,-0.809,16,1,23,12.9,5.94,-9.07,False,True,143.27,10.43,1.258,False,285.82,285.82,-46.82,-1.06,-0.38,11.0,9.0,2935263.0,2332777.0,1.222,1952100.0,2490040.0,3072846.0,0.635,89.7,52.21,空頭,頭頭低·底底低,多轉空預警,21,9,21,16.2,20,剛爆發,,False
CMCSA,Communication Services,Comcast,2026-09-04,26.49,5.12,15.09,-12.41,-1.15,0.667,20323425,32426107,32560053,-39.63,-0.82,-1.69,P+V-,P+V-,P-V-,➡️ 中性,-16.34,26.56,-0.615,7,2,17,7.5,7.62,8.29,False,True,24.82,4.03,0.996,False,32.05,32.86,-17.34,-2.11,4.46,10.0,9.0,20305850.0,20377722.0,1.111,17277600.0,19527360.0,20379380.0,0.848,85.94,55.47,擴散,頭頭高·底底低,,14,10,15,12.6,12,,,False
T,Communication Services,AT&T,2026-09-04,25.68,6.78,14.29,-8.28,1.13,0.667,31141695,60372735,50087754,-59.39,51.68,12.41,P+V-,P+V+,P-V+,➡️ 中性,-15.81,29.37,-0.538,3,3,15,5.4,10.49,3.42,False,True,23.48,4.76,0.956,False,28.75,29.79,-10.68,-1.27,7.94,14.0,6.0,30719171.0,32127583.0,2.333,26146000.0,29323700.0,29993546.0,0.872,100.0,60.18,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,12,1,14,8.0,3,剛爆發,,False
GPC,Consumer Discretionary,Genuine Parts Company,2026-09-04,138.08,3.43,42.62,21.94,22.48,1.0,1095975,1629367,1751018,-32.34,-12.99,41.74,P+V-,P+V-,P+V+,⚠️ 頂部背離,-0.02,30.93,-0.001,6,1,5,4.3,3.47,1.26,False,True,128.31,4.34,0.869,False,147.43,151.57,-6.34,1.2,2.6,11.0,9.0,1026354.0,1181066.0,1.222,737200.0,1027230.0,1080753.0,0.682,85.58,62.8,多頭,頭頭高·底底高,,4,11,22,10.4,8,吃老本,,False
ABNB,Consumer Discretionary,Airbnb,2026-09-04,181.94,-1.49,36.06,36.76,27.02,0.667,5134770,4348233,4026907,19.35,17.34,-17.48,P-V+,P+V+,P+V-,➡️ 中性,43.83,33.76,1.298,17,2,3,9.7,9.48,-14.13,False,True,162.96,7.15,1.147,False,193.45,193.45,-5.95,-3.95,2.17,11.0,9.0,5448272.0,4751600.0,1.222,3405400.0,4679120.0,4652686.0,0.732,88.12,56.33,擴散,頭頭高·底底低,,2,9,18,8.0,4,吃老本,,False
EXPE,Consumer Discretionary,Expedia Group,2026-09-04,298.04,-4.95,31.38,39.33,26.27,0.667,1419535,1578420,1725885,-14.88,-15.74,-21.64,P-V-,P+V-,P+V-,➡️ 中性,45.4,47.13,0.963,29,4,2,16.1,9.65,42.34,False,True,294.37,14.37,0.827,False,341.51,342.0,-12.73,-9.53,-3.93,10.0,10.0,1285480.0,1553590.0,1.0,1845700.0,1504490.0,1454620.0,1.269,73.31,43.62,多頭,頭頭高·底底高,,3,20,2,9.6,7,吃老本,,False
TGT,Consumer Staples,Target Corporation,2026-09-04,164.44,9.0,33.79,38.47,29.93,1.0,4878760,4404918,5076263,40.09,-23.36,-30.59,P+V+,P+V-,P+V-,➡️ 中性,65.91,32.37,2.036,3,1,1,2.0,75.83,17.31,False,True,146.36,6.43,1.018,False,170.75,170.75,-3.7,0.77,10.69,13.0,7.0,4909215.0,4822200.0,1.857,2865600.0,4260950.0,5085333.0,0.564,100.0,63.61,多頭,頭頭高·底底高,,1,1,24,5.6,2,,,False
DG,Consumer Staples,Dollar General,2026-09-04,133.21,8.81,29.34,-12.1,3.49,0.667,2559520,2623333,3155111,14.08,-28.85,-4.58,P+V+,P+V-,P-V-,✨ 反彈初期,18.19,37.31,0.488,4,2,25,7.6,23.53,6.22,False,True,122.74,10.76,1.176,False,156.68,158.23,-14.98,8.4,5.23,12.0,8.0,2722616.0,2314875.0,1.5,1709600.0,3088610.0,2748346.0,0.622,99.58,65.22,多頭,頭頭高·底底高,多頭確認,12,4,22,10.8,7,剛爆發,🎯 潛在暴漲,False
SJM,Consumer Staples,J.M. Smucker Company (The),2026-09-04,126.08,7.78,25.85,14.53,15.67,1.0,1328220,1519840,1705616,-6.19,-19.64,-12.4,P+V-,P+V-,P+V-,⚠️ 量能衰竭,10.16,27.86,0.365,5,3,3,4.0,46.18,5.01,False,True,118.75,9.36,1.142,False,135.89,135.89,-7.22,-4.73,5.91,13.0,7.0,1388815.0,1215685.0,1.857,1111100.0,1595750.0,1430860.0,0.777,99.5,54.57,多頭,頭頭高·底底高,,2,5,16,6.0,3,,,False
MPC,Energy,Marathon Petroleum,2026-09-04,388.9,21.74,46.03,84.67,59.27,1.0,2552905,2365606,2465123,20.21,-7.76,16.29,P+V+,P+V-,P+V+,➡️ 中性,67.71,36.03,1.879,1,1,1,1.0,27.08,120.63,False,True,321.36,13.63,1.068,False,398.52,398.52,-2.41,5.44,30.77,16.0,4.0,2585662.0,2421875.0,4.0,1874700.0,2381310.0,2427860.0,0.772,100.0,78.24,多頭,頭頭高·底底高,多頭確認,1,1,15,3.8,2,,,False
