symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,earnings_passed
CARR,Industrials,Carrier Global,2023-12-25,55.56,8.31,4.84,16.41,11.49,1.0,18,63,25,32.9,,,,,,,,,,,,,,,,,,,,,,,33,32,32,,32,,False
TXT,Industrials,Textron,2023-12-25,80.23,3.29,2.94,18.97,11.04,1.0,57,66,19,52.1,,,,,,,,,,,,,,,,,,,,,,,34,32,32,,32,,False
NDSN,Industrials,Nordson Corporation,2023-12-25,255.77,10.92,18.69,7.04,10.92,1.0,9,27,43,21.2,2.64,1.36,False,True,226.12,6.45,1.207,False,257.54,-0.69,1.93,12.55,14.0,6.0,276071.0,228750.0,2.333,155200.0,236880.0,275146.0,0.564,100.0,35,1,17,17.8,19,剛爆發,True
HWM,Industrials,Howmet Aerospace,2023-12-25,53.76,2.31,17.14,9.41,9.56,1.0,63,36,36,49.5,,,,,,,,,,,,,,,,,,,,,,,36,32,32,,32,,False
XYL,Industrials,Xylem Inc.,2023-12-25,110.96,7.68,26.04,2.21,9.53,1.0,24,9,59,26.5,11.8,20.68,False,True,98.86,4.75,0.842,False,113.58,-2.3,2.39,8.78,14.0,6.0,1223021.0,1452650.0,2.333,698900.0,1220970.0,1357740.0,0.515,100.0,37,1,20,19.2,25,剛爆發,True
EME,Industrials,Emcor,2023-12-25,214.07,0.52,2.48,16.8,9.15,1.0,69,67,23,59.2,,,,,,,,,,,,,,,,,,,,,,,38,32,32,,32,剛爆發,False
NSC,Industrials,Norfolk Southern,2023-12-25,224.31,4.38,20.89,5.61,9.12,1.0,51,18,49,40.7,,,,,,,,,,,,,,,,,,,,,,,39,32,32,,32,剛爆發,False
SWK,Industrials,Stanley Black & Decker,2023-12-25,88.51,4.61,18.42,6.53,9.02,1.0,48,30,44,41.8,,,,,,,,,,,,,,,,,,,,,,,40,32,32,,32,剛爆發,False
GWW,Industrials,W. W. Grainger,2023-12-25,811.67,3.12,20.07,5.61,8.6,1.0,60,21,49,46.1,,,,,,,,,,,,,,,,,,,,,,,41,32,32,,32,剛爆發,False
RSG,Industrials,Republic Services,2023-12-25,160.43,0.93,16.1,8.42,8.47,1.0,66,37,39,51.9,,,,,,,,,,,,,,,,,,,,,,,42,32,32,,32,剛爆發,False
ITW,Industrials,Illinois Tool Works,2023-12-25,246.7,7.38,14.34,5.91,8.38,1.0,27,41,47,35.2,,,,,,,,,,,,,,,,,,,,,,,43,32,32,,32,剛爆發,False
JBHT,Industrials,J.B. Hunt,2023-12-25,194.84,5.24,6.21,10.83,8.27,1.0,45,60,32,46.9,,,,,,,,,,,,,,,,,,,,,,,44,32,32,,32,剛爆發,False
ROL,Industrials,"Rollins, Inc.",2023-12-25,42.3,6.75,17.45,2.69,7.4,1.0,34,35,56,38.7,,,,,,,,,,,,,,,,,,,,,,,45,32,32,,32,剛爆發,False
WM,Industrials,Waste Management,2023-12-25,172.54,3.05,17.98,4.17,7.34,1.0,61,32,53,50.7,,,,,,,,,,,,,,,,,,,,,,,46,32,32,,32,剛爆發,False
EXPD,Industrials,Expeditors International,2023-12-25,123.52,5.92,11.61,5.62,7.19,1.0,39,51,48,44.4,,,,,,,,,,,,,,,,,,,,,,,47,32,32,,32,剛爆發,False
DOV,Industrials,Dover Corporation,2023-12-25,149.69,7.4,10.65,4.92,6.97,1.0,26,52,52,39.0,,,,,,,,,,,,,,,,,,,,,,,48,32,32,,32,剛爆發,False
EMR,Industrials,Emerson Electric,2023-12-25,93.19,8.0,1.39,8.91,6.8,1.0,20,69,38,38.3,,,,,,,,,,,,,,,,,,,,,,,49,32,32,,32,剛爆發,False
CPRT,Industrials,Copart,2023-12-25,49.0,-2.25,13.72,7.44,6.59,0.667,74,44,41,58.4,,,,,,,,,,,,,,,,,,,,,,,50,32,32,,32,剛爆發,False
HON,Industrials,Honeywell Technologies,2023-12-25,196.56,6.03,14.18,2.22,6.16,1.0,38,42,58,43.2,,,,,,,,,,,,,,,,,,,,,,,51,32,32,,32,剛爆發,False
CSX,Industrials,CSX Corporation,2023-12-25,33.45,3.8,13.14,2.39,5.43,1.0,55,46,57,52.7,,,,,,,,,,,,,,,,,,,,,,,52,32,32,,32,剛爆發,False
AME,Industrials,Ametek,2023-12-25,162.26,5.16,11.77,2.19,5.33,1.0,46,49,60,49.7,,,,,,,,,,,,,,,,,,,,,,,53,32,32,,32,剛爆發,False
SNA,Industrials,Snap-on,2023-12-25,270.28,3.21,14.01,1.52,5.06,1.0,58,43,61,54.1,,,,,,,,,,,,,,,,,,,,,,,54,32,32,,32,剛爆發,False
ODFL,Industrials,Old Dominion,2023-12-25,199.64,-0.0,-0.83,9.83,4.71,0.333,71,73,34,64.2,,,,,,,,,,,,,,,,,,,,,,,55,32,32,,32,剛爆發,False
OTIS,Industrials,Otis Worldwide,2023-12-25,85.6,3.14,11.86,1.33,4.41,1.0,59,48,63,56.5,,,,,,,,,,,,,,,,,,,,,,,56,32,32,,32,剛爆發,False
PAYX,Industrials,Paychex,2023-12-25,108.39,-3.88,4.08,8.08,4.09,0.667,76,65,40,65.5,,,,,,,,,,,,,,,,,,,,,,,57,32,32,,32,剛爆發,False
J,Industrials,Jacobs Solutions,2023-12-25,104.87,0.19,-4.72,9.62,3.67,0.667,70,77,35,65.1,,,,,,,,,,,,,,,,,,,,,,,58,32,32,,32,剛爆發,False
IEX,Industrials,IDEX Corporation,2023-12-25,208.94,6.93,4.69,1.47,3.64,1.0,33,64,62,48.1,,,,,,,,,,,,,,,,,,,,,,,59,32,32,,32,剛爆發,False
DE,Industrials,Deere & Company,2023-12-25,386.48,8.82,6.35,-0.6,3.49,0.667,14,59,66,37.9,11.53,24.66,False,True,361.87,5.3,0.92,False,431.82,-10.5,2.03,10.13,12.0,8.0,1867125.0,2028687.0,1.5,1104300.0,1498610.0,1861293.0,0.593,95.5,60,23,14,36.0,30,剛爆發,True
HUBB,Industrials,Hubbell Incorporated,2023-12-25,318.78,8.39,5.39,-0.04,3.42,0.667,16,62,64,39.4,,,,,,,,,,,,,,,,,,,,,,,61,32,32,,32,剛爆發,False
ADP,Industrials,Automatic Data Processing,2023-12-25,219.53,0.62,-2.58,7.17,3.1,0.667,68,75,42,64.9,,,,,,,,,,,,,,,,,,,,,,,62,32,32,,32,剛爆發,False
LMT,Industrials,Lockheed Martin,2023-12-25,424.01,0.85,11.62,-0.19,3.02,0.667,67,50,65,61.5,,,,,,,,,,,,,,,,,,,,,,,63,32,32,,32,剛爆發,False
VRSK,Industrials,Verisk Analytics,2023-12-25,234.6,-1.46,1.25,5.97,2.93,0.667,73,70,46,66.7,,,,,,,,,,,,,,,,,,,,,,,64,32,32,,32,剛爆發,False
NOC,Industrials,Northrop Grumman,2023-12-25,449.12,-2.44,6.77,3.56,2.87,0.667,75,58,54,65.7,,,,,,,,,,,,,,,,,,,,,,,65,32,32,,32,剛爆發,False
CMI,Industrials,Cummins,2023-12-25,228.0,5.86,5.66,-0.83,2.46,0.667,40,61,67,51.7,,,,,,,,,,,,,,,,,,,,,,,66,32,32,,32,剛爆發,False
ROK,Industrials,Rockwell Automation,2023-12-25,297.92,10.31,9.14,-4.92,2.4,0.667,10,53,69,34.7,4.87,-5.66,False,True,266.27,3.56,1.059,False,331.49,-10.13,1.22,12.72,13.0,7.0,742546.0,701057.0,1.857,326000.0,553480.0,697893.0,0.467,100.0,67,1,22,31.6,29,剛爆發,True
FTV,Industrials,Fortive,2023-12-25,54.9,6.25,-0.6,-1.32,0.75,0.333,37,72,68,53.7,,,,,,,,,,,,,,,,,,,,,,,68,32,32,,32,剛爆發,False
FDX,Industrials,FedEx,2023-12-25,193.61,-3.88,-4.06,3.03,-0.47,0.333,76,76,55,71.8,,,,,,,,,,,,,,,,,,,,,,,69,32,32,,32,剛爆發,False
GNRC,Industrials,Generac,2023-12-25,129.24,5.67,18.61,-13.34,-0.6,0.667,43,28,73,44.5,,,,,,,,,,,,,,,,,,,,,,,70,32,32,,32,剛爆發,False
RTX,Industrials,RTX Corporation,2023-12-25,80.1,2.21,17.77,-12.87,-1.44,0.667,64,34,72,56.6,,,,,,,,,,,,,,,,,,,,,,,71,32,32,,32,剛爆發,False
CHRW,Industrials,C.H. Robinson,2023-12-25,81.71,3.76,1.06,-7.15,-2.37,0.667,56,71,70,63.3,,,,,,,,,,,,,,,,,,,,,,,72,32,32,,32,剛爆發,False
JCI,Industrials,Johnson Controls,2023-12-25,55.68,7.7,9.07,-14.25,-2.93,0.667,23,54,74,42.5,,,,,,,,,,,,,,,,,,,,,,,73,32,32,,32,剛爆發,False
DAL,Industrials,Delta Air Lines,2023-12-25,39.02,5.73,9.03,-14.96,-3.79,0.667,41,55,75,52.0,,,,,,,,,,,,,,,,,,,,,,,74,32,32,,32,剛爆發,False
UPS,Industrials,United Parcel Service,2023-12-25,136.12,1.5,2.05,-10.45,-4.34,0.667,65,68,71,67.1,,,,,,,,,,,,,,,,,,,,,,,75,32,32,,32,剛爆發,False
LUV,Industrials,Southwest Airlines,2023-12-25,27.38,8.87,7.34,-19.29,-5.59,0.667,13,57,76,38.8,-3.12,-1.08,False,True,24.46,6.18,0.978,False,37.04,-26.07,-2.43,13.64,11.0,9.0,9440281.0,9652455.0,1.222,5699600.0,7130360.0,9034606.0,0.631,92.66,76,26,11,43.0,31,剛爆發,False
UAL,Industrials,United Airlines Holdings,2023-12-25,41.26,2.53,-2.46,-24.8,-12.38,0.333,62,74,77,68.6,,,,,,,,,,,,,,,,,,,,,,,77,32,32,,32,剛爆發,False
CRWD,Information Technology,CrowdStrike,2023-12-25,63.83,8.63,52.54,73.84,52.21,1.0,27,1,1,14.0,10.85,32.62,False,True,54.33,4.36,1.386,False,65.45,-2.48,-0.78,7.73,12.0,8.0,12460200.0,8992850.0,1.5,7435600.0,10051560.0,10462746.0,0.711,100.0,1,1,7,2.2,1,,True
INTC,Information Technology,Intel,2023-12-25,49.59,14.88,41.82,51.31,39.83,1.0,7,4,3,5.3,87.04,546.43,False,True,41.21,12.22,1.352,False,50.6,-2.01,6.73,12.42,11.0,9.0,46986600.0,34744277.0,1.222,29288700.0,41384250.0,42815653.0,0.684,100.0,2,1,11,3.4,3,,True
GDDY,Information Technology,GoDaddy,2023-12-25,106.16,4.07,42.53,41.3,32.3,1.0,45,3,7,24.8,52.3,-4.25,False,True,93.2,3.78,1.29,False,107.82,-1.54,-0.69,6.1,14.0,6.0,1644550.0,1274366.0,2.333,769100.0,1139060.0,1411726.0,0.545,100.0,3,1,24,6.4,4,,True
ANET,Information Technology,Arista Networks,2023-12-25,58.88,8.71,28.04,45.32,31.85,1.0,26,16,4,18.6,16.12,9.89,False,True,53.71,3.88,1.139,False,60.17,-2.15,0.07,7.19,11.0,9.0,6913309.0,6069911.0,1.222,3604800.0,5945040.0,6604800.0,0.546,92.61,4,25,23,16.2,13,吃老本,True
FICO,Information Technology,Fair Isaac,2023-12-25,1164.01,3.22,34.02,43.85,31.23,1.0,48,7,5,27.1,-4.0,7.88,False,True,1038.41,5.09,1.166,False,1185.42,-1.81,-0.12,7.03,14.0,6.0,203635.0,174650.0,2.333,97000.0,186770.0,196760.0,0.493,100.0,5,1,28,8.0,6,,False
AMD,Information Technology,Advanced Micro Devices,2023-12-25,147.41,21.44,43.37,29.41,30.91,1.0,1,2,14,3.9,3.59,1.05,False,True,121.11,11.05,1.399,False,151.05,-2.41,5.36,21.67,12.0,8.0,72257358.0,51638400.0,1.5,62079200.0,53846950.0,65661560.0,0.945,100.0,6,1,1,3.0,2,,True
STX,Information Technology,Seagate Technology,2023-12-25,81.16,8.72,30.54,40.64,30.13,1.0,25,12,8,17.7,12.22,28.52,False,True,72.21,6.1,1.074,False,82.9,-2.09,0.08,8.83,10.0,10.0,2187360.0,2037230.0,1.0,1295800.0,1822170.0,2146440.0,0.604,89.12,7,29,14,17.2,16,吃老本,True
AVGO,Information Technology,Broadcom,2023-12-25,108.75,20.58,35.01,29.98,28.89,1.0,2,6,13,5.4,0.94,1.03,False,True,94.07,5.4,2.358,False,112.09,-2.97,-0.98,21.13,11.0,9.0,62456818.0,26486666.0,1.222,20558000.0,36567600.0,51025866.0,0.403,100.0,8,1,31,9.8,8,剛爆發,True
APP,Information Technology,AppLovin,2023-12-25,39.85,4.18,-0.28,54.88,28.42,0.667,44,67,2,42.5,11.22,-17.07,False,True,39.04,14.15,1.102,False,45.1,-11.65,-7.33,6.32,10.0,10.0,2842780.0,2578550.0,1.0,2260500.0,2522850.0,2795753.0,0.809,85.16,9,30,2,16.0,11,吃老本,True
MU,Information Technology,Micron Technology,2023-12-25,84.65,12.54,25.82,35.89,27.53,1.0,14,19,11,14.9,5.85,9.27,False,True,74.93,10.99,1.332,False,87.04,-2.75,-0.03,12.26,11.0,9.0,17715381.0,13296988.0,1.222,8549200.0,19041290.0,17346826.0,0.493,98.99,10,18,28,16.8,14,吃老本,True
INTU,Information Technology,Intuit,2023-12-25,611.5,8.83,22.54,36.89,26.29,1.0,23,23,10,20.4,24.83,14.91,False,True,545.09,4.66,0.99,False,617.41,-0.96,0.65,9.37,14.0,6.0,1309542.0,1322333.0,2.333,724700.0,1238260.0,1373366.0,0.528,100.0,11,1,26,10.0,9,剛爆發,True
DELL,Information Technology,Dell Technologies,2023-12-25,73.32,6.35,11.66,43.17,26.09,1.0,38,51,6,35.5,29.19,53.07,False,True,68.47,8.54,0.732,False,74.23,-1.23,1.57,0.83,11.0,9.0,4063781.0,5554788.0,1.222,2293400.0,3488770.0,3812760.0,0.602,82.26,12,31,15,20.2,21,吃老本,True
WDC,Information Technology,Western Digital,2023-12-25,39.4,8.22,14.77,38.07,24.78,1.0,30,40,9,28.8,7.43,2.08,False,True,35.01,7.45,1.401,False,40.04,-1.58,-0.02,8.4,13.0,7.0,7469037.0,5333050.0,1.857,4601526.0,5500861.0,6701083.0,0.687,100.0,13,1,10,7.6,5,剛爆發,True
IT,Information Technology,Gartner,2023-12-25,451.11,2.26,31.29,28.77,22.77,1.0,52,10,15,32.0,30.68,13.89,False,True,411.66,3.41,0.871,False,469.58,-3.93,1.75,3.74,13.0,7.0,474053.0,544057.0,1.857,289400.0,499500.0,517806.0,0.559,96.05,14,21,20,18.0,17,吃老本,True
QCOM,Information Technology,Qualcomm,2023-12-25,137.34,11.54,31.06,23.14,22.22,1.0,17,11,22,16.2,5.93,3.35,False,True,120.42,4.55,1.238,False,139.48,-1.54,1.54,12.07,16.0,4.0,8309881.0,6712150.0,4.0,4839300.0,7744920.0,8166366.0,0.593,100.0,15,1,16,9.6,7,剛爆發,True
MPWR,Information Technology,Monolithic Power Systems,2023-12-25,619.13,12.9,36.75,17.21,21.02,1.0,12,5,33,14.1,0.67,0.43,False,True,524.65,5.9,0.963,False,634.18,-2.37,1.62,15.14,12.0,8.0,437741.0,454525.0,1.5,276900.0,485320.0,486760.0,0.569,99.08,16,17,19,17.0,15,,True
DDOG,Information Technology,Datadog,2023-12-25,121.38,2.33,33.25,23.38,20.58,1.0,50,9,21,31.9,33.46,27.69,False,True,106.41,3.7,1.13,False,124.69,-2.65,-0.9,4.13,11.0,9.0,3189818.0,2821900.0,1.222,2194100.0,2522000.0,2850660.0,0.77,90.23,17,28,3,18.6,18,吃老本,True
GEN,Information Technology,Gen Digital,2023-12-25,21.75,2.15,29.87,24.55,20.28,1.0,53,13,20,34.4,-0.21,0.82,False,True,19.43,2.9,1.488,True,22.29,-2.44,-1.55,3.35,11.0,8.0,3579463.0,2406112.0,1.375,2132800.0,2907480.0,2973880.0,0.717,98.05,18,19,6,16.0,11,,False
CRM,Information Technology,Salesforce,2023-12-25,258.67,1.21,29.77,24.56,20.02,1.0,57,14,19,36.5,2.52,11.45,False,True,227.84,5.24,1.318,False,263.8,-1.95,-1.54,4.46,11.0,9.0,6957081.0,5276733.0,1.222,3706600.0,5195640.0,5355773.0,0.692,93.47,19,24,9,19.0,19,,True
NOW,Information Technology,ServiceNow,2023-12-25,141.3,2.27,26.39,25.72,20.02,1.0,51,18,16,34.1,,,,,,,,,,,,,,,,,,,,,,,19,32,32,,32,吃老本,False
LRCX,Information Technology,Lam Research,2023-12-25,76.69,8.77,25.31,22.54,19.79,1.0,24,21,24,23.1,,,,,,,,,,,,,,,,,,,,,,,21,32,32,,32,吃老本,False
