sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert,pct_30d,n_30d,pct_90d,n_90d,pct_365d,n_365d,breadth_pct,breadth_up,breadth_total,breadth_source_date,point_5d_avg,acceleration,quadrant,quadrant_zh,quadrant_desc,health_key,health_emoji,health_zh,health_desc
XLE,能源,Energy,2026-08-21,63.64,58.36,59.37,53.02,9.05,7.19,20.03,14.08,1.0,25060870,27791900,26246606,1.059,2.79,6.74,12,8,25261025,29119512,0.867,1.5,92.84,1,4,2,2,7,2,2.1,2,3.0,1,,100.0,7,100.0,8,100.0,9,85.7,18,21,2026-08-17,10.26,3.82,leading,領先,資金持續流入、動能未退,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLB,材料,Materials,2026-08-21,53.54,51.39,49.53,52.27,4.18,8.09,2.43,4.28,1.0,10125990,14467100,10949306,1.321,1.9,4.45,11,9,11879190,10776311,1.102,1.222,91.05,5,3,7,5,1,3,4.8,4,3.4,2,,100.0,7,87.5,8,77.8,9,56.0,14,25,2026-08-17,2.4,1.88,leading,領先,資金持續流入、動能未退,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLY,非必需消費,Consumer Discretionary,2026-08-21,118.02,110.84,117.71,115.58,6.48,0.27,2.11,2.74,1.0,5251730,6561400,5938813,1.105,-0.15,7.87,11,9,7688627,5141155,1.496,1.222,99.17,3,9,8,7,4,1,5.8,6,4.0,3,剛爆發,100.0,7,100.0,8,88.9,9,72.3,34,47,2026-08-17,0.92,1.82,improving,改善,落後股翻轉候選,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLV,醫療保健,Health Care,2026-08-21,174.62,163.4,146.48,156.04,6.87,19.21,11.91,12.47,1.0,8370330,10166900,9496140,1.071,4.33,7.41,10,10,10182330,9518660,1.07,1.0,89.9,2,1,3,3,5,5,1.9,1,4.2,4,,100.0,6,100.0,7,87.5,8,84.7,50,59,2026-08-17,9.64,2.83,leading,領先,資金持續流入、動能未退,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLF,金融,Financials,2026-08-21,57.48,56.88,51.48,51.75,1.05,11.66,11.07,8.71,1.0,28037480,27273100,28377120,0.961,-1.17,2.08,11,9,28583100,32224388,0.887,1.222,84.63,7,2,4,4,8,7,4.9,5,6.0,5,,57.1,7,62.5,8,66.7,9,63.2,48,76,2026-08-17,9.55,-0.84,weakening,減弱,高位但動能見頂,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLK,資訊科技,Information Technology,2026-08-21,183.31,174.3,176.93,139.14,5.17,3.61,31.74,18.07,1.0,5928090,5781100,6850580,0.844,-3.53,4.22,8,12,8367562,7738466,1.081,0.667,80.05,4,6,1,1,10,9,4.0,3,6.0,5,吃老本,85.7,7,75.0,8,77.8,9,67.1,49,73,2026-08-17,17.54,0.53,leading,領先,資金持續流入、動能未退,neutral,➡️,中性,無明顯訊號
XLC,通訊服務,Communication Services,2026-08-21,111.4,107.66,115.8,113.74,3.47,-3.8,-2.06,-1.11,0.333,4141120,5055200,4500633,1.123,-1.37,4.8,12,8,4878416,5396537,0.904,1.5,90.65,6,11,10,10,3,4,8.3,10,6.2,7,剛爆發,71.4,7,75.0,8,66.7,9,79.2,19,24,2026-08-17,-1.58,0.47,improving,改善,落後股翻轉候選,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLP,必需消費,Consumer Staples,2026-08-21,85.99,85.36,84.93,87.1,0.74,1.25,-1.28,-0.14,0.667,9315690,11194000,9381133,1.193,-0.12,2.21,11,9,11379036,10319455,1.103,1.222,88.91,8,8,9,9,2,6,8.2,9,6.4,8,,50.0,6,42.9,7,50.0,8,64.7,22,34,2026-08-17,0.21,-0.35,lagging,落後,資金持續流出,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLI,工業,Industrials,2026-08-21,180.25,183.2,170.31,174.16,-1.61,5.84,3.5,2.8,0.667,5120740,5470900,5856740,0.934,-3.36,-1.32,10,10,6425600,5957440,1.079,1.0,81.74,10,5,6,6,9,8,7.7,8,7.4,9,,42.9,7,37.5,8,33.3,9,43.2,35,81,2026-08-17,3.57,-0.77,weakening,減弱,高位但動能見頂,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLRE,房地產,Real Estate,2026-08-21,45.08,45.76,44.04,43.27,-1.49,2.35,4.19,2.31,0.667,5357150,3968900,5478813,0.724,-0.42,-1.89,9,10,5252944,6004650,0.875,0.9,77.51,9,7,5,8,11,10,7.6,7,9.4,10,,0.0,7,0.0,8,11.1,9,26.7,8,30,2026-08-17,3.57,-1.26,lagging,落後,資金持續流出,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLU,公用事業,Utilities,2026-08-21,42.77,45.68,44.23,45.77,-6.37,-3.3,-6.55,-5.69,0.0,18692710,22073000,20756546,1.063,-3.48,-7.6,6,13,19207716,21625146,0.888,0.462,66.51,11,10,11,11,6,11,10.7,11,10.0,11,,0.0,7,0.0,8,0.0,9,6.5,2,31,2026-08-17,-3.32,-2.37,lagging,落後,資金持續流出,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
