ticker,stock_name,supply_chain,as_of_date,chain_point,chain_z_point,chain_state,stock_point,stock_z_in_chain,chain_size,price_lag,early_flag
1802,台玻,CCL / High-Speed Materials,2026-09-17,69.91,2.18,⚠️ Price Leading,-6.69,-1.1,4,3.28,
2383,台光電,CCL / High-Speed Materials,2026-09-17,69.91,2.18,⚠️ Price Leading,33.04,-0.53,4,2.71,
3481,群創,Display & Optical,2026-09-17,60.11,1.67,🚀 Confirmed,36.04,-0.86,3,2.53,🎯 EARLY
3661,世芯-KY,AI / HPC Semiconductor,2026-09-17,43.1,0.79,🚀 Confirmed,-5.48,-1.24,9,2.03,🎯 EARLY
2409,友達,Display & Optical,2026-09-17,60.11,1.67,🚀 Confirmed,53.58,-0.23,3,1.9,🎯 EARLY
2308,台達電,Thermal / Liquid Cooling,2026-09-17,34.05,0.33,⚠️ Price Leading,5.94,-1.46,4,1.79,
1303,南亞,CCL / High-Speed Materials,2026-09-17,69.91,2.18,⚠️ Price Leading,106.31,0.52,4,1.66,
6789,采鈺,AI / HPC Semiconductor,2026-09-17,43.1,0.79,🚀 Confirmed,10.02,-0.85,9,1.64,🎯 EARLY
2330,台積電,AI / HPC Semiconductor,2026-09-17,43.1,0.79,🚀 Confirmed,16.76,-0.67,9,1.46,🎯 EARLY
6515,穎崴,Advanced Packaging,2026-09-17,26.97,-0.04,💰 Capital Leading,-9.74,-1.35,8,1.31,🎯 EARLY
3533,嘉澤,PCB / HDI / IC Substrate,2026-09-17,27.38,-0.02,❄️ Weak,-11.39,-1.32,10,1.3,
2379,瑞昱,AI / HPC Semiconductor,2026-09-17,43.1,0.79,🚀 Confirmed,25.65,-0.45,9,1.24,🎯 EARLY
3034,聯詠,AI / HPC Semiconductor,2026-09-17,43.1,0.79,🚀 Confirmed,28.47,-0.37,9,1.16,🎯 EARLY
2368,金像電,PCB / HDI / IC Substrate,2026-09-17,27.38,-0.02,❄️ Weak,-5.11,-1.11,10,1.09,
3665,貿聯-KY,AI Server / ODM,2026-09-17,34.95,0.37,⚠️ Price Leading,7.86,-0.71,13,1.08,
6213,聯茂,CCL / High-Speed Materials,2026-09-17,69.91,2.18,⚠️ Price Leading,146.96,1.11,4,1.07,
2317,鴻海,AI Server / ODM,2026-09-17,34.95,0.37,⚠️ Price Leading,9.1,-0.68,13,1.05,
2313,華通,PCB / HDI / IC Substrate,2026-09-17,27.38,-0.02,❄️ Weak,-3.32,-1.05,10,1.03,
2324,仁寶,AI Server / ODM,2026-09-17,34.95,0.37,⚠️ Price Leading,9.9,-0.65,13,1.02,
2449,京元電子,Advanced Packaging,2026-09-17,26.97,-0.04,💰 Capital Leading,-0.32,-1.0,8,0.96,🎯 EARLY
6531,愛普*,AI / HPC Semiconductor,2026-09-17,43.1,0.79,🚀 Confirmed,36.36,-0.17,9,0.96,🎯 EARLY
2382,廣達,AI Server / ODM,2026-09-17,34.95,0.37,⚠️ Price Leading,12.65,-0.58,13,0.95,
4938,和碩,AI Server / ODM,2026-09-17,34.95,0.37,⚠️ Price Leading,14.11,-0.54,13,0.91,
