symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,rsi14,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,explosive_verdict,is_new_signal_3d
DE,Industrials,Deere & Company,2026-09-01,676.08,10.47,24.96,9.74,13.73,1.0,1245275,1264444,1266913,17.87,-0.39,-15.61,P+V+,P+V-,P+V-,➡️ 中性,2,1,10,3.3,8.3,14.07,False,True,613.4,15.53,1.389,False,677.89,677.89,-0.27,7.2,9.51,11.0,9.0,1424818.0,1025833.0,1.222,2309600.0,1599050.0,1375553.0,1.679,100.0,66.19,擴散,頭頭高·底底低,多頭確認,4,1,2,2.4,1,,,False
PAYX,Industrials,Paychex,2026-09-01,125.64,6.23,23.92,36.09,25.59,1.0,2156315,3091858,3435883,-33.86,-18.2,5.22,P+V-,P+V-,P+V+,⚠️ 頂部背離,7,2,1,4.3,0.91,2.31,False,True,114.25,6.29,1.201,False,134.63,140.56,-6.68,0.52,5.88,12.0,8.0,2310841.0,1924525.0,1.5,1708500.0,2026380.0,2084873.0,0.819,97.25,61.91,多頭,頭頭高·底底高,,1,3,26,6.8,2,,,False
ADP,Industrials,Automatic Data Processing,2026-09-01,283.49,4.96,22.2,31.89,22.74,1.0,2060920,2545495,2975513,-17.06,-25.25,25.11,P+V-,P+V-,P+V+,⚠️ 頂部背離,9,3,2,5.8,1.58,2.26,False,True,258.28,6.4,1.183,False,299.48,307.8,-5.34,0.25,4.76,10.0,10.0,2233350.0,1888490.0,1.0,1782000.0,1944770.0,2040693.0,0.873,88.65,63.05,多頭,頭頭高·底底高,多頭確認,2,8,23,8.6,5,吃老本,,False
CRM,Information Technology,Salesforce,2026-09-01,258.11,33.75,23.46,30.06,29.33,1.0,16101430,15411681,14644399,26.8,11.06,52.16,P+V+,P+V+,P+V+,⭐⭐⭐ 完美多頭,1,3,25,6.4,80.36,24.07,False,True,185.17,30.61,1.66,False,267.75,269.11,-3.6,25.48,35.14,11.0,9.0,19608609.0,11814877.0,1.222,15897500.0,20181140.0,17790300.0,0.894,100.0,81.25,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警 / 多頭確認,17,1,20,11.2,3,剛爆發,🔥 追高風險,False
WDAY,Information Technology,"Workday, Inc.",2026-09-01,198.38,16.26,26.17,42.61,31.91,1.0,5013715,4976089,5132602,8.92,-5.92,42.05,P+V+,P+V-,P+V+,➡️ 中性,5,2,19,6.9,5.27,5.68,False,True,160.66,10.02,1.663,False,249.85,249.85,-20.6,2.04,15.82,8.0,12.0,6589725.0,3963041.0,0.667,3642700.0,4628320.0,5581080.0,0.653,99.41,60.78,多頭,頭頭高·底底高,空轉多預警,15,11,27,15.8,14,,,False
PLTR,Information Technology,Palantir Technologies,2026-09-01,179.92,13.56,12.0,32.35,22.57,1.0,37000800,41341440,44173566,-12.28,-12.05,-17.04,P+V-,P+V-,P+V-,⚠️ 量能衰竭,8,8,23,11.0,18.51,18.08,False,True,146.11,10.85,1.211,False,207.52,207.52,-13.3,4.16,10.61,9.0,11.0,40929722.0,33786227.0,0.818,24567200.0,30813330.0,30440240.0,0.807,91.5,61.92,空頭,頭頭低·底底低,多頭確認,20,14,23,18.2,20,剛爆發,,False
NEM,Materials,Newmont,2026-09-01,122.63,17.59,13.35,-3.38,6.04,0.667,8555260,8271941,8754786,21.14,-10.45,-16.02,P+V+,P+V-,P-V-,✨ 反彈初期,1,5,13,4.6,5.68,33.45,False,True,105.22,10.64,0.903,False,135.29,135.29,-9.36,-9.26,25.48,13.0,7.0,8245315.0,9130871.0,1.857,8016700.0,9321330.0,8407366.0,0.954,100.0,56.3,多頭,頭頭高·底底高,空轉多預警,8,1,11,5.8,4,剛爆發,,False
CTVA,Materials,Corteva,2026-09-01,87.73,11.75,13.18,12.05,12.26,1.0,4485320,4382246,4119037,5.91,13.65,-2.91,P+V+,P+V+,P+V-,🚀 健康多頭,4,6,5,4.8,2.93,27.11,False,True,82.67,11.64,1.104,False,90.78,90.97,-3.36,5.86,12.27,12.0,8.0,4660766.0,4222150.0,1.5,5567300.0,4797640.0,4368446.0,1.274,100.0,69.07,擴散,頭頭高·底底低,,3,1,5,2.6,2,,,False
BALL,Materials,Ball Corporation,2026-09-01,62.77,-0.82,17.26,-4.86,1.68,0.333,1636680,2332523,2419350,-15.42,-6.93,-6.22,P-V-,P+V-,P-V-,➡️ 中性,10,3,15,8.9,4.27,11.31,False,True,62.59,4.96,1.0,False,67.62,68.29,-7.18,-1.73,-1.22,7.0,13.0,1637142.0,1636430.0,0.538,1595600.0,1535230.0,1527713.0,1.044,74.16,49.83,多頭,頭頭高·底底高,,11,16,8,12.4,12,,,False
VTR,Real Estate,Ventas,2026-09-01,92.07,-0.5,13.34,7.82,7.12,0.667,2915685,3605326,3783650,-14.14,-9.0,30.14,P-V-,P+V-,P+V+,➡️ 中性,7,4,9,6.5,51.73,-1.4,False,False,92.49,4.54,1.04,False,101.6,101.6,-9.38,-1.88,1.34,12.0,8.0,2961408.0,2847100.0,1.5,3352000.0,2874010.0,2839960.0,1.18,90.76,49.28,擴散,頭頭高·底底低,,4,3,11,5.0,2,,,False
ARE,Real Estate,Alexandria Real Estate Equities,2026-09-01,51.63,3.05,7.56,-3.6,0.85,0.667,2072775,1969752,2187012,19.29,-18.07,-9.13,P+V+,P+V-,P-V-,✨ 反彈初期,4,6,25,8.8,26.17,1359.96,False,True,50.65,15.22,1.367,False,83.17,88.24,-37.92,-2.4,5.65,9.0,11.0,2431966.0,1778890.0,0.818,1671500.0,2311710.0,2119673.0,0.789,88.63,52.91,空頭,頭頭低·底底低,,15,4,26,12.8,9,剛爆發,,False
KIM,Real Estate,Kimco Realty,2026-09-01,24.12,-3.02,3.15,4.3,2.18,0.667,4188475,4840473,4949565,-5.45,-4.31,2.67,P-V-,P+V-,P+V+,➡️ 中性,11,10,13,11.1,13.48,7.45,False,False,25.0,3.54,0.746,False,26.65,26.65,-9.49,0.25,-3.56,7.0,13.0,3428585.0,4597646.0,0.538,5989400.0,4563530.0,4080800.0,1.468,69.09,43.61,空頭,頭頭低·底底低,多轉空預警,10,23,5,14.2,14,吃老本,,False
AWK,Utilities,American Water Works,2026-09-01,137.4,3.1,14.19,3.71,6.18,1.0,2078840,2281513,2094266,-7.41,19.64,27.6,P+V-,P+V+,P+V+,⚠️ 頂部背離,2,1,2,1.7,3.97,-7.4,False,True,133.81,3.7,1.07,False,142.41,146.29,-3.51,-0.15,3.21,10.0,10.0,2148830.0,2008850.0,1.0,1661800.0,2069490.0,2182240.0,0.762,85.59,54.37,收斂,頭頭低·底底高,多轉空預警,1,4,23,6.6,4,,,False
ETR,Utilities,Entergy,2026-09-01,107.02,0.75,2.56,2.38,2.02,1.0,1955135,2801343,3062113,-30.86,-15.7,14.74,P+V-,P+V-,P+V+,⚠️ 頂部背離,3,7,3,4.2,2.39,2.26,False,False,110.28,4.66,1.063,False,117.75,118.45,-9.11,0.73,-1.1,10.0,10.0,2014570.0,1895700.0,1.0,2293300.0,1866900.0,1865233.0,1.229,83.23,47.2,空頭,頭頭低·底底低,多轉空預警,3,5,7,4.6,1,,,False
ED,Utilities,Consolidated Edison,2026-09-01,107.7,0.24,4.81,-1.14,0.69,0.667,2239755,2293300,2269906,4.89,2.08,5.49,P+V+,P+V+,P-V+,🚀 健康多頭,5,4,6,4.9,7.37,-3.83,False,False,109.15,3.98,0.949,False,114.33,116.23,-5.8,0.57,0.16,12.0,8.0,2192700.0,2310337.0,1.5,1863200.0,2148720.0,2195340.0,0.849,89.43,49.1,空頭,頭頭低·底底低,,4,2,19,6.2,3,,,False
