sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert
XLE,能源,Energy,2025-03-28,44.46,43.43,40.36,41.27,2.36,10.16,7.73,7.0,1.0,27552780,22248800,29387266,0.757,0.68,2.36,12,8,32784833,37004250,0.886,1.5,89.7,1,1,2,1,11,1,1.2,1,3.0,1,
XLU,公用事業,Utilities,2025-03-28,37.67,38.0,36.49,38.26,-0.87,3.22,-1.54,-0.18,0.333,17138900,19078600,19593173,0.974,-0.27,-0.87,10,10,20105900,20398380,0.986,1.0,81.62,2,3,5,4,5,2,2.9,2,3.4,2,
XLC,通訊服務,Communication Services,2025-03-28,94.32,100.19,96.42,88.19,-5.86,-2.18,6.96,1.47,0.333,4347790,5595200,4668126,1.199,-1.62,-5.86,9,11,4373433,5390536,0.811,0.818,72.31,9,9,3,3,1,6,7.8,9,3.8,3,
XLF,金融,Financials,2025-03-28,48.29,51.02,47.67,43.96,-5.35,1.31,9.85,3.92,0.667,40571050,45365400,47808413,0.949,-0.14,-5.35,8,12,48502075,60245241,0.805,0.667,70.82,8,6,1,2,6,7,6.0,6,4.8,4,
XLP,必需消費,Consumer Staples,2025-03-28,77.71,79.86,76.23,79.21,-2.7,1.94,-1.89,-1.14,0.333,11238240,12493200,14535866,0.859,1.9,-2.7,9,10,13233877,17478810,0.757,0.9,75.89,4,5,6,5,9,4,4.7,4,5.4,5,
XLV,醫療保健,Health Care,2025-03-28,141.36,145.12,135.39,148.43,-2.59,4.41,-4.76,-1.92,0.333,6760660,6210500,7502660,0.828,-1.04,-2.59,10,10,7085080,8520540,0.832,1.0,77.59,3,2,8,6,10,3,3.7,3,5.6,6,
XLRE,房地產,Real Estate,2025-03-28,39.67,41.08,38.59,41.71,-3.42,2.8,-4.89,-2.6,0.333,4422150,4905600,5166780,0.949,0.4,-3.42,8,12,5448437,6179683,0.882,0.667,73.54,5,4,9,7,6,5,5.5,5,6.0,7,
XLY,非必需消費,Consumer Discretionary,2025-03-28,97.55,106.63,113.43,98.97,-8.51,-14.0,-1.44,-6.34,0.0,8131140,9886600,8996013,1.099,0.07,-8.51,9,11,8153022,10551963,0.773,0.818,70.72,11,11,4,9,2,9,9.6,10,7.6,8,
XLI,工業,Industrials,2025-03-28,128.1,133.78,130.76,131.64,-4.24,-2.03,-2.69,-2.91,0.0,8065380,10196800,9413300,1.083,-1.29,-4.24,7,13,9645600,11015830,0.876,0.538,70.34,7,8,7,8,3,10,7.3,7,7.8,9,
XLB,材料,Materials,2025-03-28,41.55,43.16,41.3,46.88,-3.72,0.61,-11.37,-6.46,0.333,9349120,9147200,10532520,0.868,-0.39,-3.72,7,13,11252057,13087846,0.86,0.538,70.73,6,7,11,10,8,8,7.3,7,8.8,10,
XLK,資訊科技,Information Technology,2025-03-28,102.48,111.79,117.72,111.4,-8.33,-12.95,-8.0,-9.32,0.0,8884500,10667600,10576333,1.009,-3.37,-8.33,9,11,9923511,12654272,0.784,0.818,69.65,10,10,10,11,4,11,10.0,11,9.6,11,
