sector,as_of_date,stock_count,point,ret_4w,ret_13w,ret_26w,breadth_pct,breadth_up,breadth_total,inst_net_20d_shares,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,point_5d_avg,acceleration,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
化學生技醫療,2026-09-08,1,77.02,-2.43,57.6,126.45,0.0,0,1,-4135456.0,-5810.3,-5810.3,41.73,35.29,2.12,-0.8,-2.92,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
塑膠工業,2026-09-08,3,72.06,19.55,76.77,95.96,100.0,3,3,208485194.0,17114.8,5704.93,53.29,18.77,1.92,0.21,-1.71,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
半導體業,2026-09-08,5,58.33,7.65,1.85,111.91,80.0,4,5,7260030.0,36831.00000000001,7366.2,52.21,6.12,1.36,1.07,-0.29,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🔥 Overheated
電子零組件業,2026-09-08,13,56.43,1.78,9.69,107.13,53.8,7,13,-34095793.0,1915.899999999996,147.38,57.01,-0.58,1.29,-0.46,-1.75,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
油電燃氣業,2026-09-08,1,39.36,13.39,55.36,44.34,100.0,1,1,-2775666.0,-220.9,-220.9,29.04,10.32,0.6,-0.56,-1.16,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
電腦及週邊設備業,2026-09-08,11,36.27,3.19,14.71,63.59,54.5,6,11,45793139.0,22837.299999999992,2076.12,33.35,2.92,0.47,0.46,-0.02,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🔥 Overheated
電子工業,2026-09-08,30,33.51,2.92,5.3,62.91,56.7,17,30,659203547.0,69947.59999999999,2331.59,29.93,3.58,0.36,2.53,2.17,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
金融保險,2026-09-08,15,33.12,12.77,24.95,47.38,100.0,15,15,1269414293.0,59476.100000000006,3965.07,25.91,7.21,0.35,2.07,1.72,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
航運業,2026-09-08,5,16.93,9.61,18.38,19.85,100.0,5,5,419826728.0,45799.4,9159.88,15.39,1.54,-0.3,1.47,1.77,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
其他,2026-09-08,1,12.83,1.32,3.25,23.38,100.0,1,1,1000065.0,115.0,115.0,7.33,5.5,-0.47,-0.54,-0.07,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電機機械,2026-09-08,4,10.14,-3.43,1.18,21.4,50.0,2,4,22719456.0,-1004.0999999999999,-251.02,10.82,-0.68,-0.58,-0.59,-0.01,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
汽車工業,2026-09-08,1,9.35,6.15,15.48,7.89,100.0,1,1,296908.0,158.8,158.8,3.35,6.0,-0.61,-0.54,0.07,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電子通路業,2026-09-08,3,8.8,-9.18,-7.92,26.16,0.0,0,3,-63246285.0,-9925.9,-3308.63,9.06,-0.26,-0.63,-0.98,-0.35,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電器電纜,2026-09-08,1,8.77,-4.75,5.91,16.96,0.0,0,1,51583069.0,1965.3,1965.3,4.54,4.23,-0.63,-0.46,0.17,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
食品工業,2026-09-08,1,8.05,0.52,7.64,12.02,100.0,1,1,80501771.0,6174.5,6174.5,3.06,4.99,-0.66,-0.28,0.39,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
紡織纖維,2026-09-08,1,6.97,3.99,8.48,7.7,100.0,1,1,61028198.0,1748.5,1748.5,1.15,5.82,-0.71,-0.47,0.24,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
水泥工業,2026-09-08,1,1.76,-0.61,4.95,1.36,0.0,0,1,-21978033.0,-534.1,-534.1,1.54,0.22,-0.92,-0.57,0.34,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
貿易百貨,2026-09-08,1,1.1,-1.14,0.63,2.46,0.0,0,1,2406368.0,522.2,522.2,-0.15,1.25,-0.94,-0.52,0.42,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
鋼鐵工業,2026-09-08,1,-0.28,-3.29,2.67,-0.25,0.0,0,1,-11713032.0,-223.7,-223.7,4.23,-4.51,-1.0,-0.56,0.44,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
玻璃陶瓷,2026-09-08,1,-0.73,3.99,-4.92,-0.99,100.0,1,1,25483426.0,1526.5,1526.5,0.57,-1.3,-1.02,-0.48,0.54,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
