supply_chain,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,node_count,resonance_pct,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
Display & Optical,2026-09-22,3,74.2,100.0,3,3,17600.3,5866.77,2,100.0,2.16,0.41,-1.74,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
CCL / High-Speed Materials,2026-09-22,4,68.19,25.0,1,4,-21315.9,-5328.97,3,66.7,1.86,-0.56,-2.42,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
AI / HPC Semiconductor,2026-09-22,9,53.66,77.8,7,9,130646.2,14516.24,8,100.0,1.13,3.24,2.11,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Passive Components,2026-09-22,2,50.47,100.0,2,2,-15492.2,-7746.1,2,100.0,0.97,-0.42,-1.38,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
Biotech / Innovative Drug / CDMO,2026-09-22,1,45.76,0.0,0,1,-7488.0,-7488.0,1,,0.73,-0.22,-0.95,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
Thermal / Liquid Cooling,2026-09-22,5,39.68,80.0,4,5,-5588.7,-1117.74,3,100.0,0.43,-0.17,-0.6,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
AI Server / ODM,2026-09-22,13,35.92,46.2,6,13,-74467.7,-5728.28,6,100.0,0.24,-1.89,-2.13,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
Advanced Packaging,2026-09-22,8,33.79,62.5,5,8,68748.3,8593.54,3,66.7,0.13,1.69,1.56,🚀 Confirmed,💰 Capital Leading,💰 Capital Leading → 🚀 Confirmed,ADVANCING,🚀 Confirmed
PCB / HDI / IC Substrate,2026-09-22,10,32.39,50.0,5,10,4215.7,421.57,7,71.4,0.06,0.08,0.02,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Data Center Power / PSU,2026-09-22,4,29.12,50.0,2,4,-20758.4,-5189.6,4,100.0,-0.1,-0.55,-0.45,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Semiconductor Equipment & Materials,2026-09-22,9,28.08,77.8,7,9,-9289.7,-1032.19,7,100.0,-0.15,-0.26,-0.11,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Robotics / Automation,2026-09-22,3,26.15,33.3,1,3,1202.2,400.73,2,100.0,-0.25,0.0,0.25,💰 Capital Leading,❄️ Weak,❄️ Weak → 💰 Capital Leading,ADVANCING,💰 Capital Leading
Cloud / Data Center / Cybersecurity,2026-09-22,8,21.8,75.0,6,8,-12149.4,-1518.68,4,100.0,-0.47,-0.33,0.14,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Shipping / Logistics,2026-09-22,4,21.77,75.0,3,4,8989.8,2247.45,2,100.0,-0.47,0.2,0.67,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
EV / Auto Electronics,2026-09-22,4,20.72,75.0,3,4,-20281.5,-5070.38,3,100.0,-0.52,-0.54,-0.01,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Energy Storage / Battery,2026-09-22,1,16.53,100.0,1,1,-16410.7,-16410.7,1,,-0.73,-0.44,0.29,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Memory / HBM,2026-09-22,5,13.69,40.0,2,5,10785.3,2157.06,5,60.0,-0.88,0.24,1.12,💰 Capital Leading,❄️ Weak,❄️ Weak → 💰 Capital Leading,ADVANCING,💰 Capital Leading
Smart Grid / Transformer,2026-09-22,4,8.52,25.0,1,4,5547.3,1386.83,3,66.7,-1.13,0.11,1.24,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
Optical Communication / AI Networking,2026-09-22,1,4.31,0.0,0,1,-19574.3,-19574.3,1,,-1.34,-0.52,0.83,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Steel,2026-09-22,1,-1.62,0.0,0,1,-2090.8,-2090.8,1,,-1.64,-0.08,1.56,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
