stock_id,symbol,stock_name,sector,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vp_ratio_stock,vp_score_stock,rsi14,above_50ma,ma50,amp_10d_pct,vcp,high_52w,pct_from_high,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,trend_state,trend_pattern,trend_signal,explosive_verdict,vol_today,vol_10d_avg,trade_value_20d_est_NTD_M,inst_foreign_net_20d_shares,inst_trust_net_20d_shares,inst_dealer_net_20d_shares,inst_total_net_20d_shares,inst_total_net_20d_est_NTD_M,point_rank_in_sector,vp_score_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
2330,2330,台積電,電子工業,2026-09-15,2378.0,1.49,-0.63,27.28,13.85,0.667,-3.44,0.21,11,9,16350239,18179333,1.222,0.899,82.82,46.86,False,2383.68,5.16,False,2527.56,-5.92,P+V-,P-V-,P+V-,⚠️ 量能背離,多頭,頭頭高·底底高,空轉多預警,,13515970,17703829,826288.6,-8676510.0,-2370826.0,2769994.0,-8277342.0,-19683.5,23.0,16.0,19.5,19.0,剛爆發
2454,2454,聯發科,電子工業,2026-09-15,4430.0,15.21,-2.27,149.66,78.07,0.667,-5.94,14.03,8,12,7156081,7264976,0.667,0.985,83.28,56.19,True,3956.2,13.76,False,4940.48,-10.33,P+V-,P-V-,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,空轉多預警,🔥 追高風險,5699080,8772801,613865.6,5494945.0,-183543.0,888320.0,6199722.0,27464.8,7.0,15.0,11.0,8.0,吃老本
2308,2308,台達電,電子零組件業,2026-09-15,1670.0,-5.38,-24.72,22.54,3.74,0.333,-7.48,-8.24,10,9,8869516,10174324,1.111,0.872,73.99,42.79,False,1763.7,18.73,False,2571.55,-35.06,P-V-,P-V+,P+V-,➡️ 中性,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警,,14032981,10481110,328337.9,-14657061.0,-8154747.0,331849.0,-22479959.0,-37541.5,9.0,6.0,7.5,9.0,
2317,2317,鴻海,電子工業,2026-09-15,246.5,0.61,-5.64,18.34,7.91,0.667,-1.99,-1.0,8,11,29800444,29428289,0.727,1.013,77.23,45.23,False,248.96,6.18,False,304.92,-19.16,P+V-,P-V-,P+V-,⚠️ 量能背離,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警,,15351327,29425443,148758.2,-11995730.0,6591306.0,-3622062.0,-9026486.0,-2225.0,26.0,25.0,25.5,28.0,
3711,3711,日月光投控,電子工業,2026-09-15,592.0,0.68,0.91,78.33,39.56,1.0,-4.21,-1.17,9,10,17245787,16419078,0.9,1.05,79.5,46.05,False,610.38,12.26,False,722.4,-18.05,P+V-,P+V-,P+V-,⚠️ 量能衰竭,收斂,頭頭低·底底高,,,12546689,16239955,200020.5,26017364.0,-16171860.0,1258291.0,11103795.0,6573.4,12.0,19.0,15.5,17.0,吃老本
2881,2881,富邦金,金融保險,2026-09-15,151.0,17.51,18.28,74.64,46.26,1.0,1.34,16.6,9,9,22986102,16773873,1.0,1.37,99.48,65.63,True,133.4,8.73,False,155.5,-2.89,P+V+,P+V-,P+V+,➡️ 中性,多頭,頭頭高·底底高,,,15566889,15608016,57280.3,23951630.0,15673668.0,625799.0,40251097.0,6077.9,3.0,13.0,8.0,12.0,吃老本
2383,2383,台光電,電子零組件業,2026-09-15,5115.0,-12.61,0.36,97.63,45.75,0.667,-4.21,-17.19,8,11,1746516,1749484,0.727,0.998,66.38,42.0,False,5265.66,10.46,False,6440.59,-20.58,P-V-,P+V-,P+V-,➡️ 中性,多頭,頭頭高·底底高,空轉多預警 / 空頭確認,,1319618,1353834,190627.3,726365.0,-2207288.0,40371.0,-1440552.0,-7368.4,4.0,8.0,6.0,7.0,
1303,1303,南亞,塑膠工業,2026-09-15,221.5,18.13,93.54,187.19,121.51,1.0,-5.74,10.75,11,9,89624706,87821905,1.222,1.021,90.34,52.94,True,199.39,12.93,False,250.0,-11.4,P+V-,P+V+,P+V-,⚠️ 量能背離,多頭,頭頭高·底底高,,🔥 追高風險,54504666,71702975,393735.2,-57634950.0,50099896.0,-4224212.0,-11759266.0,-2604.7,1.0,2.0,1.5,1.0,
2303,2303,聯電,電子工業,2026-09-15,138.5,19.91,-0.09,132.46,71.19,0.667,1.09,16.39,10,9,198921933,143911691,1.111,1.382,100.0,56.15,True,130.79,16.47,False,182.38,-24.06,P+V-,P-V-,P+V+,⚠️ 頂部背離,擴散,頭頭高·底底低,多頭確認,🔥 追高風險,101297360,178268243,445984.2,-1869822.0,31497557.0,13276078.0,42903813.0,5942.2,8.0,1.0,4.5,2.0,剛爆發
2882,2882,國泰金,金融保險,2026-09-15,110.0,11.9,4.04,57.14,32.56,1.0,-3.08,10.89,8,9,27888254,18960824,0.889,1.471,94.37,57.26,True,101.64,8.05,False,117.0,-5.98,P+V+,P+V-,P+V+,➡️ 中性,多頭,頭頭高·底底高,空轉多預警,,16466120,20845885,47649.5,6471477.0,25803343.0,1405680.0,33680500.0,3704.9,10.0,15.0,12.5,14.0,
