sector,as_of_date,stock_count,point,ret_4w,ret_13w,ret_26w,breadth_pct,breadth_up,breadth_total,inst_net_20d_shares,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,point_5d_avg,acceleration,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
塑膠工業,2026-09-09,3,73.57,20.6,86.51,93.58,100.0,3,3,205584862.0,18854.2,6284.73,55.68,17.89,2.2,0.65,-1.55,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
化學生技醫療,2026-09-09,1,68.13,-6.92,51.48,113.98,0.0,0,1,-4121767.0,-5543.8,-5543.8,49.83,18.3,1.96,-0.79,-2.75,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
電子零組件業,2026-09-09,11,50.62,3.11,15.17,92.11,54.5,6,11,5299527.0,14248.899999999996,1295.35,53.57,-2.95,1.2,0.38,-0.82,🚀 Confirmed,⚠️ Price Leading,⚠️ Price Leading → 🚀 Confirmed,ADVANCING,🚀 Confirmed
油電燃氣業,2026-09-09,1,47.37,25.36,75.47,44.34,100.0,1,1,-1235106.0,-108.1,-108.1,30.03,17.34,1.06,-0.47,-1.52,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
電子工業,2026-09-09,37,44.38,3.35,13.01,80.59,62.2,23,37,520878162.0,16645.899999999987,449.89,29.71,14.67,0.92,0.52,-0.4,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
電腦及週邊設備業,2026-09-09,10,36.72,1.07,20.22,62.8,50.0,5,10,-4203175.0,13023.699999999997,1302.37,34.13,2.59,0.59,0.31,-0.28,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
金融保險,2026-09-09,15,32.03,11.59,25.45,45.53,100.0,15,15,1273049028.0,58363.2,3890.88,27.94,4.09,0.39,2.99,2.6,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
其他電子業,2026-09-09,1,23.72,-3.96,4.9,46.97,0.0,0,1,-5531245.0,-4148.4,-4148.4,14.79,8.93,0.02,-0.71,-0.73,⚠️ Price Leading,,(無前一日資料),NEW,⚠️ Price Leading
航運業,2026-09-09,5,18.84,11.86,20.81,21.34,100.0,5,5,416551366.0,45335.9,9067.18,15.08,3.76,-0.19,2.22,2.41,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
電機機械,2026-09-09,4,12.88,-2.63,5.24,24.47,50.0,2,4,11513541.0,-2026.4000000000003,-506.6,9.98,2.9,-0.45,-0.58,-0.13,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電器電纜,2026-09-09,1,11.75,-2.42,11.81,18.81,0.0,0,1,29529460.0,1132.5,1132.5,4.99,6.76,-0.5,-0.4,0.11,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
其他,2026-09-09,1,9.19,-1.75,0.56,18.97,0.0,0,1,760573.0,85.2,85.2,8.21,0.98,-0.61,-0.46,0.16,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電子通路業,2026-09-09,3,8.58,-8.7,-6.49,24.75,0.0,0,3,-59366734.0,-9618.800000000001,-3206.27,9.3,-0.72,-0.64,-1.03,-0.39,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
汽車工業,2026-09-09,1,7.62,1.15,13.47,7.93,100.0,1,1,183713.0,97.4,97.4,4.71,2.91,-0.68,-0.46,0.22,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
食品工業,2026-09-09,1,6.42,-0.39,6.23,9.92,0.0,0,1,75448663.0,5734.1,5734.1,3.97,2.45,-0.73,-0.12,0.61,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
紡織纖維,2026-09-09,1,5.3,6.49,8.87,2.91,100.0,1,1,67545371.0,1938.6,1938.6,3.0,2.3,-0.78,-0.35,0.44,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
水泥工業,2026-09-09,1,3.41,2.91,7.12,1.8,100.0,1,1,-7369441.0,-182.4,-182.4,0.94,2.47,-0.87,-0.47,0.39,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
玻璃陶瓷,2026-09-09,1,2.42,5.8,0.17,1.86,100.0,1,1,25777550.0,1551.8,1551.8,0.42,2.0,-0.91,-0.37,0.54,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
貿易百貨,2026-09-09,1,1.59,0.23,-0.69,3.4,100.0,1,1,3120918.0,678.8,678.8,0.3,1.29,-0.94,-0.42,0.52,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
鋼鐵工業,2026-09-09,1,-0.25,0.26,3.76,-2.5,100.0,1,1,13460901.0,259.1,259.1,1.93,-2.18,-1.03,-0.45,0.58,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
