supply_chain,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,node_count,resonance_pct,z_point,z_capital,cpd,cpd_quadrant
Environmental Infrastructure,2026-08-25,2,199.18,100.0,2,2,-129.3,-64.65,2,100.0,3.43,-0.28,-3.72,⚠️ Price Leading
Passive Components,2026-08-25,3,127.22,100.0,3,3,-67655.0,-22551.67,3,100.0,1.78,-2.2,-3.98,⚠️ Price Leading
CCL / High-Speed Materials,2026-08-25,6,105.35,100.0,6,6,1621.3,270.22,5,100.0,1.28,-0.23,-1.52,⚠️ Price Leading
Display & Optical,2026-08-25,4,66.49,100.0,4,4,-12518.2,-3129.55,2,100.0,0.39,-0.64,-1.02,⚠️ Price Leading
PCB / HDI / IC Substrate,2026-08-25,10,58.18,90.0,9,10,29274.3,2927.43,7,100.0,0.2,0.55,0.35,🚀 Confirmed
Advanced Packaging,2026-08-25,9,51.36,100.0,9,9,43349.8,4816.64,3,100.0,0.04,0.95,0.91,🚀 Confirmed
Thermal / Liquid Cooling,2026-08-25,5,45.13,100.0,5,5,46520.3,9304.06,3,100.0,-0.1,1.04,1.14,💰 Capital Leading
AI / HPC Semiconductor,2026-08-25,9,42.23,88.9,8,9,20566.9,2285.21,8,100.0,-0.17,0.3,0.47,💰 Capital Leading
Memory / HBM,2026-08-25,7,41.42,100.0,7,7,95334.9,13619.27,6,100.0,-0.19,2.43,2.61,💰 Capital Leading
Biotech / Innovative Drug / CDMO,2026-08-25,2,39.36,100.0,2,2,2850.4,1425.2,2,50.0,-0.23,-0.2,0.03,❄️ Weak
AI Server / ODM,2026-08-25,22,37.07,86.4,19,22,48680.8,2212.76,15,93.3,-0.29,1.1,1.39,💰 Capital Leading
Cloud / Data Center / Cybersecurity,2026-08-25,5,36.25,100.0,5,5,-10016.4,-2003.28,3,100.0,-0.3,-0.56,-0.26,❄️ Weak
Optical Communication / AI Networking,2026-08-25,6,34.96,100.0,6,6,-4828.7,-804.78,5,100.0,-0.33,-0.42,-0.08,❄️ Weak
Semiconductor Equipment & Materials,2026-08-25,14,34.29,100.0,14,14,-13017.0,-929.79,10,100.0,-0.35,-0.65,-0.3,❄️ Weak
Robotics / Automation,2026-08-25,6,30.65,100.0,6,6,10157.8,1692.97,3,100.0,-0.43,0.01,0.44,💰 Capital Leading
Data Center Power / PSU,2026-08-25,5,29.82,100.0,5,5,1754.4,350.88,5,80.0,-0.45,-0.23,0.22,❄️ Weak
Shipping / Logistics,2026-08-25,5,27.77,80.0,4,5,66836.8,13367.36,2,100.0,-0.5,1.62,2.12,💰 Capital Leading
Solar / Wind Renewable,2026-08-25,1,25.57,100.0,1,1,284.9,284.9,1,,-0.55,-0.27,0.28,❄️ Weak
EV / Auto Electronics,2026-08-25,4,24.79,50.0,2,4,-37110.4,-9277.6,3,100.0,-0.57,-1.33,-0.77,❄️ Weak
Steel,2026-08-25,2,13.87,100.0,2,2,6944.0,3472.0,2,50.0,-0.82,-0.08,0.74,❄️ Weak
Smart Grid / Transformer,2026-08-25,6,9.77,100.0,6,6,6040.1,1006.68,3,100.0,-0.91,-0.11,0.8,❄️ Weak
Energy Storage / Battery,2026-08-25,3,8.54,100.0,3,3,-18264.3,-6088.1,3,66.7,-0.94,-0.8,0.14,❄️ Weak
