ticker,stock_name,supply_chain,as_of_date,chain_point,chain_z_point,chain_state,stock_point,stock_z_in_chain,chain_size,price_lag,early_flag
1560,中砂,Semiconductor Equipment & Materials,2026-09-24,37.44,0.04,🚀 Confirmed,80.27,1.02,9,-0.98,
3665,貿聯-KY,EV / Auto Electronics,2026-09-24,21.03,-0.68,❄️ Weak,24.38,0.3,4,-0.98,
3189,景碩,Advanced Packaging,2026-09-24,42.65,0.26,🚀 Confirmed,96.23,1.36,8,-1.1,
1605,華新,Smart Grid / Transformer,2026-09-24,9.81,-1.16,💰 Capital Leading,11.04,0.07,4,-1.23,
6531,愛普*,Memory / HBM,2026-09-24,23.81,-0.56,❄️ Weak,48.4,0.72,5,-1.28,
3189,景碩,PCB / HDI / IC Substrate,2026-09-24,40.38,0.16,🚀 Confirmed,96.23,1.56,10,-1.4,
2395,研華,Robotics / Automation,2026-09-24,30.22,-0.28,💰 Capital Leading,79.21,1.15,3,-1.43,
6669,緯穎,Cloud / Data Center / Cybersecurity,2026-09-24,23.98,-0.55,❄️ Weak,47.8,0.91,8,-1.46,
2301,光寶科,Data Center Power / PSU,2026-09-24,31.22,-0.23,❄️ Weak,52.58,1.37,4,-1.6,
2360,致茂,EV / Auto Electronics,2026-09-24,21.03,-0.68,❄️ Weak,32.87,1.07,4,-1.75,
2408,南亞科,Memory / HBM,2026-09-24,23.81,-0.56,❄️ Weak,64.53,1.19,5,-1.75,
2615,萬海,Shipping / Logistics,2026-09-24,24.72,-0.52,💰 Capital Leading,45.07,1.43,4,-1.95,
3532,台勝科,Semiconductor Equipment & Materials,2026-09-24,37.44,0.04,🚀 Confirmed,130.05,2.22,9,-2.18,
2360,致茂,Smart Grid / Transformer,2026-09-24,9.81,-1.16,💰 Capital Leading,32.87,1.34,4,-2.5,
2395,研華,Cloud / Data Center / Cybersecurity,2026-09-24,23.98,-0.55,❄️ Weak,79.21,2.12,8,-2.67,
2059,川湖,AI Server / ODM,2026-09-24,40.13,0.15,⚠️ Price Leading,148.18,2.98,13,-2.83,
