sector,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,z_point,z_capital,cpd,cpd_quadrant
綠能環保,2026-09-02,2,118.86,0.0,0,2,-379.7,-189.85,3.37,-0.42,-3.79,⚠️ Price Leading
半導體業,2026-09-02,2,65.78,100.0,2,2,17327.8,8663.9,1.53,0.5,-1.03,🚀 Confirmed
電子零組件業,2026-09-02,15,65.14,86.7,13,15,25318.3,1687.89,1.5,0.91,-0.59,🚀 Confirmed
塑膠工業,2026-09-02,3,60.07,100.0,3,3,11971.6,3990.53,1.33,0.22,-1.11,🚀 Confirmed
化學生技醫療,2026-09-02,2,40.68,100.0,2,2,3420.8,1710.4,0.66,-0.22,-0.88,⚠️ Price Leading
油電燃氣業,2026-09-02,1,39.16,100.0,1,1,-1620.2,-1620.2,0.6,-0.49,-1.09,⚠️ Price Leading
生技醫療業,2026-09-02,2,37.04,50.0,1,2,-2081.0,-1040.5,0.53,-0.51,-1.04,⚠️ Price Leading
電子工業,2026-09-02,53,30.88,64.2,34,53,-17898.6,-337.71,0.32,-1.33,-1.65,⚠️ Price Leading
電腦及週邊設備業,2026-09-02,14,30.81,92.9,13,14,74893.9,5349.56,0.31,3.48,3.17,🚀 Confirmed
金融保險,2026-09-02,19,22.03,100.0,19,19,38261.1,2013.74,0.01,1.58,1.57,🚀 Confirmed
建材營造,2026-09-02,1,18.4,100.0,1,1,2204.8,2204.8,-0.12,-0.29,-0.17,❄️ Weak
航運業,2026-09-02,5,16.86,60.0,3,5,49971.8,9994.36,-0.17,2.19,2.36,💰 Capital Leading
鋼鐵工業,2026-09-02,2,10.91,100.0,2,2,5239.7,2619.85,-0.38,-0.13,0.25,❄️ Weak
電機機械,2026-09-02,9,9.9,66.7,6,9,-3963.8,-440.42,-0.41,-0.61,-0.2,❄️ Weak
其他,2026-09-02,2,8.48,100.0,2,2,763.3,381.65,-0.46,-0.36,0.1,❄️ Weak
其他電子業,2026-09-02,2,7.94,50.0,1,2,-4960.3,-2480.15,-0.48,-0.66,-0.18,❄️ Weak
電子通路業,2026-09-02,3,6.53,0.0,0,3,-9556.1,-3185.37,-0.53,-0.9,-0.37,❄️ Weak
食品工業,2026-09-02,2,4.72,100.0,2,2,9514.8,4757.4,-0.59,0.09,0.68,💰 Capital Leading
電器電纜,2026-09-02,1,3.3,100.0,1,1,4941.4,4941.4,-0.64,-0.15,0.49,❄️ Weak
水泥工業,2026-09-02,2,3.04,100.0,2,2,1479.6,739.8,-0.65,-0.33,0.32,❄️ Weak
居家生活,2026-09-02,1,1.29,0.0,0,1,193.2,193.2,-0.71,-0.39,0.32,❄️ Weak
橡膠工業,2026-09-02,1,0.82,0.0,0,1,-266.1,-266.1,-0.73,-0.42,0.31,❄️ Weak
汽車工業,2026-09-02,1,-1.1,100.0,1,1,-54.2,-54.2,-0.79,-0.41,0.39,❄️ Weak
貿易百貨,2026-09-02,1,-1.22,0.0,0,1,605.3,605.3,-0.8,-0.37,0.43,❄️ Weak
玻璃陶瓷,2026-09-02,1,-1.24,100.0,1,1,2020.6,2020.6,-0.8,-0.3,0.5,❄️ Weak
紡織纖維,2026-09-02,2,-4.5,50.0,1,2,2055.0,1027.5,-0.91,-0.3,0.61,❄️ Weak
運動休閒,2026-09-02,1,-7.28,100.0,1,1,-39.5,-39.5,-1.01,-0.4,0.6,❄️ Weak
