stock_id,symbol,stock_name,sector,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vp_ratio_stock,vp_score_stock,rsi14,above_50ma,ma50,amp_10d_pct,vcp,high_52w,pct_from_high,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,trend_state,trend_pattern,trend_signal,explosive_verdict,vol_today,vol_10d_avg,inst_foreign_net_20d_shares,inst_trust_net_20d_shares,inst_dealer_net_20d_shares,inst_total_net_20d_shares,inst_total_net_20d_est_NTD_M,point_rank_in_sector,vp_score_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
6669,6669,緯穎,電腦及週邊設備業,2026-09-04,2565.0,-57.32,-53.95,-38.19,-46.91,0.0,-64.38,-57.95,11,9,1928380,2887342,1.222,0.668,19.5,26.88,False,5518.0,94.95,False,7800.0,-67.12,P-V+,P-V-,P-V+,➡️ 中性,多頭,頭頭高·底底高,空頭確認,,4361234,3262323,-6942974.0,-171698.0,-464838.0,-7579510.0,-19441.4,6.0,6.0,6.0,6.0,
2891,2891,中信金,金融保險,2026-09-04,68.4,2.86,0.59,27.14,14.43,1.0,6.21,4.27,12,8,33943501,32349652,1.5,1.049,95.91,62.97,True,65.89,8.1,False,73.6,-7.07,P+V-,P+V-,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,多頭確認,,29198109,32105657,-8693667.0,18614024.0,-4926345.0,4994012.0,341.6,11.0,10.0,10.5,10.0,
2345,2345,智邦,電子工業,2026-09-04,2100.0,-3.0,-16.33,48.41,19.37,0.333,-1.18,-5.19,9,11,2968798,3157706,0.818,0.94,75.14,46.38,False,2252.8,13.61,False,2825.0,-25.66,P-V+,P-V-,P+V-,➡️ 中性,多頭,頭頭高·底底高,空轉多預警,,2163787,3100149,-3498254.0,-5054489.0,323691.0,-8229052.0,-17281.0,13.0,25.0,19.0,24.0,吃老本
2327,2327,國巨*,電子工業,2026-09-04,562.0,-1.92,-24.36,92.47,39.66,0.333,-5.86,4.07,7,12,58801394,41270650,0.583,1.425,83.78,46.56,False,685.31,17.97,False,1220.0,-53.93,P-V-,P-V+,P+V+,➡️ 中性,收斂,頭頭低·底底高,空轉多預警,,57702985,47409615,-53378840.0,-20623229.0,-643788.0,-74645857.0,-41951.0,7.0,17.0,12.0,9.0,吃老本
2412,2412,中華電,電子工業,2026-09-04,137.5,0.73,-2.83,-0.36,-0.7,0.333,1.48,0.0,6,7,11491376,8133380,0.857,1.413,88.17,53.36,False,137.76,2.56,False,147.0,-6.46,P+V-,P-V+,P-V+,➡️ 中性,空頭,頭頭低·底底低,,,7383449,9043626,-9899299.0,6274842.0,459297.0,-3165160.0,-435.2,24.0,13.0,18.5,21.0,剛爆發
7769,7769,鴻勁,電子工業,2026-09-04,5980.0,-4.78,-19.03,36.69,12.39,0.333,-7.86,-5.38,11,9,597057,635823,1.222,0.939,78.4,44.41,False,6333.6,15.43,False,8465.0,-29.36,P-V-,P-V-,P+V-,⚠️ 主升段結束,空頭,頭頭低·底底低,,,412749,692951,1097017.0,-1250122.0,6368.0,-146737.0,-877.5,18.0,20.0,19.0,24.0,
3008,3008,大立光,電子工業,2026-09-04,7400.0,68.18,93.46,201.43,141.12,1.0,4.74,68.76,14,6,2879493,2298773,2.333,1.253,100.0,71.52,True,4862.2,39.15,False,7995.0,-7.44,P+V+,P+V+,P+V+,⭐⭐⭐ 完美多頭,空頭,頭頭低·底底低,多轉空預警 / 多頭確認,🔥 追高風險,1626455,2705542,-938052.0,1708977.0,533657.0,1304582.0,9653.9,1.0,1.0,1.0,1.0,
2887,2887,台新新光金,金融保險,2026-09-04,41.5,15.6,45.36,67.0,48.74,1.0,10.67,18.07,13,7,68235339,53363887,1.857,1.279,100.0,74.34,True,35.86,15.94,False,42.65,-2.7,P+V-,P+V-,P+V-,⚠️ 量能衰竭,多頭,頭頭高·底底高,多頭確認,,47708121,67053144,10225369.0,152664321.0,-7486151.0,155403539.0,6449.2,2.0,1.0,1.5,2.0,
2885,2885,元大金,金融保險,2026-09-04,69.8,2.35,9.23,47.72,26.76,1.0,9.06,3.1,12,5,22058965,32321076,2.4,0.682,100.0,64.03,True,66.05,12.27,False,72.3,-3.46,P+V-,P+V+,P+V+,⚠️ 頂部背離,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警,,20306355,23066810,-14972834.0,-3174487.0,-3137763.0,-21285084.0,-1485.7,5.0,1.0,3.0,5.0,
3653,3653,健策,電子零組件業,2026-09-04,5875.0,42.08,57.51,92.94,71.37,1.0,1.56,34.13,11,9,1421357,1590489,1.222,0.894,100.0,66.01,True,4210.1,20.92,False,6095.0,-3.61,P+V-,P+V-,P+V-,⚠️ 量能衰竭,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警 / 多頭確認,🔥 追高風險,943058,1364242,1992737.0,309240.0,90388.0,2392365.0,14055.1,2.0,1.0,1.5,1.0,
