symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
OMC,Communication Services,Omnicom Group,2022-02-21,71.89,12.9,25.57,17.36,18.3,1.0,5,1,2,3.2,23.37,20.35,False,True,66.29,7.9,1.14,False,78.16,-8.02,-0.24,14.97,10.0,10.0,2236210.0,1961590.0,1.0,1739500.0,1733650.0,2255820.0,0.771,93.84,2,11,12,7.6,5,吃老本
FOXA,Communication Services,Fox Corporation (Class A),2022-02-21,39.42,4.16,11.03,13.02,10.31,1.0,7,5,4,5.8,183.6,7.65,False,True,37.34,10.98,1.216,False,42.42,-7.07,-2.66,9.2,9.0,11.0,4018955.0,3306136.0,0.818,2905300.0,3441890.0,3789500.0,0.767,88.0,4,14,13,9.8,9,吃老本
TMUS,Communication Services,T-Mobile US,2022-02-21,119.98,15.47,10.51,-9.34,1.83,0.667,4,6,15,6.8,116.3,4.71,False,True,111.08,7.73,1.272,False,143.64,-16.47,0.73,18.33,13.0,7.0,6162946.0,4846071.0,1.857,3816600.0,4292310.0,5159300.0,0.74,100.0,11,1,14,7.6,5,剛爆發
EXPE,Consumer Discretionary,Expedia Group,2022-02-21,197.48,14.67,25.11,36.25,28.07,1.0,2,1,1,1.5,63.02,100.24,False,True,181.99,17.64,0.888,False,215.05,-8.17,-4.48,16.76,12.0,8.0,3499408.0,3941037.0,1.5,3035700.0,4502330.0,4174353.0,0.727,96.3,1,8,19,7.4,3,吃老本
MAR,Consumer Discretionary,Marriott International,2022-02-21,167.51,9.41,18.27,28.19,21.01,1.0,5,3,3,4.0,30.18,0.38,False,True,157.86,12.65,0.823,False,177.71,-5.74,-2.13,13.44,14.0,6.0,2635914.0,3201516.0,2.333,2805800.0,3263840.0,2908120.0,0.965,100.0,2,1,8,2.8,1,
LVS,Consumer Discretionary,Las Vegas Sands,2022-02-21,42.04,3.27,17.56,1.39,5.9,1.0,18,4,13,12.8,6.08,-74.2,False,True,39.39,13.53,1.027,False,63.06,-33.32,-5.4,5.8,12.0,8.0,7494158.0,7296862.0,1.5,7213700.0,7867180.0,7580613.0,0.952,91.79,10,14,9,11.4,7,
ADM,Consumer Staples,Archer Daniels Midland,2022-02-21,69.68,4.48,23.17,31.68,22.75,1.0,8,1,3,4.9,9.53,8.95,False,True,62.98,7.45,1.021,False,69.83,-0.2,2.94,6.9,13.0,7.0,3023053.0,2960457.0,1.857,3479100.0,2756730.0,2718793.0,1.28,100.0,3,1,5,2.6,1,
PM,Consumer Staples,Philip Morris International,2022-02-21,85.49,1.66,20.29,5.77,8.37,1.0,15,3,21,12.6,1.71,1.4,False,True,82.03,10.39,0.994,False,91.37,-6.44,-5.95,2.92,12.0,7.0,7038658.0,7083042.0,1.714,6634400.0,7761850.0,7091740.0,0.936,92.48,15,8,16,12.4,12,剛爆發
MO,Consumer Staples,Altria,2022-02-21,36.3,1.98,19.96,7.87,9.42,1.0,13,4,20,11.7,0.64,-3.01,False,True,34.87,7.0,0.908,False,36.79,-1.32,0.21,2.26,12.0,8.0,7901016.0,8701375.0,1.5,11780700.0,9428970.0,8514053.0,1.384,89.83,13,11,2,10.0,9,
HAL,Energy,Halliburton,2022-02-21,29.7,3.73,50.54,58.96,43.05,1.0,11,1,6,7.0,5.06,1.4,False,True,25.75,11.25,0.973,False,31.33,-5.22,-1.33,5.51,11.0,9.0,12578518.0,12930900.0,1.222,13779600.0,12390960.0,12288800.0,1.121,88.13,4,10,9,7.4,5,吃老本
