sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert
XLK,資訊科技,Information Technology,2025-06-27,124.73,114.66,102.48,117.72,8.78,21.71,5.95,10.6,1.0,11646200,12196600,11148680,1.094,4.43,8.44,13,7,11408815,12340742,0.924,1.857,100.0,1,1,5,1,4,1,1.8,1,1.6,1,
XLC,通訊服務,Communication Services,2025-06-27,106.34,99.9,94.32,96.42,6.45,12.74,10.29,9.94,1.0,6232450,6949700,6072206,1.145,4.96,6.89,12,8,6216075,5849250,1.063,1.5,97.22,2,3,2,2,1,2,2.3,2,1.8,2,
XLU,公用事業,Utilities,2025-06-27,39.56,39.57,37.67,36.49,-0.03,5.02,8.41,5.45,0.667,25172840,25307800,24458546,1.035,1.38,0.99,13,7,23872276,26677542,0.895,1.857,94.66,9,6,3,5,8,4,6.9,8,5.2,3,
XLF,金融,Financials,2025-06-27,51.15,50.01,48.29,47.67,2.27,5.91,7.3,5.69,1.0,40606100,38954100,37464253,1.04,3.49,2.49,11,8,36878963,37401262,0.986,1.375,90.77,7,5,4,4,6,6,5.8,4,5.2,3,
XLB,材料,Materials,2025-06-27,43.16,42.18,41.55,41.3,2.31,3.87,4.5,3.79,1.0,10343220,9375600,10086040,0.93,2.22,2.33,13,7,10864538,11242542,0.966,1.857,97.05,6,7,6,6,10,3,6.3,6,5.6,5,
XLI,工業,Industrials,2025-06-27,144.92,140.57,128.1,130.76,3.09,13.13,10.83,9.47,1.0,12870110,13380900,12914206,1.036,3.42,3.16,11,9,12589045,12757388,0.987,1.222,88.86,4,2,1,3,7,8,2.8,3,5.8,6,
XLY,非必需消費,Consumer Discretionary,2025-06-27,108.45,105.85,97.55,113.43,2.46,11.17,-4.39,1.21,0.667,8759680,8902000,8602613,1.035,3.98,1.9,12,8,8775716,8785075,0.999,1.5,92.71,5,4,11,8,8,5,5.9,5,6.8,7,
XLV,醫療保健,Health Care,2025-06-27,131.63,129.74,141.36,135.39,1.45,-6.89,-2.78,-2.75,0.333,13177710,13818500,12389913,1.115,1.49,1.67,12,8,11875858,13103762,0.906,1.5,89.96,8,10,10,11,3,7,9.0,9,7.8,8,
XLP,必需消費,Consumer Staples,2025-06-27,78.38,80.05,77.71,76.23,-2.09,0.86,2.81,1.1,0.667,14346360,15135300,13447906,1.125,0.1,-1.23,9,11,14448544,13257518,1.09,0.818,80.65,11,8,8,9,2,10,9.5,11,8.0,9,
XLRE,房地產,Real Estate,2025-06-27,39.75,39.98,39.67,38.59,-0.57,0.2,3.0,1.41,0.667,7259720,6608200,6300360,1.049,-0.81,-0.48,11,9,5174527,7098155,0.729,1.222,80.48,10,9,7,7,5,11,9.1,10,8.2,10,
XLE,能源,Energy,2025-06-27,41.36,39.21,44.46,40.36,5.48,-6.96,2.49,0.87,0.667,63245080,35411800,54587000,0.649,-3.36,4.54,11,9,44647927,54854911,0.814,1.222,83.96,3,11,9,10,11,9,6.6,7,9.8,11,
