sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert
XLV,醫療保健,Health Care,2026-06-26,160.34,148.81,142.63,154.73,7.75,12.42,3.63,6.85,1.0,10637610,16563800,11541673,1.435,7.8,6.74,11,9,12195836,11184633,1.09,1.222,94.58,1,5,8,6,1,2,3.6,2,3.4,1,
XLI,工業,Industrials,2026-06-26,181.2,172.71,158.81,156.38,4.92,14.1,15.87,12.69,1.0,8198350,8856200,8706960,1.017,0.41,4.51,11,9,8089463,8793833,0.92,1.222,87.3,2,2,3,2,4,5,2.2,1,3.6,2,
XLRE,房地產,Real Estate,2026-06-26,45.24,43.61,39.66,39.9,3.74,14.06,13.38,11.14,1.0,5526660,5422100,5413186,1.002,4.05,2.76,12,8,5008866,6402825,0.782,1.5,89.47,5,3,4,3,5,4,4.2,3,3.8,3,
XLU,公用事業,Utilities,2026-06-26,46.2,44.14,45.3,42.21,4.67,1.99,9.44,6.39,1.0,21360630,19479300,20876700,0.933,3.88,4.18,15,5,21045293,23851460,0.882,3.0,100.0,3,9,7,8,6,1,5.6,6,4.8,4,剛爆發
XLK,資訊科技,Information Technology,2026-06-26,181.11,190.79,129.77,146.17,-5.07,39.57,23.9,20.57,0.667,12960940,13433900,15952873,0.842,-5.28,-2.96,10,10,14184400,16634950,0.853,1.0,76.03,9,1,1,1,8,9,5.0,4,5.6,5,吃老本
XLB,材料,Materials,2026-06-26,51.6,50.96,48.73,45.73,1.26,5.89,12.82,8.2,1.0,11745670,9233700,11765106,0.785,-0.03,0.84,10,10,12810570,12669140,1.011,1.0,83.19,7,7,5,4,9,6,6.6,7,5.8,6,
XLF,金融,Financials,2026-06-26,53.57,51.4,47.64,55.14,4.22,12.44,-2.85,2.74,0.667,36380820,26643000,37275446,0.715,0.35,4.85,12,8,38472058,37434812,1.028,1.5,93.54,4,4,9,9,10,3,5.0,4,6.8,7,剛爆發
XLP,必需消費,Consumer Staples,2026-06-26,84.71,82.34,81.22,77.26,2.88,4.3,9.65,6.62,1.0,11911920,11372100,12618233,0.901,2.4,1.03,9,11,12633766,13771436,0.917,0.818,79.9,6,8,6,7,7,7,6.6,7,7.0,8,
XLE,能源,Energy,2026-06-26,53.84,55.89,62.11,43.6,-3.66,-13.32,23.49,7.5,0.333,35622840,19025200,35570953,0.535,0.85,-4.78,10,10,34182660,37407840,0.914,1.0,78.46,8,11,2,5,11,8,7.7,9,7.4,9,
XLY,非必需消費,Consumer Discretionary,2026-06-26,114.37,120.63,105.47,121.56,-5.19,8.44,-5.92,-2.15,0.333,7924340,8948900,7843266,1.141,-2.19,-6.11,9,11,7598377,7891754,0.963,0.818,74.58,10,6,10,10,3,10,8.8,10,8.6,10,
XLC,通訊服務,Communication Services,2026-06-26,106.18,115.39,106.76,117.29,-7.98,-0.55,-9.47,-6.87,0.0,8232540,9352100,7890960,1.185,-2.74,-8.75,8,12,7752000,7144108,1.085,0.667,72.64,11,10,11,11,2,11,10.7,11,9.2,11,
