symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,mom_12m_1m,weekly_vol_ann,spmo_score,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,rsi14,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,explosive_verdict,is_new_signal_3d
WBD,Communication Services,Warner Bros. Discovery,2026-09-17,28.24,0.04,6.17,4.05,3.58,1.0,17361515,21106409,21402374,-22.17,-2.73,-51.0,P+V-,P+V-,P+V-,⚠️ 量能衰竭,58.59,63.31,0.925,11,7,12,10.0,153.87,-1161.59,False,True,27.35,2.7,1.441,True,30.0,30.0,-5.87,0.14,-1.02,9.0,11.0,20875455.0,14486472.0,0.818,24731300.0,17104320.0,17105053.0,1.446,86.94,55.78,擴散,頭頭高·底底低,,11,6,3,7.4,3,,,False
NWSA,Communication Services,News Corp (Class A),2026-09-17,30.18,2.13,16.78,27.77,18.61,1.0,3590740,4567144,4582776,-9.02,-0.68,14.24,P+V-,P+V-,P+V+,⚠️ 頂部背離,-2.17,27.77,-0.078,6,3,1,4.1,51.24,5.46,False,True,29.01,6.27,0.903,False,31.55,31.66,-4.35,2.72,2.82,10.0,10.0,3407140.0,3774340.0,1.0,2631800.0,3478770.0,3870026.0,0.68,83.58,54.94,多頭,頭頭高·底底高,,1,8,22,8.0,4,吃老本,,False
GOOG,Communication Services,Alphabet Inc. (Class C),2026-09-17,343.68,1.69,-7.33,14.15,5.66,0.667,15990265,19620827,20013559,-19.93,-3.85,-10.98,P+V-,P-V-,P+V-,⚠️ 量能背離,37.03,32.14,1.152,8,18,5,10.4,212.9,94.3,False,True,343.53,6.17,0.997,False,403.96,404.47,-14.92,4.02,0.64,10.0,10.0,15970060.0,16010470.0,1.0,15315700.0,15530640.0,16239713.0,0.943,84.45,53.02,多頭,頭頭高·底底高,空轉多預警,8,7,12,8.4,5,,,False
EBAY,Consumer Discretionary,eBay Inc.,2026-09-17,112.9,8.25,3.59,24.32,15.12,1.0,4411905,4080858,4804062,-4.22,-26.17,-7.92,P+V-,P+V-,P+V-,⚠️ 量能衰竭,15.2,35.65,0.426,2,11,5,5.3,6.24,5.03,False,True,108.29,12.59,1.102,False,118.62,119.31,-4.82,7.49,10.33,11.0,9.0,4603227.0,4178066.0,1.222,6291200.0,4762040.0,4693893.0,1.34,96.81,62.57,擴散,頭頭高·底底低,多頭確認,4,1,3,2.6,1,,,False
BBY,Consumer Discretionary,Best Buy,2026-09-17,94.56,11.46,28.11,57.05,38.42,1.0,4356745,3807870,4013651,35.05,-9.75,-4.25,P+V+,P+V-,P+V-,➡️ 中性,26.39,38.4,0.687,1,1,1,1.0,6.53,4.32,False,True,85.35,11.08,0.914,False,95.85,95.85,-1.35,8.47,7.11,11.0,9.0,4179918.0,4572866.0,1.222,3816300.0,3607490.0,4536493.0,0.841,91.98,64.84,空頭,頭頭低·底底低,多轉空預警 / 多頭確認,1,2,21,5.4,2,,,False
GM,Consumer Discretionary,General Motors,2026-09-17,86.62,0.75,5.2,20.16,11.57,1.0,6246270,6930907,7125925,4.97,-5.33,-20.48,P+V+,P+V-,P+V-,➡️ 中性,45.61,32.22,1.416,5,10,9,7.3,12.0,40.19,False,True,84.59,5.82,0.997,False,91.66,91.85,-5.5,0.58,2.16,10.0,10.0,6237780.0,6254760.0,1.0,8831900.0,6529530.0,6649353.0,1.328,83.98,52.94,空頭,頭頭低·底底低,多轉空預警,7,5,4,5.6,3,,,False
TGT,Consumer Staples,Target Corporation,2026-09-17,159.83,1.0,20.73,38.55,24.71,1.0,4027775,4235858,4817158,-2.69,-21.54,-34.2,P+V-,P+V-,P+V-,⚠️ 量能衰竭,86.03,30.8,2.793,8,1,1,4.5,75.83,17.31,False,True,150.68,7.62,0.968,False,170.75,170.75,-6.4,2.63,0.52,11.0,9.0,3968700.0,4099977.0,1.222,4094500.0,3050580.0,3306293.0,1.238,86.64,54.65,多頭,頭頭高·底底高,空頭確認,1,9,2,4.4,1,吃老本,,False
SJM,Consumer Staples,J.M. Smucker Company (The),2026-09-17,123.75,0.57,7.69,19.06,11.59,1.0,1437165,1407067,1668686,19.72,-27.11,-10.61,P+V+,P+V-,P+V-,➡️ 中性,21.59,29.11,0.742,9,6,3,6.9,46.18,5.01,False,True,120.28,8.49,1.057,False,135.89,135.89,-8.93,2.21,0.74,13.0,7.0,1464584.0,1386242.0,1.857,1196000.0,1283360.0,1368766.0,0.874,97.68,51.03,多頭,頭頭高·底底高,,3,2,15,5.0,2,,,False
ADM,Consumer Staples,Archer Daniels Midland,2026-09-17,88.09,7.82,13.62,23.97,17.35,1.0,3694130,3736416,3824155,-8.46,-4.49,7.84,P+V-,P+V-,P+V+,⚠️ 頂部背離,36.06,30.34,1.188,2,2,2,2.0,28.02,7.8,False,True,82.09,6.68,0.932,False,88.75,88.75,-0.74,1.36,9.08,11.0,9.0,3577290.0,3836933.0,1.222,3673200.0,3701100.0,3750733.0,0.979,90.64,65.28,多頭,頭頭高·底底高,,2,5,13,5.4,3,,,False
PSX,Energy,Phillips 66,2026-09-17,274.21,14.25,60.27,60.74,49.0,1.0,2745905,2809133,2818414,-0.12,-0.66,9.09,P+V-,P+V-,P+V+,⚠️ 頂部背離,87.37,33.32,2.622,3,3,3,3.0,25.45,225.68,False,True,227.47,10.05,1.008,False,274.21,274.21,0.0,6.07,13.17,12.0,8.0,2754150.0,2733537.0,1.5,3574700.0,2787050.0,2829473.0,1.263,100.0,79.65,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,3,1,3,2.2,1,,,False
MPC,Energy,Marathon Petroleum,2026-09-17,421.96,17.79,68.93,87.78,65.57,1.0,2484770,2397615,2423917,4.53,-2.15,10.12,P+V+,P+V-,P+V+,➡️ 中性,98.6,39.79,2.478,2,2,1,1.8,27.08,120.63,False,True,343.73,11.17,0.967,False,423.83,423.83,-0.44,7.53,16.97,17.0,3.0,2472158.0,2556233.0,5.667,2694600.0,2476360.0,2540193.0,1.061,100.0,82.59,多頭,頭頭高·底底高,多頭確認,1,1,11,3.0,2,,🔥 追高風險,True
VLO,Energy,Valero Energy,2026-09-17,412.53,20.8,69.63,80.45,62.83,1.0,2789325,2902795,3170710,7.77,-15.58,3.35,P+V+,P+V-,P+V+,➡️ 中性,116.05,34.9,3.325,1,1,2,1.2,23.84,33.47,False,True,334.65,13.68,1.068,False,413.44,413.44,-0.22,7.03,19.14,14.0,6.0,2843614.0,2662650.0,2.333,3263800.0,3276850.0,3046253.0,1.071,100.0,79.92,空頭,頭頭低·底底低,多轉空預警 / 多頭確認,2,1,10,3.2,3,,,False
AIZ,Financials,Assurant,2026-09-17,283.81,0.95,9.26,30.72,17.91,1.0,321815,365789,385796,-19.38,-9.86,10.65,P+V-,P+V-,P+V+,⚠️ 頂部背離,34.36,22.8,1.507,13,19,12,14.6,23.73,11.71,False,True,281.42,3.67,1.203,False,303.0,303.94,-6.33,1.01,2.29,12.0,8.0,345091.0,286900.0,1.5,449100.0,333750.0,302620.0,1.484,95.33,52.09,收斂,頭頭低·底底高,多轉空預警,8,1,3,4.2,1,剛爆發,,False
MET,Financials,MetLife,2026-09-17,97.35,4.16,12.07,45.22,26.67,1.0,2911370,3540676,3502663,-24.77,2.19,-5.5,P+V-,P+V+,P+V-,⚠️ 量能背離,24.33,23.1,1.053,4,14,3,6.8,6.16,6.65,False,True,95.52,4.49,1.056,False,100.93,100.93,-3.55,0.59,2.36,12.0,8.0,2974416.0,2816800.0,1.5,2760900.0,2829650.0,2796413.0,0.987,92.63,54.33,空頭,頭頭低·底底低,多轉空預警,3,5,16,6.4,2,,,False
TRV,Financials,Travelers Companies (The),2026-09-17,379.49,4.47,23.83,26.41,20.28,1.0,1410425,1907410,1674137,-27.88,32.38,17.21,P+V-,P+V+,P+V+,⚠️ 頂部背離,33.26,21.43,1.552,3,2,18,5.7,86.12,8.93,False,True,368.09,6.8,1.03,False,397.34,398.7,-4.49,3.25,5.13,12.0,8.0,1427208.0,1385250.0,1.5,1368000.0,1385980.0,1388433.0,0.985,94.9,62.21,收斂,頭頭低·底底高,多轉空預警 / 多頭確認,6,2,17,6.6,3,,,False
RVTY,Health Care,Revvity,2026-09-17,146.73,18.21,45.05,71.72,51.67,1.0,1962155,1630873,1455022,30.22,27.49,5.53,P+V+,P+V+,P+V+,⭐⭐⭐ 完美多頭,40.27,36.44,1.105,2,5,5,3.5,15.93,4.47,False,True,119.61,21.71,1.255,False,149.52,149.52,-1.87,21.32,22.84,11.0,9.0,2159845.0,1720533.0,1.222,2753800.0,2061320.0,2060806.0,1.336,100.0,75.04,多頭,頭頭高·底底高,多頭確認,4,1,7,3.4,1,,🚀 暴漲中,True
TMO,Health Care,Thermo Fisher Scientific,2026-09-17,658.32,4.98,39.4,42.02,32.1,1.0,1936180,2063620,2160941,-8.56,-8.62,1.71,P+V-,P+V-,P+V+,⚠️ 頂部背離,30.17,32.78,0.92,10,6,12,9.2,5.6,3.79,False,True,587.94,11.14,1.44,False,663.57,663.57,-0.79,9.23,7.38,11.0,9.0,2244872.0,1558888.0,1.222,4199600.0,2239750.0,1954140.0,2.149,100.0,72.06,多頭,頭頭高·底底高,多頭確認,8,1,1,3.8,2,剛爆發,,False
IQV,Health Care,IQVIA,2026-09-17,269.44,5.23,50.38,63.57,45.69,1.0,1383180,1446033,1528681,-9.42,-10.26,-12.08,P+V-,P+V-,P+V-,⚠️ 量能衰竭,33.53,43.84,0.765,8,4,6,6.4,3.94,2.96,False,True,240.19,8.06,1.069,False,273.88,273.88,-1.62,4.72,8.09,12.0,8.0,1419600.0,1328550.0,1.5,1714600.0,1453540.0,1418766.0,1.209,97.94,65.73,多頭,頭頭高·底底高,,6,4,11,6.2,3,,,False
EXPD,Industrials,Expeditors International,2026-09-17,189.08,1.44,15.28,33.32,20.84,1.0,806470,1089876,1116090,-25.11,-4.59,-23.78,P+V-,P+V-,P+V-,⚠️ 量能衰竭,50.77,34.44,1.474,4,6,3,4.4,19.93,27.77,False,True,182.42,5.43,0.873,False,194.59,194.59,-2.83,-0.13,1.42,14.0,6.0,772792.0,885050.0,2.333,943900.0,850630.0,844160.0,1.118,100.0,54.63,多頭,頭頭高·底底高,,2,1,10,3.2,1,,,False
DE,Industrials,Deere & Company,2026-09-17,685.63,10.42,17.45,19.38,16.66,1.0,1412295,1217436,1259263,32.84,-6.43,-16.56,P+V+,P+V-,P+V-,➡️ 中性,25.32,29.38,0.862,1,2,9,2.9,8.3,14.07,False,True,628.28,5.93,1.455,False,705.88,705.88,-2.87,1.13,18.08,12.0,8.0,1614300.0,1109287.0,1.5,1232200.0,1182420.0,1292420.0,0.953,100.0,61.39,擴散,頭頭高·底底低,,4,1,18,5.6,2,,,False
ADP,Industrials,Automatic Data Processing,2026-09-17,272.24,-1.87,23.42,32.39,21.58,0.667,1988850,2453483,2811275,-18.84,-22.58,8.45,P-V-,P+V-,P+V+,➡️ 中性,-1.83,27.99,-0.066,10,1,4,6.1,1.58,2.26,False,True,266.28,8.32,1.098,False,286.17,294.46,-4.87,2.49,-1.17,9.0,11.0,2091822.0,1904600.0,0.818,1829800.0,2085510.0,1970880.0,0.928,81.79,50.49,擴散,頭頭高·底底低,,1,9,19,7.8,3,吃老本,,False
AMD,Information Technology,Advanced Micro Devices,2026-09-17,545.09,16.11,7.45,181.86,96.82,1.0,18226435,25221406,31325525,-34.41,-32.62,-33.33,P+V-,P+V-,P+V-,⚠️ 量能衰竭,193.05,73.14,2.639,8,34,3,14.8,3.21,5.82,False,True,495.59,22.03,1.171,False,584.73,584.73,-6.78,8.24,16.87,12.0,8.0,19356291.0,16531650.0,1.5,28464700.0,21262390.0,19003613.0,1.498,100.0,62.78,空頭,頭頭低·底底低,多頭確認,3,1,4,2.4,1,,🔥 追高風險,True
INTC,Information Technology,Intel,2026-09-17,108.8,18.09,-7.05,137.71,71.62,0.667,93449895,110102655,119258906,-23.19,-14.26,12.19,P+V-,P-V-,P+V+,⚠️ 頂部背離,272.69,82.87,3.291,6,43,6,17.1,94.59,2108.68,False,True,97.17,23.51,1.082,False,142.35,142.35,-23.57,8.45,17.24,12.0,8.0,96357408.0,89088625.0,1.5,149726000.0,104972890.0,95810873.0,1.563,100.0,62.01,收斂,頭頭低·底底高,空轉多預警 / 多頭確認,7,1,3,3.8,2,剛爆發,🔥 追高風險,True
CRWD,Information Technology,CrowdStrike,2026-09-17,245.7,29.08,44.64,122.46,79.66,1.0,12179130,10138156,12080835,64.29,-27.71,-1.42,P+V+,P+V-,P+V-,➡️ 中性,81.04,60.51,1.339,3,5,9,4.8,6.38,3.05,False,True,206.3,20.91,1.584,False,250.32,250.32,-1.85,17.64,21.86,9.0,11.0,15277600.0,9644018.0,0.818,12331300.0,11514550.0,13151146.0,0.938,100.0,65.41,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,5,1,14,5.2,3,,🔥 追高風險,True
NUE,Materials,Nucor,2026-09-17,265.14,10.25,2.59,63.14,34.78,1.0,1205700,1490696,1487169,-22.91,0.48,-10.82,P+V-,P+V+,P+V-,⚠️ 量能背離,76.52,33.7,2.271,2,13,1,5.1,6.94,14.67,False,True,253.75,6.35,1.049,False,280.11,280.11,-5.34,3.79,6.59,11.0,9.0,1231345.0,1174355.0,1.222,969400.0,991840.0,1038553.0,0.933,92.15,58.38,收斂,頭頭低·底底高,多轉空預警,1,3,10,3.6,1,,,False
