sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,flow_30d_net_M,flow_30d_gross_M,flow_ratio,flow_up_ratio,dist_20ma_pct,dist_50ma_pct,rsi14_sector,position_20d,resistance_20d,support_20d,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,flow_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert,pct_30d,n_30d,acc_pct_30d,pct_90d,n_90d,acc_pct_90d,pct_365d,n_365d,acc_pct_365d,breadth_pct,breadth_up,breadth_total,breadth_source_date,breadth_30d_up,breadth_30d_down,breadth_30d_ratio,point_5d_avg,acceleration,quadrant,quadrant_zh,quadrant_desc,consecutive_pos_days,health_key,health_emoji,health_zh,health_desc
XLE,能源,Energy,2026-09-10,64.93,61.06,56.98,55.8,6.34,13.95,16.36,13.25,1.0,27908750,37212600,27067460,1.375,-0.26,6.39,12,8,25411116,27616050,0.92,1.5,92.33,7496.9,49290.0,0.152,0.6,2.23,8.41,65.24,91.1,65.31,61.06,1,1,2,2,1,1,1,1.2,1,1.4,1,,63.6,11,,73.3,15,,70.6,17,,95.2,20,21,2026-09-04,90,18,83.3,14.28,-1.03,weakening,減弱,高位但動能見頂,21,neutral,➡️,中性,無明顯訊號
XLK,資訊科技,Information Technology,2026-09-10,185.22,190.77,180.55,136.96,-2.91,2.58,35.24,17.54,0.667,6383340,5568800,6079526,0.916,0.88,-1.93,10,9,5940770,6238855,0.952,1.111,82.53,3357.7,38245.1,0.088,0.5,-0.25,1.39,50.82,48.2,190.77,180.05,5,4,1,1,9,3,2,3.9,4,3.4,2,,72.7,11,,73.3,15,,76.5,17,,39.7,29,73,2026-09-04,106,32,76.8,15.08,2.46,leading,領先,資金持續流入、動能未退,20,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLC,通訊服務,Communication Services,2026-09-10,111.5,112.55,111.19,116.78,-0.93,0.28,-4.52,-2.43,0.333,4325920,4965600,4161880,1.193,-0.82,1.12,10,10,4099710,4101350,1.0,1.0,82.83,626.1,15154.2,0.041,0.533,-0.3,0.59,50.1,35.2,113.38,110.48,2,6,10,9,2,2,3,4.8,5,4.8,3,剛爆發,18.2,11,,40.0,15,,35.3,17,,62.5,15,24,2026-09-04,53,28,65.4,-2.25,-0.18,lagging,落後,資金持續流出,0,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLV,醫療保健,Health Care,2026-09-10,165.66,168.38,153.89,151.41,-1.62,7.65,9.41,6.21,0.667,7399490,7932400,7387826,1.074,-4.22,-1.65,8,12,8395037,7225416,1.162,0.667,77.66,-4212.9,43051.3,-0.098,0.433,-3.14,-0.28,41.65,0.0,175.68,165.66,3,3,4,4,6,6,11,3.2,2,5.2,4,,0.0,10,,14.3,14,,12.5,16,,66.1,39,59,2026-09-04,129,17,88.4,9.96,-3.75,weakening,減弱,高位但動能見頂,17,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLP,必需消費,Consumer Staples,2026-09-10,83.09,86.0,83.52,84.71,-3.38,-0.52,-1.91,-1.93,0.0,9641640,10349500,9503266,1.089,-2.85,-2.34,10,10,9448430,9780820,0.966,1.0,79.36,-4065.6,24588.3,-0.165,0.433,-2.63,-2.24,38.24,0.9,87.45,83.05,7,7,9,7,4,5,10,7.4,7,5.6,5,,0.0,10,,0.0,14,,0.0,16,,41.2,14,34,2026-09-04,65,27,70.7,-0.45,-1.48,lagging,落後,資金持續流出,0,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLF,金融,Financials,2026-09-10,56.87,58.26,52.28,50.14,-2.39,8.79,13.43,8.32,0.667,29030770,25355100,28232466,0.898,-1.37,-1.81,8,12,27517362,30112175,0.914,0.667,74.36,-3739.3,49422.2,-0.076,0.467,-1.52,-0.34,44.46,0.0,58.56,56.87,4,2,3,3,10,7,9,3.2,2,6.0,6,,18.2,11,,40.0,15,,47.1,17,,53.9,41,76,2026-09-04,147,15,90.7,9.67,-1.35,weakening,減弱,高位但動能見頂,16,neutral,➡️,中性,無明顯訊號
XLU,公用事業,Utilities,2026-09-10,42.52,44.04,43.7,46.12,-3.45,-2.7,-7.81,-5.44,0.0,22737360,20625300,20816673,0.991,-0.35,-3.01,10,9,20256650,20055100,1.01,1.111,82.4,-2050.0,27301.2,-0.075,0.467,-1.75,-3.95,39.34,13.9,44.31,42.23,8,9,11,11,7,4,5,8.9,8,7.4,7,剛爆發,36.4,11,,26.7,15,,23.5,17,,45.2,14,31,2026-09-04,14,99,12.4,-5.25,-0.19,lagging,落後,資金持續流出,0,neutral,➡️,中性,無明顯訊號
XLB,材料,Materials,2026-09-10,50.76,52.31,50.58,49.45,-2.96,0.35,2.64,0.67,0.667,12170840,9651600,11575680,0.834,-4.14,-3.46,6,13,10930966,11081953,0.986,0.462,70.45,-2454.3,17982.7,-0.136,0.4,-3.45,-2.09,37.16,0.0,53.67,50.76,6,5,5,5,11,9,7,5.5,6,7.8,8,,18.2,11,,20.0,15,,17.6,17,,32.0,8,25,2026-09-04,84,13,86.6,0.72,-0.05,weakening,減弱,高位但動能見頂,4,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLRE,房地產,Real Estate,2026-09-10,43.05,45.12,44.58,42.23,-4.59,-3.43,1.93,-1.04,0.333,5419400,4729700,4878053,0.97,-1.55,-3.24,7,12,4416828,5658925,0.781,0.583,69.84,-2184.0,7138.2,-0.306,0.367,-3.3,-3.85,31.9,0.0,45.36,43.05,9,11,6,6,8,10,6,9.0,9,8.0,9,,0.0,11,,0.0,15,,0.0,17,,20.0,6,30,2026-09-04,34,57,37.4,1.02,-2.06,weakening,減弱,高位但動能見頂,0,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLY,非必需消費,Consumer Discretionary,2026-09-10,111.96,118.45,115.64,113.98,-5.48,-3.18,-1.78,-3.05,0.0,5686940,5814100,5378426,1.081,-2.52,-5.03,7,13,5382000,5466238,0.985,0.538,71.28,345.0,20907.7,0.017,0.433,-3.71,-3.52,36.73,0.0,118.59,111.96,10,10,8,10,5,8,4,9.6,11,8.2,10,,0.0,11,,0.0,15,,0.0,17,,27.7,13,47,2026-09-04,102,28,78.5,-1.31,-1.74,lagging,落後,資金持續流出,0,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
