sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,flow_30d_net_M,flow_30d_gross_M,flow_ratio,flow_up_ratio,dist_20ma_pct,dist_50ma_pct,rsi14_sector,position_20d,resistance_20d,support_20d,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,flow_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert,point_5d_avg,acceleration,quadrant,quadrant_zh,quadrant_desc
ITA,國防航太,Aerospace & Defense,2026-02-27,243.39,232.07,200.42,194.82,4.88,21.44,24.93,19.05,1.0,792170,850800,789840,1.077,0.03,4.7,12,8,838375,881725,0.951,1.5,91.97,292.0,6510.2,0.045,0.533,3.05,5.6,62.48,100.0,243.39,225.87,2,1,3,3,4,2,2,1.9,1,2.8,1,,-3.0,22.05,leading,領先,資金持續流入、動能未退
XOP,油氣探勘生產,Oil & Gas Exploration & Production,2026-02-27,152.36,139.0,128.73,125.7,9.61,18.35,21.21,17.6,1.0,3545670,3549800,3636693,0.976,1.22,10.61,13,7,4370930,4339785,1.007,1.857,100.0,5997.2,18633.2,0.322,0.633,4.97,12.97,66.91,100.0,152.36,134.56,1,3,4,4,5,1,1,2.2,2,3.0,2,,16.92,0.68,leading,領先,資金持續流入、動能未退
SMH,半導體,Semiconductors,2026-02-27,406.37,403.46,338.07,292.73,0.72,20.2,38.82,24.64,1.0,7465300,9049100,7550940,1.198,-2.09,-2.67,9,11,7234855,9475509,0.764,0.818,73.2,-253.5,96769.5,-0.003,0.533,-0.1,3.87,51.02,56.1,426.16,381.07,5,2,2,1,2,6,4,3.5,3,3.2,3,,16.89,7.75,leading,領先,資金持續流入、動能未退
XBI,生技,Biotech,2026-02-27,127.25,124.63,119.07,90.51,2.1,6.87,40.59,22.54,1.0,9069340,5937500,8408093,0.706,2.08,0.5,9,11,8132655,9480736,0.858,0.818,78.41,-4256.2,33525.7,-0.127,0.467,1.3,1.86,53.94,78.8,129.03,120.6,3,6,1,2,7,4,6,3.5,3,3.8,4,,17.91,4.63,leading,領先,資金持續流入、動能未退
JETS,航空,Airlines,2026-02-27,28.45,27.95,24.81,26.01,1.79,14.69,9.39,8.82,1.0,2961570,3654500,3212313,1.138,-3.46,0.11,11,9,4062745,3521122,1.154,1.222,87.2,-138.8,3796.0,-0.037,0.467,-3.63,-1.75,45.03,15.6,31.16,27.95,4,4,5,5,3,3,3,4.2,5,3.8,4,,5.22,3.6,improving,改善,落後股翻轉候選
KRE,區域銀行,Regional Banks,2026-02-27,66.0,68.01,60.57,63.3,-2.96,8.96,4.26,3.63,0.667,22088060,44564800,21812040,2.043,-7.13,-3.27,9,11,20392933,24568427,0.83,0.818,71.98,-6066.1,44063.4,-0.138,0.467,-5.86,-2.78,38.8,0.0,72.78,66.0,6,5,6,6,1,8,7,5.7,6,5.8,6,,9.02,-5.39,lagging,落後,資金持續流出
IGV,軟體,Software,2026-02-27,81.55,90.29,102.21,107.44,-9.68,-20.21,-24.09,-19.52,0.0,30357830,25153400,30860433,0.815,0.98,-11.6,8,12,34058950,27650566,1.232,0.667,74.99,-9915.4,59610.4,-0.166,0.367,-1.4,-13.95,39.78,34.6,90.29,76.93,8,8,8,8,6,5,8,8.0,8,6.4,7,,11.76,-31.28,lagging,落後,資金持續流出
CIBR,網路資安,Cybersecurity,2026-02-27,62.75,68.88,72.06,72.19,-8.91,-12.93,-13.08,-12.0,0.0,2066820,1376200,2075073,0.663,-1.55,-9.56,9,11,1936988,2003772,0.967,0.818,72.83,-504.7,3492.0,-0.145,0.433,-4.3,-9.45,37.48,19.7,69.41,61.11,7,7,7,7,8,7,5,7.0,7,7.2,8,,25.07,-37.07,lagging,落後,資金持續流出
